Cultivos,Producción 2018 (toneladas),Producción 2019 (toneladas),Producción 2020 (toneladas),Porcentaje % respecto 2019
TOTAL PATATAS,2010900,2259300,2139900,94.7
COLES,153800,164000,202700,123.6
ESPARRAGOS,68400,58600,68700,117.3
LECHUGA/ESC./ENDIVIA,934700,1004700,993400,98.9
SANDIA,1092400,1200100,1244200,103.7
TOMATES,4768600,5000600,4238400,84.8
PIMIENTOS,1271700,1399200,1563600,111.7
FRESAS/FRESON,344700,352000,271500,77.1
ALCACHOFAS,195600,206500,206500,100
AJOS,273500,271400,272800,100.5
CEBOLLAS,1272900,1443200,1259300,87.3
JUDIAS VERDES,138900,143300,157100,109.7
CHAMPIÑONES+O.SETAS,149800,151800,148400,97.8
BROCOLI,543100,531900,567200,106.6
PEPINOS,643600,739200,804200,108.8
BERENJENAS,238300,245100,282000,115
CALABACINES,596300,605500,599700,99
ZANAHORIAS,382400,384300,407900,106.1
NARANJAS,3930400,3279500,3323100,101.3
LIMONES,1148600,931100,1063000,114.2
POMELO,80600,70600,79700,112.9
MANDARINAS,2385000,1831900,2313400,126.3
MANZANAS,563000,638800,593900,93
PERAS,332300,330700,318600,96.3
ALBARICOQUES,176300,145800,130900,89.8
CEREZAS,107000,118800,102300,86.2
MELOCOTONES,903800,937200,793400,84.7
CIRUELAS,153000,179800,158600,88.2
PLATANOS,386200,398700,417200,104.6
KIWI,23800,24500,27400,112
AGUACATE,89600,97700,111900,114.5
NECTARINAS,547100,605100,472600,78.1
UVAS,272800,331500,297800,89.8
