Fecha,Año,Mes,CCAA,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Consumo per capita,Variación consumo 2020 respecto a 2019 (%),Variación consumo 2019 respecto a 2018 (%),Variación precio 2020 respecto a 2019 (%),Variación precio 2019 respecto a 2018 (%)
03-2020,2020,3,Total Nacional,TOTAL PATATAS,144056.38,137944.62,0.96,84.67,3.25,35.58196486789698,-5.115475594274056,38.88633882037153,7.512068891238066
03-2020,2020,3,Total Nacional,PATATAS FRESCAS,104636.6,94686.83,0.9,75.78,2.36,36.29210389276131,-3.1853320073937272,42.649629692123206,18.293598991307597
03-2020,2020,3,Total Nacional,PATATAS CONGELADAS,4758.65,6222.38,1.31,12.17,0.11,28.738813319048994,-13.449191475013691,33.04098318594667,-13.171237034740496
03-2020,2020,3,Total Nacional,PATATAS PROCESADAS,6932.23,37035.41,5.34,51.81,0.16,34.4484634555522,-9.250514377036167,31.016661767083377,-8.46950689982768
03-2020,2020,3,Total Nacional,T.HORTALIZAS FRESCAS,257552.9,498665.95,1.94,97.66,5.81,12.664186901372984,3.022545894261248,16.898607198759414,6.2604822276196455
03-2020,2020,3,Total Nacional,TOMATES,49440.89,89393.32,1.81,84.07,1.12,11.569030854013516,1.9189596274684746,16.055641283894627,10.709218747058046
03-2020,2020,3,Total Nacional,CEBOLLAS,34088.44,43355.98,1.27,75.49,0.77,23.716199688318177,0.3362537962376286,19.33030117456015,21.278876240819653
03-2020,2020,3,Total Nacional,AJOS,3284.05,14632.63,4.46,42.48,0.07,18.420103706161083,-7.2529589410352315,29.874914682280814,-8.226062774760752
03-2020,2020,3,Total Nacional,COLES,7978.48,9059.05,1.14,23.31,0.18,35.5450526823666,-4.108549105470134,29.85911818418991,1.384137355722148
03-2020,2020,3,Total Nacional,PEPINOS,5609.82,9300.27,1.66,28.5,0.13,13.762453940951126,-2.4303521962801726,6.526567298209616,14.156172404459818
03-2020,2020,3,Total Nacional,JUDIAS VERDES,7244.74,24341.28,3.36,34.21,0.16,13.371777317006373,-6.071042203172584,17.780881016597796,2.4860577051820973
03-2020,2020,3,Total Nacional,PIMIENTOS,20569.03,43817.53,2.13,69.98,0.46,21.812083120384084,-6.284836130398622,30.838981345286857,-1.3901218929401893
03-2020,2020,3,Total Nacional,CHAMPIÑONES+O.SETAS,5743.24,22749.85,3.96,40.4,0.13,-3.2132270290584133,6.1459699159083625,1.6567250947201086,8.739397720558513
03-2020,2020,3,Total Nacional,LECHUGA/ESC./ENDIVIA,17836.29,48099.37,2.7,69.94,0.4,18.680101245069505,20.203345149277606,14.817636888406064,16.535527477195423
03-2020,2020,3,Total Nacional,ESPARRAGOS,4083.08,9218.55,2.26,14.19,0.09,-14.183689125312906,60.428692813983595,-1.973284049969604,34.98943524494155
03-2020,2020,3,Total Nacional,VERDURAS DE HOJA,6562.1,15551.73,2.37,28.89,0.15,11.217698293117401,-4.675870202677051,16.324712549105257,-6.308061468769452
03-2020,2020,3,Total Nacional,BERENJENAS,6501.18,10688.72,1.64,34.16,0.15,3.7322470549377935,10.237756432017719,26.757894262480747,-4.322641988980378
03-2020,2020,3,Total Nacional,ZANAHORIAS,17026.27,16483.0,0.97,62.82,0.38,34.43868829211251,-2.77241237417319,41.97525015568783,1.0181192333260263
03-2020,2020,3,Total Nacional,CALABACINES,19275.64,30324.57,1.57,59.45,0.44,20.06071662812186,6.813480861618045,49.87367434669968,-2.9988101025267846
03-2020,2020,3,Total Nacional,OTR.HORTALIZAS/VERD.,52309.65,111650.1,2.13,80.31,1.18,-1.7839909274912813,4.513730675385727,6.565436750869047,2.6642169471595447
03-2020,2020,3,Total Nacional,BROCOLI,5928.15,11016.51,1.86,24.67,0.13,1.7575389305429578,2.314194440102642,27.35569970139384,-5.744860756073053
03-2020,2020,3,Total Nacional,ALCACHOFAS,10850.68,17713.69,1.63,30.81,0.24,-11.884100340260352,-3.8566340257618967,-2.005563109986504,-7.408557074482035
03-2020,2020,3,Total Nacional,VERD./HORT. IV GAMA,28655.57,76154.31,2.66,68.41,0.65,6.723025830890478,5.249993336228799,5.164449108949172,8.147894592448452
03-2020,2020,3,Andalucia,TOTAL PATATAS,26781.88,25208.52,0.94,86.82,3.21,29.145294652901782,-3.3036467828949445,33.47982911884374,6.847332584644722
03-2020,2020,3,Andalucia,PATATAS FRESCAS,18296.89,16129.4,0.88,78.36,2.19,24.78612251578846,0.5946104296604064,31.993220877145163,23.384798063787184
03-2020,2020,3,Andalucia,PATATAS CONGELADAS,1071.86,1300.85,1.21,14.77,0.13,26.82182282854336,-16.464541635779597,28.960464747402636,-14.387561108093424
03-2020,2020,3,Andalucia,PATATAS PROCESADAS,1482.63,7778.27,5.25,58.35,0.18,41.74282982791588,-10.729525825282494,37.49692861120196,-14.19924043414163
03-2020,2020,3,Andalucia,T.HORTALIZAS FRESCAS,44651.3,81332.54,1.82,98.22,5.35,19.39051379742493,-2.873386054408956,20.50164930833352,1.6491433048197695
03-2020,2020,3,Andalucia,TOMATES,9777.53,15384.74,1.57,85.42,1.17,18.442870191131274,-0.9414989104244178,16.7085287042593,13.791421655795839
03-2020,2020,3,Andalucia,CEBOLLAS,6221.43,7475.63,1.2,74.1,0.75,42.52336662695868,-7.821411904324495,33.61842152299651,17.034170423286522
03-2020,2020,3,Andalucia,AJOS,694.76,2886.63,4.15,47.5,0.08,39.996372942148426,-21.071633055537887,49.94701573944212,-21.619321767524813
03-2020,2020,3,Andalucia,COLES,962.14,1093.4,1.14,19.26,0.12,23.30859830571469,-18.48582353064082,22.197635172891676,-13.70291071118569
03-2020,2020,3,Andalucia,PEPINOS,1054.1,1672.2,1.59,32.49,0.13,24.671791839148423,-16.294587611004964,16.079052041900088,-1.0176036499058783
03-2020,2020,3,Andalucia,JUDIAS VERDES,956.08,3182.01,3.33,27.71,0.11,13.558134286698431,-7.200802416065962,14.259398901217283,2.2157950178562866
03-2020,2020,3,Andalucia,PIMIENTOS,3539.51,7243.99,2.05,71.53,0.42,24.734286237859642,-7.467456238749902,34.89990502616437,-4.065243995033456
03-2020,2020,3,Andalucia,CHAMPIÑONES+O.SETAS,934.74,3721.9,3.98,37.81,0.11,13.186573670444634,-8.490126986237618,13.63816781773439,-4.656246997965175
03-2020,2020,3,Andalucia,LECHUGA/ESC./ENDIVIA,3157.07,8146.9,2.58,72.55,0.38,22.182359998451954,28.217979000019856,10.227154340205187,24.903631173984394
03-2020,2020,3,Andalucia,ESPARRAGOS,629.33,1422.96,2.26,12.56,0.08,-7.5371347134272595,54.68863636363637,5.618027566857426,20.565389365167427
03-2020,2020,3,Andalucia,VERDURAS DE HOJA,967.32,2114.36,2.19,24.38,0.12,41.44173124725838,-42.53762067603788,30.413811394770775,-41.87246339399675
03-2020,2020,3,Andalucia,BERENJENAS,1220.44,1895.8,1.55,39.11,0.15,-8.338215192345244,17.23694637668398,12.213369952529206,5.475885749960983
03-2020,2020,3,Andalucia,ZANAHORIAS,2783.99,2707.95,0.97,61.07,0.33,32.062824940229966,2.432435058940144,47.78240440080985,4.13140950962954
03-2020,2020,3,Andalucia,CALABACINES,3181.39,4861.71,1.53,59.15,0.38,24.260912020310514,12.826603325415675,50.76051463816249,4.090288469918362
03-2020,2020,3,Andalucia,OTR.HORTALIZAS/VERD.,8571.48,17522.37,2.04,80.84,1.03,4.486665317635809,-7.367952736700421,10.055805569251342,-6.597625950517361
03-2020,2020,3,Andalucia,BROCOLI,988.87,1783.23,1.8,24.43,0.12,10.012571339570794,-0.28399321078729856,25.003855482496114,-10.057059991803536
03-2020,2020,3,Andalucia,ALCACHOFAS,1820.14,2806.14,1.54,32.33,0.22,26.984149132109188,-25.786476131303726,30.977474491939166,-24.401819330207026
03-2020,2020,3,Andalucia,VERD./HORT. IV GAMA,5586.03,12986.69,2.32,68.99,0.67,27.64713275367618,-5.006316776577135,12.25935668243079,0.2600867013448954
03-2020,2020,3,Aragon,TOTAL PATATAS,3242.56,3119.75,0.96,76.02,2.58,21.122109745620264,-4.388602775734117,26.145815222006114,21.66364942246011
03-2020,2020,3,Aragon,PATATAS FRESCAS,2436.54,2175.6,0.89,64.14,1.94,16.56970624820592,-2.342618462487284,26.339996051149228,34.526506570004535
03-2020,2020,3,Aragon,PATATAS CONGELADAS,60.03,75.08,1.25,8.53,0.05,47.060264576188146,-36.45703611457036,33.16778999645263,-28.605799670761044
03-2020,2020,3,Aragon,PATATAS PROCESADAS,149.2,869.07,5.82,47.05,0.12,36.605017396081294,-8.280147799798454,25.09464108358643,3.1169756430617603
03-2020,2020,3,Aragon,T.HORTALIZAS FRESCAS,8980.43,17296.01,1.93,98.17,7.14,8.608570716758049,9.102256563721351,14.960395980376436,8.754618127564779
03-2020,2020,3,Aragon,TOMATES,1355.2,2534.2,1.87,86.07,1.08,3.591930959096782,4.124515476882173,15.823727822009332,-0.13191106729289612
03-2020,2020,3,Aragon,CEBOLLAS,863.95,1052.3,1.22,70.44,0.69,-0.08789073793526048,11.780294216499907,-3.6787522082582043,28.57815387150306
03-2020,2020,3,Aragon,AJOS,101.68,437.93,4.31,35.62,0.08,40.3256969362407,-23.525065963060694,56.280779387623994,-22.27769456925722
03-2020,2020,3,Aragon,COLES,270.89,250.75,0.93,24.34,0.22,116.76402336560774,-38.89595149618619,46.26961441987983,-28.490385016476864
03-2020,2020,3,Aragon,PEPINOS,158.13,267.31,1.69,23.48,0.13,-12.07184163701068,-0.005560189046422521,-17.25685631152108,8.420310769540547
03-2020,2020,3,Aragon,JUDIAS VERDES,407.13,1143.96,2.81,53.48,0.32,23.148820326678756,20.50739957716704,14.389136651800902,38.5374097829249
03-2020,2020,3,Aragon,PIMIENTOS,548.02,1123.56,2.05,57.76,0.44,-4.678911848605019,20.832282471626723,2.854318094435987,27.311081068481673
03-2020,2020,3,Aragon,CHAMPIÑONES+O.SETAS,271.9,941.16,3.46,58.21,0.22,6.343867334167698,40.52984500384743,13.67078517337584,15.178198814790086
03-2020,2020,3,Aragon,LECHUGA/ESC./ENDIVIA,830.87,2141.59,2.58,76.51,0.66,23.82194271407708,4.494207051202195,21.76080961992212,5.543454127587048
03-2020,2020,3,Aragon,ESPARRAGOS,269.44,752.33,2.79,22.18,0.21,39.910686467961355,51.44699591066374,57.305649646635736,21.958434272599774
03-2020,2020,3,Aragon,VERDURAS DE HOJA,537.79,868.01,1.61,42.31,0.43,7.0250154231924915,10.318558036400361,10.807429629156822,4.672759827894923
03-2020,2020,3,Aragon,BERENJENAS,153.59,265.13,1.73,31.12,0.12,-8.22228861667164,36.15653730371817,3.04314030314807,42.28833711220483
03-2020,2020,3,Aragon,ZANAHORIAS,431.18,395.1,0.92,57.44,0.34,28.802724339825552,12.725191096743766,31.493992744699966,18.505225793729053
03-2020,2020,3,Aragon,CALABACINES,544.33,842.03,1.55,63.58,0.43,7.054635566219577,3.710200501764334,31.292294258895424,-5.137042022275802
03-2020,2020,3,Aragon,OTR.HORTALIZAS/VERD.,2236.33,4280.65,1.91,84.49,1.78,2.557129557867886,8.883141006755984,11.184847910276009,4.646542070300192
03-2020,2020,3,Aragon,BROCOLI,315.9,461.47,1.46,27.98,0.25,47.741090636984374,-10.655189704161792,59.69477800463715,-7.143316195372738
03-2020,2020,3,Aragon,ALCACHOFAS,371.08,645.03,1.74,39.21,0.29,-13.290961772128234,-7.876439565170602,13.908559521076516,-18.97116691707806
03-2020,2020,3,Aragon,VERD./HORT. IV GAMA,944.33,2436.18,2.58,69.11,0.75,-10.002954378675097,41.7787025902255,4.214916689838074,23.43113908410731
03-2020,2020,3,Asturias,TOTAL PATATAS,3981.23,3218.15,0.81,77.32,3.89,68.5376467898841,-7.470964962102666,50.33307173421531,4.157178723652715
03-2020,2020,3,Asturias,PATATAS FRESCAS,3308.71,2516.94,0.76,69.02,3.23,82.72896969161438,-7.270483282036576,60.98628034155234,11.411591166598978
03-2020,2020,3,Asturias,PATATAS CONGELADAS,72.75,83.5,1.15,9.24,0.07,-19.220519653564292,-16.37883008356546,-26.33436259373621,-11.824192921042407
03-2020,2020,3,Asturias,PATATAS PROCESADAS,119.95,617.71,5.15,36.34,0.12,29.970744392675257,-6.314079788853921,33.16159351556438,-11.36841300775727
03-2020,2020,3,Asturias,T.HORTALIZAS FRESCAS,4917.27,9811.45,2.0,96.76,4.8,19.987555360345542,10.709645001904514,20.32712859241746,16.336019883035927
03-2020,2020,3,Asturias,TOMATES,862.45,1885.6,2.19,75.41,0.84,19.434712162966868,7.274861098731324,39.922825764321765,10.411050936888069
03-2020,2020,3,Asturias,CEBOLLAS,888.0,1134.17,1.28,79.66,0.87,18.05841764494729,18.232261309692227,11.45100428442279,36.73178727863918
03-2020,2020,3,Asturias,AJOS,118.24,571.89,4.84,57.42,0.12,37.36059479553903,8.604592480444099,56.789581905414664,4.441072042148663
03-2020,2020,3,Asturias,COLES,197.13,197.52,1.0,22.75,0.19,57.5275691225827,35.12579635028615,7.60514273262149,63.775874375446115
03-2020,2020,3,Asturias,PEPINOS,46.99,85.25,1.81,18.65,0.05,-9.617234083477591,-24.956697459584294,-6.318681318681318,-16.529077233535126
03-2020,2020,3,Asturias,JUDIAS VERDES,110.13,332.33,3.02,26.9,0.11,47.016419703644374,21.410048622366276,27.407606195368817,48.96630496858937
03-2020,2020,3,Asturias,PIMIENTOS,470.26,1116.57,2.37,72.6,0.46,8.387304953096548,6.654375614552604,18.472736532727822,16.61057632822746
03-2020,2020,3,Asturias,CHAMPIÑONES+O.SETAS,106.89,450.53,4.22,34.37,0.1,-12.492836676217768,6.005380543261304,13.158687898729088,-18.392194642015294
03-2020,2020,3,Asturias,LECHUGA/ESC./ENDIVIA,326.73,931.05,2.85,65.42,0.32,5.707075609045923,23.547046126788697,7.137925479275503,42.343286760249626
03-2020,2020,3,Asturias,ESPARRAGOS,20.75,60.51,2.92,8.55,0.02,-25.117286178274995,-42.45067497403945,-57.557690958827244,69.44378416924172
03-2020,2020,3,Asturias,VERDURAS DE HOJA,195.43,360.44,1.84,18.28,0.19,535.3381014304292,-58.705866559269694,336.6852435182941,-49.32776720486217
03-2020,2020,3,Asturias,BERENJENAS,99.31,164.33,1.65,21.15,0.1,36.47107324446889,-12.504508837321158,53.881449573930155,-8.952169835450592
03-2020,2020,3,Asturias,ZANAHORIAS,381.11,395.67,1.04,62.28,0.37,55.37752772341814,12.153635116598085,67.2033468559838,10.890346766635417
03-2020,2020,3,Asturias,CALABACINES,424.05,636.3,1.5,53.55,0.41,30.537171002000917,47.29086374971662,46.717701584080785,50.602493315275886
03-2020,2020,3,Asturias,OTR.HORTALIZAS/VERD.,669.81,1489.29,2.22,64.66,0.65,-6.877711044377715,6.991134646278336,-11.178901790986028,9.843626143979245
03-2020,2020,3,Asturias,BROCOLI,110.99,248.34,2.24,29.24,0.11,-9.2700073571487,17.084609494640116,19.42868135038954,35.739930804882825
03-2020,2020,3,Asturias,ALCACHOFAS,57.97,111.63,1.93,13.67,0.06,-14.029363784665588,-22.315668202764964,20.746349378042176,-24.867939861844775
03-2020,2020,3,Asturias,VERD./HORT. IV GAMA,504.66,1496.91,2.97,52.01,0.49,-13.539721427470063,10.879145929106055,-8.312967420664819,19.500662416465993
03-2020,2020,3,Baleares,TOTAL PATATAS,3868.96,4070.38,1.05,89.97,3.79,43.12306713425372,-9.503468223573211,64.85010975481343,-0.5946270194974851
03-2020,2020,3,Baleares,PATATAS FRESCAS,2786.14,2863.23,1.03,80.55,2.73,49.514344284288356,-11.2464814559033,82.98439357337321,5.709247887152672
03-2020,2020,3,Baleares,PATATAS CONGELADAS,122.33,137.43,1.12,10.3,0.12,13.626230726360767,0.8241243678591454,4.644787938780167,-1.0547728471332611
03-2020,2020,3,Baleares,PATATAS PROCESADAS,192.1,1069.72,5.57,57.75,0.19,31.197923780904258,-6.2311879602946,38.37119056242562,-11.237154830931742
03-2020,2020,3,Baleares,T.HORTALIZAS FRESCAS,7612.08,16300.77,2.14,98.34,7.45,29.480704822135994,2.634413576744545,40.28551487085307,6.392596648457985
03-2020,2020,3,Baleares,TOMATES,1366.68,2823.0,2.07,91.08,1.34,29.37757372083118,-14.219010110032897,40.562448963333274,-0.9576975806053947
03-2020,2020,3,Baleares,CEBOLLAS,1012.82,1414.3,1.4,82.38,0.99,39.533794395613484,-16.731481800139957,30.376666236471912,7.0689723242133535
03-2020,2020,3,Baleares,AJOS,92.74,421.72,4.55,34.03,0.09,74.9481229956612,-13.069858970154147,81.01901532386145,-11.737071415040724
03-2020,2020,3,Baleares,COLES,352.07,466.25,1.32,34.78,0.34,41.63817033431227,167.91334339297262,50.816755620249076,181.37799217256753
03-2020,2020,3,Baleares,PEPINOS,115.77,211.79,1.83,29.38,0.11,18.8115763546798,-6.854029251505595,10.989414107535897,6.070038910505829
