product,origen,Unidad,familia,price_mean,Volumen,Valor (en euros),DATE
ACEITUNAS,BARCELONA,kg,FRUTAS HUESO,3.8,12,45.6,4/1/2018
ACEITUNAS,BARCELONA,kg,FRUTAS HUESO,3.8,5,19,5/1/2018
ACEITUNAS,BARCELONA,kg,FRUTAS HUESO,3.8,10,38,6/1/2018
ACEITUNAS,BARCELONA,kg,FRUTAS HUESO,3.8,4,15.2,7/1/2018
ACEITUNAS,BARCELONA,kg,FRUTAS HUESO,3.8,12,45.6,8/1/2018
ACEITUNAS,BARCELONA,kg,FRUTAS HUESO,3.8,1543,5863.4,10/1/2018
ACEITUNAS,BARCELONA,kg,FRUTAS HUESO,3.8,79,300.2,10/1/2020
ACEITUNAS,CATELLON,kg,FRUTAS HUESO,3.8,80,304,10/1/2018
ACEITUNAS,CIUDAD REAL,kg,FRUTAS HUESO,3.8,210,798,9/1/2020
ACEITUNAS,CIUDAD REAL,kg,FRUTAS HUESO,3.8,282,1071.6,10/1/2020
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,800,3040,9/1/2018
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,28,106.4,10/1/2018
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,4929,18730.2,9/1/2019
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,5451,20713.8,10/1/2019
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,691,2625.8,11/1/2019
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,33633,127805.4,9/1/2020
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,25938,98564.4,10/1/2020
ACEITUNAS,CORDOBA,kg,FRUTAS HUESO,3.8,30032,114121.6,11/1/2020
ACEITUNAS,FRANCIA,kg,FRUTAS HUESO,3.8,4,15.2,5/1/2018
ACEITUNAS,GRANADA,kg,FRUTAS HUESO,3.8,35,133,10/1/2019
ACEITUNAS,GRANADA,kg,FRUTAS HUESO,3.8,494,1877.2,9/1/2020
ACEITUNAS,GRANADA,kg,FRUTAS HUESO,3.8,148,562.4,10/1/2020
ACEITUNAS,GRANADA,kg,FRUTAS HUESO,3.8,167,634.6,11/1/2020
ACEITUNAS,ITALIA,kg,FRUTAS HUESO,3.8,232,881.6,1/1/2018
ACEITUNAS,ITALIA,kg,FRUTAS HUESO,3.8,100,380,3/1/2018
ACEITUNAS,LERIDA,kg,FRUTAS HUESO,3.8,6,22.8,4/1/2018
ACEITUNAS,LERIDA,kg,FRUTAS HUESO,3.8,760,2888,1/1/2020
ACEITUNAS,OTRAS PROVINCIAS,kg,FRUTAS HUESO,3.8,660,2508,11/1/2018
ACEITUNAS,SEVILLA,kg,FRUTAS HUESO,3.8,9104,34595.2,9/1/2018
ACEITUNAS,SEVILLA,kg,FRUTAS HUESO,3.8,30287,115090.6,10/1/2018
ACEITUNAS,SEVILLA,kg,FRUTAS HUESO,3.8,33379,126840.2,11/1/2018
ACEITUNAS,SEVILLA,kg,FRUTAS HUESO,3.8,18636,70816.8,9/1/2019
ACEITUNAS,SEVILLA,kg,FRUTAS HUESO,3.8,896,3404.8,10/1/2019
ACEITUNAS,SEVILLA,kg,FRUTAS HUESO,3.8,300,1140,11/1/2019
ACEITUNAS,SEVILLA,kg,FRUTAS HUESO,3.8,2030,7714,9/1/2020
ACEITUNAS,SEVILLA,kg,FRUTAS HUESO,3.8,130,494,10/1/2020
ACEITUNAS,TARRAGONA,kg,FRUTAS HUESO,3.8,143,543.4,9/1/2018
ACEITUNAS,TARRAGONA,kg,FRUTAS HUESO,3.8,903,3431.4,10/1/2018
ACEITUNAS,TARRAGONA,kg,FRUTAS HUESO,3.8,2249,8546.2,9/1/2019
ACEITUNAS,TARRAGONA,kg,FRUTAS HUESO,3.8,3318,12608.4,10/1/2019
ACEITUNAS,TARRAGONA,kg,FRUTAS HUESO,3.8,88,334.4,11/1/2019
ACEITUNAS,TARRAGONA,kg,FRUTAS HUESO,3.8,45,171,5/1/2020
ACEITUNAS,TARRAGONA,kg,FRUTAS HUESO,3.8,1225,4655,9/1/2020
ACEITUNAS,TARRAGONA,kg,FRUTAS HUESO,3.8,1040,3952,10/1/2020
ACEITUNAS,VALENCIA,kg,FRUTAS HUESO,3.8,4708,17890.4,9/1/2018
ACEITUNAS,VALENCIA,kg,FRUTAS HUESO,3.8,330,1254,10/1/2018
ACEITUNAS,VALENCIA,kg,FRUTAS HUESO,3.8,205,779,8/1/2019
ACEITUNAS,VALENCIA,kg,FRUTAS HUESO,3.8,4335,16473,9/1/2019
ACEITUNAS,VALENCIA,kg,FRUTAS HUESO,3.8,801,3043.8,10/1/2019
ACEITUNAS,VALENCIA,kg,FRUTAS HUESO,3.8,223,847.4,8/1/2020
