PRODUCTOS,Semana01,Semana02,Semana03,Semana04,Semana05,Semana06,Semana07,Semana08,Semana09,Semana10,Semana11,Semana12,Semana13,Semana14,Semana15,Semana16,Semana17,Semana18,Semana19,Semana20,Semana21,Semana22,Semana23,Semana24,Semana25,Semana26,Semana27,Semana28,Semana29,Semana30,Semana31,Semana32,Semana33,Semana34,Semana35,Semana36,Semana37,Semana38,Semana39,Semana40,Semana41,Semana42,Semana43,Semana44,Semana45,Semana46,Semana47,Semana48,Semana49,Semana50,Semana51,Semana52,Semana53
Clementina  (€/100 kg),35.85,38.40,40.53,40.87,39.03,45.76,61.50,61.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,35.54,38.02,34.98,39.22,37.65,37.86,39.89,42.20,42.98,40.35,38.74,36.51,33.39,31.24,27.31,24.80,24.25,22.73,21.53,20.09,19.20,19.31
Limón  (€/100 kg),41.22,40.04,41.10,41.31,41.31,40.06,39.74,40.36,39.51,38.71,38.49,40.03,44.11,47.73,51.04,56.48,67.12,69.27,75.33,73.67,69.64,65.97,60.77,52.58,48.73,44.14,42.20,31.25,31.25,31.25,23.75,24.25,23.75,25.00,22.50,22.50,22.50,52.89,52.06,48.50,47.27,44.23,41.74,34.13,33.89,34.64,29.62,26.07,25.00,23.88,22.34,21.02,19.06
Naranja  (€/100 kg),24.30,24.62,25.68,25.77,26.98,30.33,30.69,28.81,28.21,27.81,28.49,29.82,31.89,36.07,47.63,51.06,55.51,58.60,61.80,64.65,67.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,255.00,282.50,227.50,270.50,246.32,240.79,243.73,239.89,249.48,242.98,243.90,240.74,249.97,251.34,243.77,244.83,251.97,258.12,249.26,241.61,233.55,0.00
Aguacate (€/100 kg),215.70,217.71,216.94,219.54,239.45,242.69,239.61,231.68,228.30,225.21,222.09,219.12,223.94,226.39,223.95,219.58,221.02,230.03,219.40,200.94,215.69,214.00,217.06,217.99,231.71,244.11,266.76,214.67,247.21,286.20,315.40,364.09,333.26,305.25,326.06,337.75,313.98,328.41,280.07,257.40,236.22,231.33,219.26,199.57,186.61,182.14,171.21,172.87,175.09,179.34,178.31,188.89,190.73
Manzana Golden (€/100 kg),39.78,37.54,37.81,37.68,39.18,38.86,38.57,38.70,38.67,37.82,36.96,36.96,36.96,36.88,36.88,36.88,36.88,38.76,41.54,45.55,49.51,52.35,53.66,62.20,61.92,55.66,55.00,55.00,55.00,55.00,55.00,55.00,55.00,55.59,57.93,52.58,49.90,49.05,50.65,52.60,55.16,55.15,54.52,54.49,53.78,54.97,58.53,56.68,58.14,56.72,57.78,57.78,57.36
Pera Blanquilla  (€/100kg),62.01,62.01,66.02,66.02,66.02,65.84,66.84,66.84,67.34,67.16,67.16,67.16,68.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,55.34,54.27,50.00,55.34,55.06,52.54,53.07,52.87,51.34,52.36,54.03,53.75,53.75,53.10,53.10,53.10,53.10,50.80,50.80,50.80,50.80,0.00
Plátano (€/100 kg),33.57,28.71,28.76,28.53,28.95,19.60,17.40,17.18,15.85,14.97,15.30,13.87,16.11,15.17,15.44,20.00,21.90,21.81,22.41,23.14,22.32,35.34,30.53,31.70,32.85,33.75,33.55,32.32,41.13,51.88,56.40,56.63,56.29,57.00,56.03,55.66,60.66,69.41,75.52,81.43,95.80,96.09,96.71,97.93,98.03,88.49,81.02,51.37,31.52,32.39,34.40,32.08,31.79
Acelga (€/100kg),48.84,49.57,58.14,65.10,65.75,61.35,60.84,52.51,53.02,54.29,53.48,54.90,53.84,55.77,58.16,61.08,59.54,59.75,57.20,59.15,54.83,57.47,61.96,68.05,67.10,64.48,69.33,69.47,50.66,74.83,70.92,65.84,74.87,74.92,74.88,66.84,59.65,51.85,52.39,53.74,60.08,65.27,65.35,61.48,61.00,58.04,56.02,54.19,57.10,55.34,56.48,56.17,56.58
Alcachofa (€/100kg),93.87,102.74,131.46,131.47,98.41,77.36,67.01,58.21,59.65,55.88,54.35,53.29,50.50,51.99,50.61,62.22,63.46,56.01,59.64,63.91,69.91,69.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,64.25,64.20,64.20,64.10,64.20,64.50,150.00,150.00,168.52,163.20,152.70,141.58,152.95,160.80,148.67,117.83,116.65
Berenjena (€/100 kg),35.61,86.66,116.38,119.88,112.77,69.16,35.87,29.66,24.81,29.77,32.02,50.09,44.75,47.25,37.04,34.18,32.78,37.56,41.27,54.93,41.10,19.78,21.38,24.00,30.70,28.76,29.28,31.60,32.52,43.45,44.81,51.84,53.68,64.07,64.17,71.02,63.25,70.62,55.69,33.67,67.25,67.42,44.80,33.71,27.97,23.60,18.91,33.91,44.39,79.66,64.83,59.66,67.27
