Fecha,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Canal_Venta,Año,Mes
01-2013,T.FRUTAS FRESCAS,30442.71,39779.31,1.31,29.31,HIPERMERCADOS,2013,1
01-2013,NARANJAS,8351.55,6826.89,0.82,9.33,HIPERMERCADOS,2013,1
01-2013,MANDARINAS,4530.48,5048.76,1.11,10.26,HIPERMERCADOS,2013,1
01-2013,LIMONES,738.38,966.51,1.31,0.44,HIPERMERCADOS,2013,1
01-2013,PLATANOS,5130.44,7075.97,1.38,16.68,HIPERMERCADOS,2013,1
01-2013,MANZANAS,4572.06,6220.71,1.36,13.03,HIPERMERCADOS,2013,1
01-2013,PERAS,1957.33,2666.15,1.36,7.38,HIPERMERCADOS,2013,1
01-2013,MELOCOTONES,18.5,38.06,2.06,0.19,HIPERMERCADOS,2013,1
01-2013,ALBARICOQUES,2.0,6.98,3.49,0.03,HIPERMERCADOS,2013,1
01-2013,FRESAS/FRESON,321.1,1438.41,4.48,3.35,HIPERMERCADOS,2013,1
01-2013,MELON,268.68,455.62,0.17,0.35,HIPERMERCADOS,2013,1
01-2013,SANDIA,0.0,0.0,0.0,0.0,HIPERMERCADOS,2013,1
01-2013,CIRUELAS,57.21,135.45,2.37,0.45,HIPERMERCADOS,2013,1
01-2013,CEREZAS,26.64,238.84,8.97,0.15,HIPERMERCADOS,2013,1
01-2013,UVAS,269.57,707.63,2.62,1.41,HIPERMERCADOS,2013,1
01-2013,KIWI,1117.2,2249.7,2.01,6.05,HIPERMERCADOS,2013,1
01-2013,AGUACATE,390.02,955.15,2.45,2.66,HIPERMERCADOS,2013,1
01-2013,PIÑA,985.03,1342.03,1.36,2.28,HIPERMERCADOS,2013,1
01-2013,OTRAS FRUTAS FRESCAS,1706.53,3406.43,0.02,6.89,HIPERMERCADOS,2013,1
01-2013,FRUTAS IV GAMA,820.85,1121.7,1.37,2.04,HIPERMERCADOS,2013,1
01-2013,FRUTAS ECOLOGICAS,882.3,1306.36,1.48,2.33,HIPERMERCADOS,2013,1
02-2013,T.FRUTAS FRESCAS,26919.39,37392.57,1.39,27.23,HIPERMERCADOS,2013,2
02-2013,NARANJAS,7799.59,6307.31,0.81,9.47,HIPERMERCADOS,2013,2
02-2013,MANDARINAS,2613.7,3463.13,1.32,7.08,HIPERMERCADOS,2013,2
02-2013,LIMONES,570.26,784.19,1.38,3.66,HIPERMERCADOS,2013,2
02-2013,PLATANOS,4804.17,6368.2,1.33,15.14,HIPERMERCADOS,2013,2
02-2013,MANZANAS,4313.2,5803.81,1.35,12.45,HIPERMERCADOS,2013,2
02-2013,PERAS,1886.21,2780.56,1.47,7.82,HIPERMERCADOS,2013,2
02-2013,MELOCOTONES,91.4,204.63,2.24,0.23,HIPERMERCADOS,2013,2
02-2013,ALBARICOQUES,17.43,34.95,2.01,0.07,HIPERMERCADOS,2013,2
02-2013,FRESAS/FRESON,1496.64,4781.14,3.19,0.81,HIPERMERCADOS,2013,2
02-2013,MELON,329.73,621.02,1.88,0.51,HIPERMERCADOS,2013,2
02-2013,SANDIA,0.0,0.0,0.0,0.0,HIPERMERCADOS,2013,2
02-2013,CIRUELAS,65.13,201.89,0.31,0.61,HIPERMERCADOS,2013,2
02-2013,CEREZAS,24.38,86.48,3.55,0.25,HIPERMERCADOS,2013,2
02-2013,UVAS,94.44,371.3,3.93,0.69,HIPERMERCADOS,2013,2
02-2013,KIWI,1045.71,2093.05,0.02,4.98,HIPERMERCADOS,2013,2
02-2013,AGUACATE,322.81,842.95,2.61,1.87,HIPERMERCADOS,2013,2
02-2013,PIÑA,630.27,826.05,1.31,0.18,HIPERMERCADOS,2013,2
02-2013,OTRAS FRUTAS FRESCAS,814.3,1821.91,2.24,4.35,HIPERMERCADOS,2013,2
02-2013,FRUTAS IV GAMA,505.31,694.36,1.37,1.54,HIPERMERCADOS,2013,2
02-2013,FRUTAS ECOLOGICAS,846.99,1213.47,1.43,2.14,HIPERMERCADOS,2013,2
03-2013,T.FRUTAS FRESCAS,30721.44,43424.18,1.41,0.29,HIPERMERCADOS,2013,3
03-2013,NARANJAS,9157.17,7089.2,0.77,10.05,HIPERMERCADOS,2013,3
03-2013,MANDARINAS,1862.57,2778.74,1.49,5.75,HIPERMERCADOS,2013,3
03-2013,LIMONES,701.92,957.11,1.36,4.64,HIPERMERCADOS,2013,3
03-2013,PLATANOS,5527.4,7412.1,1.34,16.14,HIPERMERCADOS,2013,3
03-2013,MANZANAS,4353.21,6389.4,1.47,12.33,HIPERMERCADOS,2013,3
03-2013,PERAS,2081.33,3336.87,0.16,8.45,HIPERMERCADOS,2013,3
03-2013,MELOCOTONES,20.8,33.08,1.59,0.14,HIPERMERCADOS,2013,3
03-2013,ALBARICOQUES,12.14,23.63,1.95,0.09,HIPERMERCADOS,2013,3
03-2013,FRESAS/FRESON,2849.21,7047.38,2.47,1.12,HIPERMERCADOS,2013,3
03-2013,MELON,350.61,626.84,1.79,0.82,HIPERMERCADOS,2013,3
03-2013,SANDIA,79.5,110.91,0.14,0.16,HIPERMERCADOS,2013,3
03-2013,CIRUELAS,149.85,501.51,3.35,1.04,HIPERMERCADOS,2013,3
03-2013,CEREZAS,54.47,117.22,2.15,0.04,HIPERMERCADOS,2013,3
