Fecha,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Canal_Venta,Año,Mes
01-2013,TOTAL PATATAS,13874.44,11773.11,0.85,17.38,HIPERMERCADOS,2013,1
01-2013,PATATAS FRESCAS,8280.1,6163.61,0.74,9.31,HIPERMERCADOS,2013,1
01-2013,PATATAS CONGELADAS,466.99,560.79,0.12,1.54,HIPERMERCADOS,2013,1
01-2013,PATATAS PROCESADAS,1025.47,5048.71,4.92,11.09,HIPERMERCADOS,2013,1
01-2013,T.HORTALIZAS FRESCAS,20165.99,36027.37,1.79,29.29,HIPERMERCADOS,2013,1
01-2013,TOMATES,3561.68,5417.44,1.52,13.78,HIPERMERCADOS,2013,1
01-2013,CEBOLLAS,2860.78,2609.34,0.91,10.69,HIPERMERCADOS,2013,1
01-2013,AJOS,264.95,1339.95,5.06,4.15,HIPERMERCADOS,2013,1
01-2013,COLES,771.99,865.68,1.12,3.52,HIPERMERCADOS,2013,1
01-2013,PEPINOS,404.07,653.29,1.62,3.01,HIPERMERCADOS,2013,1
01-2013,JUDIAS VERDES,428.39,1381.38,3.22,3.28,HIPERMERCADOS,2013,1
01-2013,PIMIENTOS,1882.42,3706.59,1.97,10.47,HIPERMERCADOS,2013,1
01-2013,CHAMPIÑONES+O.SETAS,631.25,2109.41,3.34,5.44,HIPERMERCADOS,2013,1
01-2013,LECHUGA/ESC./ENDIVIA,1218.76,2800.29,0.23,7.84,HIPERMERCADOS,2013,1
01-2013,ESPARRAGOS,70.29,339.52,4.83,0.77,HIPERMERCADOS,2013,1
01-2013,VERDURAS DE HOJA,254.43,792.29,3.11,2.59,HIPERMERCADOS,2013,1
01-2013,BERENJENAS,389.97,835.3,2.14,0.31,HIPERMERCADOS,2013,1
01-2013,ZANAHORIAS,1573.1,1227.67,0.78,7.71,HIPERMERCADOS,2013,1
01-2013,CALABACINES,1385.4,2414.42,1.74,6.69,HIPERMERCADOS,2013,1
01-2013,OTR.HORTALIZAS/VERD.,4468.52,9534.79,2.13,17.67,HIPERMERCADOS,2013,1
