Fecha,Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),Canal_Venta,Año,Mes
01-2013,TOTAL PATATAS,577.37,556.92,0.96,0.81,INTERNET,2013,1
01-2013,PATATAS FRESCAS,352.3,291.06,0.83,0.42,INTERNET,2013,1
01-2013,PATATAS CONGELADAS,53.91,63.59,1.18,0.14,INTERNET,2013,1
01-2013,PATATAS PROCESADAS,34.23,202.27,5.91,0.45,INTERNET,2013,1
01-2013,T.HORTALIZAS FRESCAS,702.79,1314.69,1.87,1.49,INTERNET,2013,1
01-2013,TOMATES,144.16,229.82,1.59,0.74,INTERNET,2013,1
01-2013,CEBOLLAS,89.69,84.05,0.94,0.42,INTERNET,2013,1
01-2013,AJOS,7.77,43.05,5.54,0.13,INTERNET,2013,1
01-2013,COLES,6.24,17.41,2.79,0.04,INTERNET,2013,1
01-2013,PEPINOS,4.43,9.28,2.09,0.04,INTERNET,2013,1
01-2013,JUDIAS VERDES,18.83,73.83,3.92,0.23,INTERNET,2013,1
01-2013,PIMIENTOS,70.08,144.56,2.06,0.41,INTERNET,2013,1
01-2013,CHAMPIÑONES+O.SETAS,15.66,70.71,4.51,0.22,INTERNET,2013,1
01-2013,LECHUGA/ESC./ENDIVIA,34.72,89.29,2.57,0.35,INTERNET,2013,1
01-2013,ESPARRAGOS,4.45,6.3,1.42,0.04,INTERNET,2013,1
01-2013,VERDURAS DE HOJA,6.47,22.14,3.42,0.05,INTERNET,2013,1
01-2013,BERENJENAS,10.04,20.46,2.04,0.06,INTERNET,2013,1
01-2013,ZANAHORIAS,43.74,31.3,0.72,0.21,INTERNET,2013,1
01-2013,CALABACINES,86.41,140.66,1.63,0.04,INTERNET,2013,1
01-2013,OTR.HORTALIZAS/VERD.,160.11,331.81,2.07,0.67,INTERNET,2013,1
01-2013,VERD./HORT. IV GAMA,59.0,210.06,3.56,0.42,INTERNET,2013,1
01-2013,VERD./HORT. ECOLOGIC,43.76,61.94,1.42,0.09,INTERNET,2013,1
02-2013,TOTAL PATATAS,543.46,537.5,0.99,0.76,INTERNET,2013,2
02-2013,PATATAS FRESCAS,270.44,236.56,0.87,0.37,INTERNET,2013,2
02-2013,PATATAS CONGELADAS,36.34,37.74,1.04,0.01,INTERNET,2013,2
02-2013,PATATAS PROCESADAS,47.34,263.2,5.56,0.45,INTERNET,2013,2
02-2013,T.HORTALIZAS FRESCAS,525.0,979.39,1.87,1.34,INTERNET,2013,2
02-2013,TOMATES,95.65,159.85,1.67,0.54,INTERNET,2013,2
02-2013,CEBOLLAS,96.65,110.14,1.14,0.38,INTERNET,2013,2
02-2013,AJOS,4.08,21.25,5.21,0.06,INTERNET,2013,2
02-2013,COLES,4.74,7.75,1.63,0.02,INTERNET,2013,2
02-2013,PEPINOS,12.29,20.93,0.17,0.07,INTERNET,2013,2
02-2013,JUDIAS VERDES,4.47,16.37,3.66,0.03,INTERNET,2013,2
02-2013,PIMIENTOS,50.42,116.12,0.23,0.49,INTERNET,2013,2
02-2013,CHAMPIÑONES+O.SETAS,14.45,65.19,4.51,0.15,INTERNET,2013,2
02-2013,LECHUGA/ESC./ENDIVIA,27.76,87.56,3.15,0.23,INTERNET,2013,2
02-2013,ESPARRAGOS,0.0,0.0,0.0,0.0,INTERNET,2013,2
02-2013,VERDURAS DE HOJA,7.06,22.23,3.15,0.08,INTERNET,2013,2
02-2013,BERENJENAS,1.62,3.28,2.02,0.02,INTERNET,2013,2
02-2013,ZANAHORIAS,49.54,37.27,0.75,0.33,INTERNET,2013,2
02-2013,CALABACINES,59.98,88.83,1.48,0.03,INTERNET,2013,2
02-2013,OTR.HORTALIZAS/VERD.,96.29,222.63,2.31,0.64,INTERNET,2013,2
02-2013,VERD./HORT. IV GAMA,21.94,100.13,4.56,0.35,INTERNET,2013,2
02-2013,VERD./HORT. ECOLOGIC,47.74,71.88,1.51,0.15,INTERNET,2013,2
03-2013,TOTAL PATATAS,494.57,443.36,0.09,0.59,INTERNET,2013,3
03-2013,PATATAS FRESCAS,244.71,188.45,0.77,0.27,INTERNET,2013,3
03-2013,PATATAS CONGELADAS,20.43,21.39,1.05,0.07,INTERNET,2013,3
03-2013,PATATAS PROCESADAS,45.89,233.51,5.09,0.38,INTERNET,2013,3
03-2013,T.HORTALIZAS FRESCAS,443.72,844.07,0.19,1.05,INTERNET,2013,3
03-2013,TOMATES,94.83,151.83,0.16,0.38,INTERNET,2013,3
03-2013,CEBOLLAS,72.24,62.93,0.87,0.17,INTERNET,2013,3
03-2013,AJOS,5.82,29.74,5.11,0.08,INTERNET,2013,3
03-2013,COLES,0.45,1.99,0.44,0.01,INTERNET,2013,3
03-2013,PEPINOS,0.57,1.47,2.58,0.01,INTERNET,2013,3
03-2013,JUDIAS VERDES,8.74,22.07,2.53,0.07,INTERNET,2013,3
03-2013,PIMIENTOS,60.78,131.1,2.16,0.35,INTERNET,2013,3
03-2013,CHAMPIÑONES+O.SETAS,16.95,78.18,4.61,0.14,INTERNET,2013,3
03-2013,LECHUGA/ESC./ENDIVIA,17.54,50.57,2.88,0.15,INTERNET,2013,3
03-2013,ESPARRAGOS,1.92,1.83,0.95,0.01,INTERNET,2013,3
03-2013,VERDURAS DE HOJA,1.9,7.54,3.97,0.04,INTERNET,2013,3
03-2013,BERENJENAS,1.71,4.09,0.24,0.02,INTERNET,2013,3
03-2013,ZANAHORIAS,21.76,16.19,0.74,0.15,INTERNET,2013,3
03-2013,CALABACINES,41.37,56.93,1.38,0.21,INTERNET,2013,3
03-2013,OTR.HORTALIZAS/VERD.,97.14,227.61,2.34,0.52,INTERNET,2013,3
03-2013,VERD./HORT. IV GAMA,39.26,168.04,4.28,0.39,INTERNET,2013,3
03-2013,VERD./HORT. ECOLOGIC,13.37,20.39,1.52,0.06,INTERNET,2013,3
04-2013,TOTAL PATATAS,577.94,508.1,0.88,0.58,INTERNET,2013,4
04-2013,PATATAS FRESCAS,343.92,268.65,0.78,0.35,INTERNET,2013,4
04-2013,PATATAS CONGELADAS,26.66,27.82,1.04,0.06,INTERNET,2013,4
04-2013,PATATAS PROCESADAS,41.47,211.62,0.51,0.33,INTERNET,2013,4
04-2013,T.HORTALIZAS FRESCAS,412.71,910.19,2.21,1.02,INTERNET,2013,4
04-2013,TOMATES,55.97,127.42,2.28,0.31,INTERNET,2013,4
04-2013,CEBOLLAS,52.86,66.59,1.26,0.21,INTERNET,2013,4
04-2013,AJOS,3.28,19.16,5.84,0.06,INTERNET,2013,4
04-2013,COLES,18.29,19.91,1.09,0.09,INTERNET,2013,4
04-2013,PEPINOS,20.82,31.4,1.51,0.12,INTERNET,2013,4
04-2013,JUDIAS VERDES,18.63,37.96,2.04,0.14,INTERNET,2013,4
04-2013,PIMIENTOS,30.65,71.04,2.32,0.23,INTERNET,2013,4
04-2013,CHAMPIÑONES+O.SETAS,27.16,126.99,4.68,0.27,INTERNET,2013,4
04-2013,LECHUGA/ESC./ENDIVIA,28.25,75.7,2.68,0.23,INTERNET,2013,4
04-2013,ESPARRAGOS,6.24,21.1,3.38,0.09,INTERNET,2013,4
04-2013,VERDURAS DE HOJA,6.76,18.6,2.75,0.01,INTERNET,2013,4
04-2013,BERENJENAS,17.78,24.39,1.37,0.13,INTERNET,2013,4
04-2013,ZANAHORIAS,29.11,28.06,0.96,0.21,INTERNET,2013,4
04-2013,CALABACINES,31.59,50.78,1.61,0.18,INTERNET,2013,4
04-2013,OTR.HORTALIZAS/VERD.,65.32,191.09,2.93,0.47,INTERNET,2013,4
04-2013,VERD./HORT. IV GAMA,38.27,172.84,4.52,0.43,INTERNET,2013,4
04-2013,VERD./HORT. ECOLOGIC,34.21,62.3,1.82,0.14,INTERNET,2013,4
05-2013,TOTAL PATATAS,616.75,605.54,0.98,0.87,INTERNET,2013,5
05-2013,PATATAS FRESCAS,253.22,228.16,0.09,0.33,INTERNET,2013,5
05-2013,PATATAS CONGELADAS,21.52,23.35,1.08,0.07,INTERNET,2013,5
05-2013,PATATAS PROCESADAS,68.4,354.03,5.18,0.63,INTERNET,2013,5
05-2013,T.HORTALIZAS FRESCAS,420.46,970.34,2.31,1.13,INTERNET,2013,5
05-2013,TOMATES,77.55,171.14,2.21,0.51,INTERNET,2013,5
05-2013,CEBOLLAS,51.08,43.37,0.85,0.19,INTERNET,2013,5
05-2013,AJOS,5.47,32.17,5.88,0.09,INTERNET,2013,5
05-2013,COLES,0.0,0.0,0.0,0.0,INTERNET,2013,5
05-2013,PEPINOS,15.1,22.2,1.47,0.13,INTERNET,2013,5
05-2013,JUDIAS VERDES,24.41,69.88,2.86,0.18,INTERNET,2013,5
05-2013,PIMIENTOS,43.17,83.5,1.93,0.35,INTERNET,2013,5
05-2013,CHAMPIÑONES+O.SETAS,15.18,76.2,5.02,0.23,INTERNET,2013,5
05-2013,LECHUGA/ESC./ENDIVIA,25.68,68.46,2.67,0.24,INTERNET,2013,5
05-2013,ESPARRAGOS,0.76,5.44,7.18,0.02,INTERNET,2013,5
05-2013,VERDURAS DE HOJA,3.03,10.1,3.33,0.04,INTERNET,2013,5
05-2013,BERENJENAS,5.94,8.69,1.46,0.05,INTERNET,2013,5
05-2013,ZANAHORIAS,24.04,37.9,1.58,0.23,INTERNET,2013,5
