iter	RMSE
0	17686.42111
1	17597.22471
2	17553.04126
3	17485.52143
4	17456.80638
5	17404.77316
6	17385.56021
7	17362.17357
8	17346.01948
9	17333.87071
10	17294.02623
11	17283.1742
12	17254.0532
13	17239.97332
14	17230.20832
15	17218.81074
16	17210.96994
17	17201.99471
18	17180.28738
19	17162.9981
20	17154.38931
21	17141.6685
22	17135.48854
23	17125.99174
24	17119.46601
25	17091.53116
26	17083.92358
27	17076.08036
28	17070.68708
29	17063.74944
30	17058.62965
31	17036.49753
32	17023.31966
33	17005.79851
34	16995.40697
35	16992.93702
36	16988.88129
37	16985.37904
38	16980.91042
39	16977.35073
40	16974.41273
41	16971.10766
42	16962.82842
43	16957.98176
44	16952.5392
45	16938.62367
46	16936.93493
47	16930.945
48	16919.82126
49	16917.38393
50	16914.24581
51	16911.73855
52	16907.55053
53	16906.18716
54	16905.13162
55	16902.24697
56	16899.4012
57	16895.56841
58	16892.9842
59	16891.47999
60	16888.33482
61	16879.52622
62	16877.93644
63	16871.41235
64	16867.69327
65	16866.71425
66	16864.51652
67	16861.75583
68	16859.49731
69	16857.88465
70	16855.13782
71	16849.95167
72	16847.73163
73	16844.70239
74	16843.64666
75	16839.21298
76	16836.25509
77	16834.66637
78	16830.29027
79	16826.39973
80	16824.1594
81	16820.08984
82	16818.41608
83	16816.83667
84	16809.44371
85	16808.07027
86	16807.30083
87	16805.5371
88	16804.4122
89	16803.56667
90	16801.84666
91	16800.22547
92	16799.39262
93	16796.26661
94	16795.1515
95	16793.02351
96	16789.93279
97	16788.06457
98	16786.58681
99	16784.79184
100	16781.96556
101	16779.63134
102	16775.5459
103	16773.65929
104	16770.21343
105	16768.45316
106	16766.29654
107	16763.82106
108	16762.34255
109	16760.60527
110	16757.66236
111	16755.92995
112	16754.08395
113	16753.27984
114	16752.0386
115	16749.96182
116	16748.94223
117	16748.27719
118	16745.16329
119	16743.52594
120	16742.03648
121	16740.4035
122	16738.41175
123	16737.79377
124	16734.4773
125	16731.78022
126	16729.978
127	16728.4913
128	16727.69071
129	16720.84886
130	16719.46035
131	16718.56762
132	16717.26194
133	16715.94831
134	16714.72215
135	16713.90484
136	16712.58372
137	16711.98522
138	16709.94226
139	16709.06084
140	16707.84896
141	16707.07205
142	16706.02425
143	16705.51315
144	16704.3998
145	16703.72573
146	16701.23558
147	16698.58759
148	16697.068
149	16694.91489
150	16694.03234
151	16693.50663
152	16692.45607
153	16691.21268
154	16689.62332
155	16689.01751
156	16688.01299
157	16687.00419
158	16685.46372
159	16684.49273
160	16683.90618
161	16682.99603
162	16682.01807
163	16679.90219
164	16679.49183
165	16677.51704
166	16677.07188
167	16674.9487
168	16674.26098
169	16673.89811
170	16672.50366
171	16671.55181
172	16671.03479
173	16670.21334
174	16669.54261
175	16669.12527
176	16668.54976
177	16667.39573
178	16666.63024
179	16665.9393
180	16665.4658
181	16664.50557
182	16663.60739
183	16662.23884
184	16661.72407
185	16660.15642
186	16658.64338
187	16658.35171
188	16657.38734
189	16656.79575
190	16654.17457
191	16653.82294
192	16652.12484
193	16651.7339
194	16651.02813
195	16650.75573
196	16649.20105
197	16648.76488
198	16648.0244
199	16647.59688
200	16647.04177
201	16646.64505
202	16645.80867
203	16645.12959
204	16644.38098
205	16644.0024
206	16643.63081
207	16643.11287
208	16642.70586
209	16642.09039
210	16641.1769
211	16639.85855
212	16638.93992
213	16637.73575
214	16636.7346
215	16635.98242
216	16633.89139
217	16633.34971
218	16631.99525
219	16631.69069
220	16631.13651
221	16630.85991
222	16630.48987
223	16629.71086
224	16629.16999
225	16628.43531
226	16628.18728
227	16627.93601
228	16627.55339
229	16627.24359
230	16625.41252
231	16625.07301
232	16620.73311
233	16619.57554
234	16618.70081
235	16617.49848
236	16617.19363
237	16616.13279
238	16615.79795
239	16615.06948
240	16614.7442
241	16614.4505
242	16612.73235
243	16611.55524
244	16610.69939
245	16609.97405
246	16609.72026
247	16609.19026
248	16608.67432
249	16607.00722
250	16606.67
251	16606.22145
252	16605.83082
253	16605.32076
254	16605.02029
255	16604.77568
256	16601.81767
257	16600.73572
258	16596.87966
259	16595.99347
260	16594.94137
261	16593.72455
262	16593.3628
263	16593.09651
264	16592.07621
265	16591.8883
266	16591.49021
267	16590.81677
268	16587.36202
269	16586.43193
270	16586.12265
271	16585.18151
272	16584.13101
273	16582.50809
274	16582.20905
275	16580.78377
276	16580.08171
277	16579.14463
278	16578.89321
279	16578.40553
280	16578.18769
281	16577.76969
282	16576.97615
283	16576.72705
284	16576.02416
285	16573.25954
286	16572.82761
287	16572.65122
288	16571.32274
289	16571.02275
290	16570.72622
291	16570.08588
292	16569.89146
293	16569.2069
294	16569.00412
295	16568.35916
296	16565.26711
297	16564.81268
298	16564.66826
299	16563.92175
300	16563.19871
301	16561.83807
302	16559.63908
303	16559.40268
304	16559.11518
305	16558.08933
306	16557.04536
307	16555.67928
308	16554.98274
309	16554.67949
310	16553.61707
311	16553.40262
312	16552.54049
313	16552.16123
314	16551.98764
315	16551.56221
316	16549.34951
317	16547.78842
318	16547.5432
319	16547.27033
320	16546.89224
321	16546.36075
322	16546.04017
323	16545.89554
324	16545.05663
325	16544.37796
326	16544.12212
327	16543.91085
328	16543.6715
329	16543.11206
330	16542.43897
331	16542.20245
332	16542.02715
333	16541.84079
334	16540.03387
335	16539.39487
336	16538.71094
337	16538.26928
338	16538.09897
339	16537.54908
340	16535.92429
341	16534.22189
342	16533.10831
343	16532.99339
344	16529.98237
345	16528.88456
346	16528.03868
347	16527.48683
348	16526.78215
349	16526.53945
350	16526.35324
351	16525.50077
352	16524.82913
353	16524.28155
354	16523.03467
355	16522.19155
356	16521.8148
357	16520.49286
358	16520.31853
359	16520.10716
360	16519.25025
361	16518.85117
362	16518.34257
363	16518.12823
364	16516.87331
365	16515.59331
366	16515.44951
367	16514.12861
368	16513.95511
369	16512.67512
370	16511.86314
371	16511.60111
372	16511.4331
373	16511.22609
374	16510.92202
375	16510.77296
376	16510.21989
377	16509.1642
378	16508.8137
379	16507.88651
380	16507.21383
381	16506.89911
382	16506.34195
383	16505.54843
384	16504.60093
385	16504.42728
386	16503.41721
387	16503.17135
388	16502.95765
389	16502.28135
390	16501.25705
391	16500.83041
392	16499.83532
393	16499.28061
394	16498.7691
395	16498.01019
396	16496.65068
397	16494.11262
398	16493.46555
399	16492.73972
400	16492.62283
401	16492.06584
402	16491.44932
403	16491.12905
404	16490.94682
405	16490.50554
406	16490.13603
407	16489.62041
408	16489.09795
409	16488.50336
410	16487.91647
411	16487.12989
412	16487.02738
413	16485.94101
414	16485.50696
415	16485.30095
416	16484.28564
417	16483.83584
418	16483.64419
419	16482.83581
420	16482.55535
421	16481.75812
422	16480.94926
423	16480.68758
424	16479.98487
425	16479.82747
426	16479.0207
427	16478.88052
428	16478.68058
429	16478.50491
430	16477.96929
431	16477.84654
432	16477.44759
433	16477.2861
434	16476.66334
435	16474.39759
436	16474.22849
437	16473.73548
438	16473.12871
439	16472.99379
440	16472.67276
441	16472.2042
442	16471.6879
443	16471.09833
444	16470.97464
