iter	Passed	Remaining
0	3	1624
1	6	1501
2	8	1443
3	11	1405
4	14	1405
5	16	1396
6	19	1380
7	23	1437
8	26	1440
9	29	1436
10	32	1465
11	36	1472
12	39	1467
13	42	1459
14	45	1468
15	48	1470
16	51	1469
17	55	1472
18	58	1476
19	61	1483
20	65	1483
21	68	1482
22	71	1483
23	75	1487
24	78	1486
25	81	1485
26	84	1486
27	88	1489
28	91	1485
29	94	1478
30	97	1477
31	100	1472
32	104	1473
33	107	1470
34	110	1469
35	114	1472
36	117	1472
37	121	1471
38	124	1471
39	127	1470
40	131	1474
41	135	1474
42	138	1471
43	141	1470
44	145	1468
45	148	1469
46	152	1469
47	155	1467
48	159	1465
49	162	1465
50	166	1463
51	169	1462
52	172	1458
53	176	1458
54	180	1461
55	183	1456
56	186	1449
57	189	1441
58	192	1435
59	194	1426
60	197	1420
61	200	1413
62	202	1406
63	205	1401
64	208	1397
65	211	1392
66	215	1389
67	218	1386
68	221	1381
69	224	1377
70	227	1372
71	230	1367
72	232	1361
73	235	1356
74	238	1351
75	241	1346
76	244	1340
77	246	1334
78	249	1327
79	251	1322
80	254	1316
81	257	1310
82	259	1305
83	262	1300
84	265	1295
85	268	1290
86	270	1286
87	274	1283
88	277	1281
89	281	1280
90	284	1277
91	287	1274
92	290	1271
93	293	1268
94	296	1263
95	299	1259
96	302	1256
97	305	1252
98	307	1247
99	310	1242
100	313	1236
101	315	1232
102	318	1226
103	321	1222
104	323	1218
105	326	1214
106	329	1209
107	332	1205
108	334	1201
109	337	1197
110	340	1193
111	343	1189
112	346	1185
113	348	1181
114	351	1176
115	353	1171
116	356	1166
117	359	1162
118	362	1159
119	364	1155
120	367	1150
121	370	1146
122	372	1142
123	376	1142
124	379	1139
125	382	1136
126	385	1132
127	388	1128
128	391	1127
129	394	1123
130	398	1121
131	401	1119
132	405	1118
133	408	1116
134	411	1112
135	414	1109
136	417	1106
137	420	1103
138	423	1099
139	426	1096
140	429	1092
141	433	1091
142	436	1090
143	440	1089
144	444	1087
145	447	1086
146	451	1083
147	454	1080
148	457	1077
149	461	1077
150	464	1074
151	468	1071
152	471	1068
153	474	1066
154	478	1064
155	481	1061
156	484	1058
157	488	1056
158	491	1054
159	494	1051
160	497	1047
161	500	1044
162	505	1044
163	510	1045
164	513	1042
165	516	1039
166	520	1037
167	523	1035
168	527	1032
169	530	1029
170	534	1029
