,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,ABRIL 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,ABRIL 2020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,
CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,,
,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREALES,,,,,,,,,,,,,,HORTALIZAS,,,,,,,,,,,,,,,
trigo blando,,,3,"1,686.9","1,652.9","1,643.7",99.4,,4,"6,703.2","5,107.7","6,100.0",119.4,habas verdes (8),,,3,6.0,6.4,6.2,96.3,,3,50.9,55.3,53.3,96.4,,
trigo duro,,,3,374.6,265.6,285.7,107.6,,4,"1,282.5",733.7,872.4,118.9,endivias (9),,,4,24.1,28.8,28.7,99.7,,12,5.7,7.0,,,,
trigo total,,,3,"2,061.5","1,918.5","1,929.3",100.6,,4,"7,985.7","5,841.3","6,972.4",119.4,escarolas,,,10,2.5,2.3,2.4,101.1,,3,70.3,67.0,66.1,98.7,,
cebada de seis carreras,,,3,336.7,267.9,298.6,111.5,,4,"1,020.7",619.5,867.7,140.1,espinacas,,,3,4.5,5.3,,,,4,81.5,77.2,,,,
cebada de dos carreras,,,4,"2,232.8","2,416.4","2,387.6",98.8,,4,"8,108.9","6,777.4","8,236.8",121.5,champiñón (9),,,2,45.6,43.2,44.3,102.6,,4,149.8,146.0,150.4,103.0,,
cebada total,,,4,"2,569.5","2,684.3","2,686.2",100.1,,4,"9,129.5","7,396.9","9,104.5",123.1,otras setas (9),,,3,9.4,9.2,9.9,108.2,,4,16.5,16.0,16.9,105.9,,
avena,,,3,556.5,463.2,482.0,104.1,,4,"1,486.9",811.2,"1,088.6",134.2,brócoli,,,2,33.5,31.7,,,,3,543.1,540.9,,,,
centeno,,,3,136.3,135.9,139.5,102.6,,4,388.5,246.7,366.7,148.6,apio,,,3,1.9,1.9,1.8,97.8,,3,94.7,97.2,105.3,108.3,,
triticale,,,3,213.1,246.1,243.7,99.0,,4,649.0,571.8,710.1,124.2,pepino,,,3,7.5,7.1,7.3,102.9,,3,643.6,622.0,737.9,118.6,,
cereales otoño invierno,,,,"5,536.8","5,448.0","5,480.7",100.6,,,"19,639.7","14,867.9","18,242.3",122.7,pepinillo (9),,,4,0.4,0.4,0.3,75.0,,11,0.0,0.0,,,,
maíz,,,4,322.4,357.6,348.9,97.6,,1,"3,842.5","4,185.4",,,berenjena,,,4,3.6,3.5,3.9,113.5,,4,238.3,231.2,307.5,133.0,,
sorgo,,,4,6.0,6.7,7.1,105.0,,12,25.6,28.1,,,calabaza,,,4,4.1,4.1,4.2,102.5,,11,121.3,131.5,,,,
arroz (2),,,4,105.0,103.9,103.4,99.6,,11,808.2,800.9,,,calabacín,,,3,11.1,10.6,11.1,105.0,,4,596.3,602.0,561.9,93.3,,
,,,,,,,,,,,,,,zanahoria,,,3,6.6,6.5,6.7,102.2,,1,382.4,386.2,,,,
LEGUMINOSAS GRANO,,,,,,,,,,,,,,nabo (10),,,3,6.3,5.3,5.2,98.5,,12,65.7,71.9,80.8,112.3,,
judías secas,,,4,9.3,9.3,9.4,100.3,,11,17.1,15.1,,,rábano (9),,,3,23.3,22.3,21.8,97.8,,12,4.2,4.0,3.6,90.8,,
habas secas,,,2,23.2,22.4,23.6,105.3,,4,34.8,30.4,31.3,103.1,puerro,,,11,2.8,2.7,2.9,106.7,,3,81.6,80.8,87.0,107.6,,
lentejas,,,4,44.1,50.2,44.9,89.5,,4,42.8,35.5,60.4,170.2,,,,,,,,,,,,,,,,
garbanzos,,,4,70.6,51.7,51.3,99.2,,4,91.5,47.7,53.9,113.0,CÍTRICOS,,,,,,,,,,,,,,,
guisantes secos,,,4,149.0,145.1,140.5,96.8,,4,262.6,174.1,234.2,134.5,naranja dulce,,,,,,,,,2,"3,930.4","3,331.3",,,,
veza,,,2,103.1,81.1,83.9,103.6,,4,135.6,62.2,98.0,157.6,limón,,,,,,,,,2,"1,148.6",922.9,,,,
altramuz dulce,,,4,3.0,2.2,2.2,100.0,,4,2.8,1.6,1.4,90.7,pomelo,,,,,,,,,4,80.6,67.6,,,,
yeros,,,2,54.9,43.4,45.3,104.4,,4,63.1,32.4,56.7,174.9,satsumas,,,,,,,,,12,205.3,144.7,,,,
,,,,,,,,,,,,,,clementinas,,,,,,,,,1,"1,533.6",942.6,,,,
TUBÉRCULOS,,,,,,,,,,,,,,híbridos (mandarina),,,,,,,,,3,646.1,727.9,,,,
patata extratemprana,,,4,3.6,3.7,3.6,97.1,,4,76.0,89.5,89.0,99.5,mandarina total (11),,,,,,,,,,"2,385.0","1,815.2",,,,
patata temprana,,,4,14.4,14.8,14.0,94.6,,4,392.7,461.1,428.0,92.8,,,,,,,,,,,,,,,,
patata media estación,,,4,29.9,30.5,30.8,101.2,,9,818.4,901.5,,,FRUTALES,,,,,,,,,,,,,,,
patata tardía,,,4,19.6,19.5,19.8,101.3,,12,723.9,817.1,,,manzana sidra,,,,,,,,,11,79.3,93.6,,,,
patata total,,,4,67.5,68.5,68.2,99.6,,12,"2,010.9","2,269.1",,,manzana de mesa,,,,,,,,,11,483.6,570.6,,,,
,,,,,,,,,,,,,,manzana total,,,,,,,,,,563.0,664.3,,,,
CULTIVOS INDUSTRIALES,,,,,,,,,,,,,,pera total,,,,,,,,,11,332.3,313.4,,,,
remolacha azucarera (r. verano),,,3,7.6,6.5,8.4,128.1,,3,699.3,545.4,803.2,147.3,albaricoque,,,,,,,,,4,176.3,131.7,137.0,104.0,,
remolacha azucarera (r. invierno),,,4,27.7,23.9,22.7,95.1,,3,"2,170.9","2,229.4",,,cereza y guinda,,,,,,,,,3,107.0,115.4,110.6,95.8,,
remolacha total,,,,35.3,30.4,31.1,102.2,,,"2,870.3","2,774.8",,,melocotón (12),,,,,,,,,4,903.8,910.0,941.1,103.4,,
algodón (3),,,4,65.1,66.0,65.9,99.9,,1,194.5,209.4,,,ciruela,,,,,,,,,3,153.0,168.5,161.7,95.9,,
girasol,,,4,691.3,700.9,690.7,98.5,,11,950.3,788.2,,,plátano,,,,,,,,,2,386.2,396.7,404.9,102.1,,
soja,,,11,1.5,1.5,,,,11,4.2,4.7,,,higo,,,,,,,,,10,47.8,37.7,,,,
colza,,,2,78.4,69.4,71.1,102.5,,4,175.2,144.1,168.5,116.9,kiwi,,,,,,,,,12,23.8,25.0,,,,
tabaco (4),,,10,8.5,8.7,,,,11,26.0,26.6,,,aguacate,,,,,,,,,3,89.6,95.5,,,,
,,,,,,,,,,,,,,nectarina,,,,,,,,,10,547.1,572.5,,,,
CULTIVOS FORRAJEROS,,,,,,,,,,,,,,nuez (13),,,,,,,,,11,15.2,15.1,,,,
maíz forrajero (5),,,11,107.3,109.7,,,,11,"4,055.5","4,819.2",,,castaña,,,,,,,,,12,184.8,160.8,,,,
alfalfa (5),,,3,260.3,257.8,259.2,100.5,,11,"9,900.8","9,431.2",,,frambuesa,,,,,,,,,4,43.7,36.2,60.3,166.8,,
veza para forraje (5),,,2,143.6,146.8,141.3,96.3,,11,"2,139.4","1,428.9",,,almendra (13),,,,,,,,,4,339.0,332.0,363.2,109.4,,
,,,,,,,,,,,,,,avellana (13),,,,,,,,,11,8.0,12.6,,,,
HORTALIZAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
