,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,AGOSTO 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,AGOSTO 2020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,
CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,,
,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREALES,,,,,,,,,,,,,,HORTALIZAS,,,,,,,,,,,,,,,
trigo blando,,,3,"1,686.9","1,652.9","1,650.9",99.9,,8,"6,703.2","5,107.7","7,128.4",139.6,habas verdes (8),,,6,6.0,6.4,6.2,97.3,,6,50.9,55.3,54.7,98.9,,
trigo duro,,,3,374.6,265.6,254.1,95.7,,8,"1,282.5",733.7,825.8,112.6,endivias (9),,,8,24.1,28.8,38.4,133.3,,12,5.7,7.0,,,,
trigo total,,,3,"2,061.5","1,918.5","1,905.0",99.3,,8,"7,985.7","5,841.3","7,954.2",136.2,escarolas,,,10,2.5,2.3,2.4,101.1,,3,70.3,67.0,66.1,98.7,,
cebada de seis carreras,,,3,336.7,267.9,305.9,114.2,,8,"1,020.7",619.5,972.1,156.9,espinacas,,,7,4.5,5.3,5.0,93.8,,6,81.5,77.2,77.2,100.0,,
cebada de dos carreras,,,4,"2,232.8","2,416.4","2,440.9",101.0,,8,"8,108.9","6,777.4","9,959.4",147.0,champiñón (9),,,5,45.6,43.2,43.5,100.8,,6,149.8,146.0,148.4,101.7,,
cebada total,,,4,"2,569.5","2,684.3","2,746.7",102.3,,8,"9,129.5","7,396.9","10,931.5",147.8,otras setas (9),,,5,9.4,9.2,9.3,101.6,,6,16.5,16.0,16.9,105.8,,
avena,,,3,556.5,463.2,501.2,108.2,,8,"1,486.9",811.2,"1,259.7",155.3,brócoli,,,7,33.5,31.3,31.7,101.2,,5,543.1,531.9,,,,
centeno,,,3,136.3,135.9,136.5,100.4,,8,388.5,246.7,389.6,157.9,apio,,,5,1.9,1.9,1.9,99.0,,5,94.7,97.2,107.9,111.0,,
triticale,,,3,213.1,246.1,258.0,104.9,,6,649.0,571.8,809.6,141.6,pepino,,,3,7.5,7.1,7.4,103.6,,6,643.6,622.0,804.2,129.3,,
cereales otoño invierno,,,,"5,536.8","5,448.0","5,547.4",101.8,,,"19,639.7","14,867.9","21,344.5",143.6,pepinillo (9),,,6,0.4,0.4,0.4,100.0,,7,0.0,0.0,0.0,36.6,,
maíz,,,7,322.4,357.6,350.1,97.9,,8,"3,842.5","4,185.4","4,090.2",97.7,berenjena,,,4,3.6,3.5,3.9,113.7,,8,238.3,231.2,282.0,121.9,,
sorgo,,,6,6.0,6.7,5.5,81.9,,7,25.6,28.1,24.6,87.5,calabaza,,,5,4.1,4.1,4.4,107.7,,11,121.3,131.5,,,,
arroz (2),,,6,105.0,103.9,101.7,97.9,,8,808.2,800.9,787.3,98.3,calabacín,,,5,11.1,10.6,11.1,105.0,,7,596.3,602.0,595.9,99.0,,
,,,,,,,,,,,,,,zanahoria,,,5,6.6,6.5,7.0,106.5,,6,382.4,386.2,404.8,104.8,,
LEGUMINOSAS GRANO,,,,,,,,,,,,,,nabo (10),,,3,6.3,5.3,5.2,98.4,,5,65.7,71.9,79.8,111.0,,
judías secas,,,8,9.3,9.3,9.4,100.4,,8,17.1,15.1,18.1,119.8,rábano (9),,,3,23.3,22.3,21.8,97.8,,6,4.2,4.0,4.0,101.0,,
habas secas,,,8,23.2,22.4,21.4,95.4,,8,34.8,30.4,34.5,113.7,puerro,,,11,2.8,2.7,2.9,106.7,,3,81.6,80.8,87.0,107.7,,
lentejas,,,8,44.1,50.2,36.6,73.0,,8,42.8,35.5,46.4,130.9,,,,,,,,,,,,,,,,
garbanzos,,,8,70.6,51.7,38.3,74.2,,8,91.5,47.7,44.7,93.8,CÍTRICOS,,,,,,,,,,,,,,,
guisantes secos,,,8,149.0,145.1,119.7,82.5,,8,262.6,174.1,227.3,130.6,naranja dulce,,,,,,,,,8,"3,930.4","3,279.5","3,449.5",105.2,,
veza,,,8,103.1,81.1,83.1,102.5,,8,135.6,62.2,123.2,198.2,limón,,,,,,,,,8,"1,148.6",931.1,"1,031.3",110.8,,
altramuz dulce,,,8,3.0,2.2,2.0,92.1,,8,2.8,1.6,1.9,119.3,pomelo,,,,,,,,,4,80.6,70.6,,,,
yeros,,,8,54.9,43.4,43.2,99.4,,8,63.1,32.4,63.7,196.4,satsumas,,,,,,,,,12,205.3,144.5,,,,
,,,,,,,,,,,,,,clementinas,,,,,,,,,1,"1,533.6",949.8,,,,
TUBÉRCULOS,,,,,,,,,,,,,,híbridos (mandarina),,,,,,,,,3,646.1,737.7,,,,
patata extratemprana,,,4,3.6,3.7,3.6,96.6,,4,76.0,89.5,88.5,98.9,mandarina total (11),,,,,,,,,,"2,385.0","1,831.9",,,,
patata temprana,,,6,14.4,14.8,14.1,95.6,,6,392.7,461.1,440.0,95.4,,,,,,,,,,,,,,,,
patata media estación,,,6,29.9,30.5,30.7,100.6,,8,818.4,901.5,876.3,97.2,FRUTALES,,,,,,,,,,,,,,,
patata tardía,,,8,19.6,19.5,18.9,96.5,,8,723.9,817.1,,,manzana sidra,,,,,,,,,8,79.3,93.6,90.9,97.1,,
patata total,,,7,67.5,68.5,67.3,98.1,,12,"2,010.9","2,269.1",,,manzana de mesa,,,,,,,,,8,483.6,570.6,512.5,89.8,,
,,,,,,,,,,,,,,manzana total,,,,,,,,,,563.0,664.3,603.4,90.8,,
CULTIVOS INDUSTRIALES,,,,,,,,,,,,,,pera total,,,,,,,,,8,332.3,313.4,318.7,101.7,,
remolacha azucarera (r. verano),,,6,7.6,6.5,6.8,103.6,,8,699.3,545.4,599.2,109.9,albaricoque,,,,,,,,,8,176.3,131.7,131.6,99.9,,
remolacha azucarera (r. invierno),,,6,27.7,23.9,20.1,84.2,,3,"2,170.9","2,229.4",,,cereza y guinda,,,,,,,,,6,107.0,115.4,95.1,82.4,,
remolacha total,,,,35.3,30.4,26.9,88.4,,,"2,870.3","2,774.8",,,melocotón (12),,,,,,,,,8,903.8,910.0,787.0,86.5,,
algodón (3),,,7,65.1,66.0,61.7,93.5,,8,194.5,209.4,192.5,91.9,ciruela,,,,,,,,,6,153.0,168.5,151.5,89.9,,
girasol,,,6,691.3,700.9,651.2,92.9,,8,950.3,788.2,880.5,111.7,plátano,,,,,,,,,8,386.2,396.7,409.8,103.3,,
soja,,,5,1.5,1.5,1.5,96.6,,7,4.2,4.7,4.3,91.8,higo,,,,,,,,,8,47.8,37.7,45.0,119.3,,
colza,,,7,78.4,69.4,71.8,103.5,,7,175.2,144.1,201.1,139.5,kiwi,,,,,,,,,12,23.8,25.0,,,,
tabaco (4),,,5,8.5,8.7,8.2,94.1,,8,26.0,26.6,26.5,99.6,aguacate,,,,,,,,,3,89.6,95.5,,,,
,,,,,,,,,,,,,,nectarina,,,,,,,,,8,547.1,572.5,466.0,81.4,,
CULTIVOS FORRAJEROS,,,,,,,,,,,,,,nuez (13),,,,,,,,,11,15.2,15.1,,,,
maíz forrajero (5),,,8,107.3,109.7,108.9,99.3,,8,"4,055.5","4,819.2","4,147.0",86.1,castaña,,,,,,,,,12,184.8,160.8,,,,
alfalfa (5),,,8,260.3,257.8,254.6,98.8,,8,"9,900.8","9,431.2","9,924.8",105.2,frambuesa,,,,,,,,,6,43.7,36.2,51.8,143.2,,
