RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,DICIEMBRE 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,DICIEMBRE 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,DICIEMBRE 2020,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,
CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,PROVIS.,PROVIS.,AVANCE,2020,CULTIVOS,,,,PROVIS.,PROVIS.,AVANCE,2021,,,PROVIS.,PROVIS.,AVANCE,2021
,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,,,MES (1),2019,2020,2021,2020=100,,MES (1),2019,2020,2021,2020=100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREALES,,,,,,,,,,,,,,HORTALIZAS,,,,,,,,,,,,,,CEREALES,,,,,,,,,,,,,
trigo blando,,,9,"1,686.90","1,651.80","1,658.20",100.4,,9,"6,703.20","5,094.60","7,120.20",139.8,habas verdes (8),,,6,6,6.5,6.2,95.7,,6,50.9,57,54.7,95.9,trigo blando,,,12,"1,651.80","1,658.20","1,688.50",101.8,,9,"5,094.60","7,120.20",,
trigo duro,,,9,374.6,266.6,251.3,94.2,,9,"1,282.50",704.1,819.3,116.4,endivias (9),,,8,24.1,19.1,38.6,202.1,,12,5.7,4.6,9.3,203.5,trigo duro,,,12,266.6,251.3,251,99.9,,9,704.1,819.3,,
trigo total,,,9,"2,061.50","1,918.40","1,909.50",99.5,,9,"7,985.70","5,798.70","7,939.50",136.9,escarolas,,,10,2.5,2.3,2.4,100.5,,3,70.3,64.7,66.1,102.2,trigo total,,,12,"1,918.40","1,909.50","1,939.40",101.6,,9,"5,798.70","7,939.50",,
cebada de seis carreras,,,9,336.7,267.1,286.3,107.2,,9,"1,020.70",612.4,996.4,162.7,espinacas,,,11,4.5,4.3,5.1,118,,12,81.5,79.2,82.9,104.6,cebada de seis carreras,,,12,267.1,286.3,281.8,98.4,,9,612.4,996.4,,
cebada de dos carreras,,,9,"2,232.80","2,426.40","2,477.40",102.1,,9,"8,108.90","6,787.50","9,964.20",146.8,champiñón (9),,,5,45.6,25.2,43.5,172.7,,6,149.8,151.8,148.4,97.8,cebada de dos carreras,,,12,"2,426.40","2,477.40","2,437.40",98.4,,9,"6,787.50","9,964.20",,
