,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,ENERO 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,ENERO 2020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,
CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,,
,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREALES,,,,,,,,,,,,,,HORTALIZAS,,,,,,,,,,,,,,,
trigo blando,,,1,"1,686.9","1,652.9","1,655.5",100.2,,9,"6,703.2","5,107.7",,,habas verdes (8),,,1,6.0,6.4,6.4,100.6,,1,50.9,55.3,56.7,102.5,,
trigo duro,,,1,374.6,265.6,285.6,107.6,,9,"1,282.5",733.7,,,endivias (9),,,8,24.1,28.8,,,,12,5.7,7.0,,,,
trigo total,,,1,"2,061.5","1,918.5","1,941.1",101.2,,9,"7,985.7","5,841.3",,,escarolas,,,10,2.5,2.3,2.4,104.1,,1,70.3,67.0,66.9,99.9,,
cebada de seis carreras,,,1,336.7,267.9,297.7,111.1,,9,"1,020.7",619.5,,,espinacas,,,11,4.5,5.3,,,,1,81.5,77.2,,,,
cebada de dos carreras,,,1,"2,232.8","2,416.4","2,408.7",99.7,,9,"8,108.9","6,777.4",,,champiñón (9),,,11,45.6,43.2,43.3,100.3,,12,149.8,146.0,151.3,103.7,,
cebada total,,,1,"2,569.5","2,684.3","2,706.5",100.8,,9,"9,129.5","7,396.9",,,otras setas (9),,,1,9.4,9.3,9.9,107.0,,12,16.5,16.0,16.8,104.9,,
avena,,,1,556.5,463.2,481.6,104.0,,9,"1,486.9",811.2,,,brócoli,,,10,33.5,31.7,,,,1,543.1,540.5,,,,
centeno,,,1,136.3,135.9,139.9,102.9,,9,388.5,246.7,,,apio,,,9,1.9,1.9,1.9,99.9,,12,94.7,97.2,107.4,110.4,,
triticale,,,1,213.1,246.1,244.1,99.2,,9,649.0,571.8,,,pepino,,,12,7.5,7.1,7.4,104.6,,6,643.6,622.0,,,,
cereales otoño invierno,,,,"5,536.8","5,448.0","5,513.2",101.2,,,"19,639.7","14,867.9",,,pepinillo (9),,,6,0.4,0.4,,,,11,0.0,0.0,,,,
maíz,,,1,322.4,357.6,,,,1,"3,842.5","4,185.4",,,berenjena,,,1,3.6,3.5,3.4,99.1,,1,238.3,231.2,240.1,103.8,,
sorgo,,,12,6.0,6.7,,,,12,25.6,28.1,,,calabaza,,,5,4.1,4.1,,,,11,121.3,131.5,,,,
arroz (2),,,11,105.0,103.9,,,,11,808.2,800.9,,,calabacín,,,12,11.1,10.6,10.4,97.5,,10,596.3,601.9,,,,
,,,,,,,,,,,,,,zanahoria,,,11,6.6,6.5,,,,1,382.4,386.2,,,,
LEGUMINOSAS GRANO,,,,,,,,,,,,,,nabo (10),,,9,6.3,5.3,5.2,99.3,,12,65.7,71.9,80.8,112.3,,
judías secas,,,11,9.3,9.3,,,,11,17.1,15.1,,,rábano (9),,,10,23.3,22.3,20.6,92.4,,12,4.2,4.0,3.8,95.8,,
habas secas,,,11,23.2,22.4,23.7,105.6,,8,34.8,30.4,,,puerro,,,11,2.8,2.7,2.9,107.6,,12,81.6,80.8,79.9,98.9,,
lentejas,,,8,44.1,50.2,,,,8,42.8,35.5,,,,,,,,,,,,,,,,,,
garbanzos,,,8,70.6,51.7,,,,8,91.5,47.7,,,CÍTRICOS,,,,,,,,,,,,,,,
guisantes secos,,,11,149.0,145.1,144.1,99.4,,8,262.6,174.1,,,naranja dulce,,,,,,,,,11,"3,930.4","3,266.8",,,,
veza,,,11,103.1,81.1,85.7,105.7,,8,135.6,62.2,,,limón,,,,,,,,,11,"1,148.6",959.9,,,,
altramuz dulce,,,11,3.0,2.2,,,,8,2.8,1.6,,,pomelo,,,,,,,,,12,80.6,64.3,,,,
yeros,,,11,54.9,43.4,45.2,104.2,,8,63.1,32.4,,,satsumas,,,,,,,,,12,205.3,144.7,,,,
,,,,,,,,,,,,,,clementinas,,,,,,,,,1,"1,533.6",944.5,,,,
TUBÉRCULOS,,,,,,,,,,,,,,híbridos (mandarina),,,,,,,,,1,646.1,714.5,,,,
patata extratemprana,,,1,3.6,3.7,3.7,99.3,,1,76.0,89.5,89.5,100.1,mandarina total (11),,,,,,,,,,"2,385.0","1,803.6",,,,
patata temprana,,,1,14.4,14.8,13.9,94.0,,6,392.7,461.1,,,,,,,,,,,,,,,,,,
patata media estación,,,9,29.9,30.5,,,,9,818.4,901.5,,,FRUTALES,,,,,,,,,,,,,,,
patata tardía,,,12,19.6,19.5,,,,12,723.9,817.1,,,manzana sidra,,,,,,,,,11,79.3,93.6,,,,
patata total,,,12,67.5,68.5,,,,12,"2,010.9","2,269.1",,,manzana de mesa,,,,,,,,,11,483.6,570.6,,,,
,,,,,,,,,,,,,,manzana total,,,,,,,,,,563.0,664.3,,,,
CULTIVOS INDUSTRIALES,,,,,,,,,,,,,,pera total,,,,,,,,,11,332.3,313.4,,,,
remolacha azucarera (r. verano),,,1,7.6,6.5,8.4,128.3,,9,699.3,545.4,,,albaricoque,,,,,,,,,11,176.3,131.7,,,,
remolacha azucarera (r. invierno),,,12,27.7,23.9,,,,12,"2,170.9","2,400.3",,,cereza y guinda,,,,,,,,,11,107.0,115.4,,,,
remolacha total,,,,35.3,30.5,,,,,"2,870.3","2,945.8",,,melocotón (12),,,,,,,,,9,903.8,910.0,,,,
algodón (3),,,1,65.1,66.0,,,,1,194.5,209.4,,,ciruela,,,,,,,,,11,153.0,168.5,,,,
girasol,,,11,691.3,700.9,,,,11,950.3,788.2,,,plátano,,,,,,,,,11,386.2,396.7,,,,
soja,,,11,1.5,1.5,,,,11,4.2,4.7,,,higo,,,,,,,,,10,47.8,37.7,,,,
colza,,,11,78.4,69.4,71.3,102.7,,7,175.2,144.1,,,kiwi,,,,,,,,,12,23.8,25.0,,,,
tabaco (4),,,10,8.5,8.7,,,,11,26.0,26.6,,,aguacate,,,,,,,,,1,89.6,96.8,,,,
,,,,,,,,,,,,,,nectarina,,,,,,,,,10,547.1,590.9,,,,
CULTIVOS FORRAJEROS,,,,,,,,,,,,,,nuez (13),,,,,,,,,11,15.2,15.1,,,,
maíz forrajero (5),,,11,107.3,109.7,,,,11,"4,055.5","4,819.2",,,castaña,,,,,,,,,12,184.8,160.8,,,,
alfalfa (5),,,11,260.3,257.8,,,,11,"9,900.8","9,431.2",,,frambuesa,,,,,,,,,6,43.7,36.2,,,,
veza para forraje (5),,,11,143.6,146.8,,,,11,"2,139.4","1,428.9",,,almendra (13),,,,,,,,,11,339.0,332.0,,,,
,,,,,,,,,,,,,,avellana (13),,,,,,,,,11,8.0,12.6,,,,
HORTALIZAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
col repollo total,,,11,4.4,5.2,,,,11,153.8,178.2,,,VIÑEDO,,,,,,,,,,,,,,,
espárrago,,,7,14.7,14.5,,,,7,68.4,67.7,,,uva de mesa,,,,,,,,,11,272.8,331.5,,,,
lechuga total,,,11,33.7,35.4,,,,1,934.7,"1,011.0",,,uva vinificación (16),,,,,,,,,11,"6,595.2","5,382.4",,,,
sandía,,,11,20.4,21.5,,,,11,"1,092.4","1,210.7",,,vino + mosto (14),,,,,,,,,11,"50,355.4","37,645.5",,,,
melón,,,11,19.0,19.4,,,,11,664.4,641.5,,,uva pasa (15),,,,,,,,,11,0.9,0.8,,,,
