,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,JULIO 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,JULIO 2020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,
CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,,
,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREALES,,,,,,,,,,,,,,HORTALIZAS,,,,,,,,,,,,,,,
trigo blando,,,3,"1,686.9","1,652.9","1,648.8",99.8,,7,"6,703.2","5,107.7","7,108.8",139.2,habas verdes (8),,,6,6.0,6.4,6.2,97.3,,6,50.9,55.3,54.7,98.9,,
trigo duro,,,3,374.6,265.6,254.1,95.7,,7,"1,282.5",733.7,825.3,112.5,endivias (9),,,6,24.1,28.8,32.1,111.5,,12,5.7,7.0,,,,
trigo total,,,3,"2,061.5","1,918.5","1,902.9",99.2,,7,"7,985.7","5,841.3","7,934.2",135.8,escarolas,,,10,2.5,2.3,2.4,101.1,,3,70.3,67.0,66.1,98.7,,
cebada de seis carreras,,,3,336.7,267.9,305.7,114.1,,7,"1,020.7",619.5,970.4,156.6,espinacas,,,7,4.5,5.3,5.0,93.8,,6,81.5,77.2,77.2,100.0,,
cebada de dos carreras,,,4,"2,232.8","2,416.4","2,438.5",100.9,,7,"8,108.9","6,777.4","9,951.6",146.8,champiñón (9),,,5,45.6,43.2,43.5,100.8,,6,149.8,146.0,148.4,101.7,,
cebada total,,,4,"2,569.5","2,684.3","2,744.2",102.2,,7,"9,129.5","7,396.9","10,922.0",147.7,otras setas (9),,,5,9.4,9.2,9.3,101.6,,6,16.5,16.0,16.9,105.8,,
avena,,,3,556.5,463.2,497.0,107.3,,7,"1,486.9",811.2,"1,266.0",156.1,brócoli,,,7,33.5,31.3,31.7,101.2,,5,543.1,531.9,,,,
centeno,,,3,136.3,135.9,134.9,99.2,,7,388.5,246.7,391.2,158.6,apio,,,5,1.9,1.9,1.9,99.0,,5,94.7,97.2,107.9,111.0,,
triticale,,,3,213.1,246.1,258.6,105.1,,6,649.0,571.8,808.3,141.4,pepino,,,3,7.5,7.1,7.4,103.6,,6,643.6,622.0,804.2,129.3,,
cereales otoño invierno,,,,"5,536.8","5,448.0","5,537.6",101.6,,,"19,639.7","14,867.9","21,321.7",143.4,pepinillo (9),,,6,0.4,0.4,0.4,100.0,,7,0.0,0.0,0.0,36.6,,
maíz,,,7,322.4,357.6,345.7,96.7,,7,"3,842.5","4,185.4","4,083.4",97.6,berenjena,,,4,3.6,3.5,3.9,113.4,,6,238.3,231.2,281.4,121.7,,
sorgo,,,6,6.0,6.7,5.5,81.9,,7,25.6,28.1,24.6,87.5,calabaza,,,5,4.1,4.1,4.4,107.8,,11,121.3,131.5,,,,
arroz (2),,,6,105.0,103.9,101.7,97.9,,7,808.2,800.9,786.7,98.2,calabacín,,,5,11.1,10.6,11.1,105.0,,7,596.3,602.0,595.9,99.0,,
,,,,,,,,,,,,,,zanahoria,,,5,6.6,6.5,6.9,105.6,,6,382.4,386.2,407.1,105.4,,
LEGUMINOSAS GRANO,,,,,,,,,,,,,,nabo (10),,,3,6.3,5.3,5.2,98.4,,5,65.7,71.9,79.8,111.0,,
judías secas,,,6,9.3,9.3,9.4,100.4,,7,17.1,15.1,17.7,117.0,rábano (9),,,3,23.3,22.3,21.8,97.8,,6,4.2,4.0,4.0,101.0,,
habas secas,,,6,23.2,22.4,21.1,94.2,,6,34.8,30.4,34.5,113.6,puerro,,,11,2.8,2.7,2.9,106.7,,3,81.6,80.8,87.0,107.7,,
lentejas,,,6,44.1,50.2,36.6,73.0,,6,42.8,35.5,46.4,130.8,,,,,,,,,,,,,,,,
garbanzos,,,6,70.6,51.7,38.3,74.2,,6,91.5,47.7,45.0,94.4,CÍTRICOS,,,,,,,,,,,,,,,
guisantes secos,,,6,149.0,145.1,119.7,82.5,,6,262.6,174.1,223.3,128.3,naranja dulce,,,,,,,,,5,"3,930.4","3,279.5",,,,
veza,,,6,103.1,81.1,83.0,102.4,,6,135.6,62.2,118.9,191.3,limón,,,,,,,,,5,"1,148.6",931.1,,,,
altramuz dulce,,,6,3.0,2.2,2.3,102.1,,6,2.8,1.6,2.0,123.6,pomelo,,,,,,,,,4,80.6,70.6,,,,
yeros,,,6,54.9,43.4,43.2,99.5,,6,63.1,32.4,61.1,188.5,satsumas,,,,,,,,,12,205.3,144.5,,,,
,,,,,,,,,,,,,,clementinas,,,,,,,,,1,"1,533.6",949.8,,,,
TUBÉRCULOS,,,,,,,,,,,,,,híbridos (mandarina),,,,,,,,,3,646.1,737.7,,,,
patata extratemprana,,,4,3.6,3.7,3.6,96.6,,4,76.0,89.5,88.5,98.9,mandarina total (11),,,,,,,,,,"2,385.0","1,831.9",,,,
patata temprana,,,6,14.4,14.8,14.1,95.6,,6,392.7,461.1,440.0,95.4,,,,,,,,,,,,,,,,
patata media estación,,,6,29.9,30.5,30.6,100.5,,7,818.4,901.5,861.1,95.5,FRUTALES,,,,,,,,,,,,,,,
patata tardía,,,7,19.6,19.5,18.9,96.7,,12,723.9,817.1,,,manzana sidra,,,,,,,,,5,79.3,93.6,91.0,97.1,,
patata total,,,7,67.5,68.5,67.3,98.1,,12,"2,010.9","2,269.1",,,manzana de mesa,,,,,,,,,7,483.6,570.6,515.5,90.3,,
,,,,,,,,,,,,,,manzana total,,,,,,,,,,563.0,664.3,606.5,91.3,,
CULTIVOS INDUSTRIALES,,,,,,,,,,,,,,pera total,,,,,,,,,7,332.3,313.4,317.1,101.2,,
remolacha azucarera (r. verano),,,6,7.6,6.5,6.8,103.6,,7,699.3,545.4,599.2,109.9,albaricoque,,,,,,,,,7,176.3,131.7,132.2,100.4,,
remolacha azucarera (r. invierno),,,6,27.7,23.9,20.1,84.3,,3,"2,170.9","2,229.4",,,cereza y guinda,,,,,,,,,6,107.0,115.4,94.6,82.0,,
remolacha total,,,,35.3,30.4,26.9,88.5,,,"2,870.3","2,774.8",,,melocotón (12),,,,,,,,,7,903.8,910.0,785.4,86.3,,
algodón (3),,,7,65.1,66.0,62.3,94.5,,7,194.5,209.4,204.8,97.8,ciruela,,,,,,,,,6,153.0,168.5,151.5,89.9,,
girasol,,,6,691.3,700.9,650.9,92.9,,7,950.3,788.2,885.3,112.3,plátano,,,,,,,,,5,386.2,396.7,408.0,102.8,,
soja,,,5,1.5,1.5,1.5,96.6,,7,4.2,4.7,4.3,91.7,higo,,,,,,,,,6,47.8,37.7,42.1,111.6,,
colza,,,7,78.4,69.4,71.8,103.5,,7,175.2,144.1,201.1,139.5,kiwi,,,,,,,,,12,23.8,25.0,,,,
tabaco (4),,,5,8.5,8.7,10.4,120.0,,11,26.0,26.6,,,aguacate,,,,,,,,,3,89.6,95.5,,,,
,,,,,,,,,,,,,,nectarina,,,,,,,,,6,547.1,572.5,460.3,80.4,,
CULTIVOS FORRAJEROS,,,,,,,,,,,,,,nuez (13),,,,,,,,,11,15.2,15.1,,,,
maíz forrajero (5),,,5,107.3,109.7,110.5,100.8,,7,"4,055.5","4,819.2","4,159.8",86.3,castaña,,,,,,,,,12,184.8,160.8,,,,
alfalfa (5),,,3,260.3,257.8,253.6,98.4,,5,"9,900.8","9,431.2","9,793.1",103.8,frambuesa,,,,,,,,,6,43.7,36.2,51.8,143.2,,
