,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,MARZO 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,MARZO 2020,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,
CULTIVOS,,,,DEFIIT.,PROVIS.,AVANCE,2020,,,DEFIIT.,PROVIS.,AVANCE,2020,CULTIVOS,,,,DEFIIT.,PROVIS.,AVANCE,2020,,,DEFIIT.,PROVIS.,AVANCE,2020,
,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREALES,,,,,,,,,,,,,,HORTALIZAS,,,,,,,,,,,,,,
trigo blando,,,3,"1,686.9","1,652.9","1,643.1",99.4,,3,"6,703.2","5,107.7",,,habas verdes (8),,,3,6.0,6.4,6.2,96.3,,3,50.9,55.3,53.3,96.4,
trigo duro,,,3,374.6,265.6,285.7,107.6,,3,"1,282.5",733.7,,,endivias (9),,,8,24.1,28.8,,,,12,5.7,7.0,,,
trigo total,,,3,"2,061.5","1,918.5","1,928.8",100.5,,3,"7,985.7","5,841.3",,,escarolas,,,10,2.5,2.3,2.4,101.1,,3,70.3,67.0,66.1,98.7,
cebada de seis carreras,,,3,336.7,267.9,297.8,111.1,,3,"1,020.7",619.5,,,espinacas,,,3,4.5,5.3,,,,1,81.5,77.2,,,
cebada de dos carreras,,,3,"2,232.8","2,416.4","2,385.1",98.7,,3,"8,108.9","6,777.4",,,champiñón (9),,,2,45.6,43.2,44.3,102.6,,12,149.8,146.0,151.3,103.7,
cebada total,,,3,"2,569.5","2,684.3","2,682.9",99.9,,3,"9,129.5","7,396.9",,,otras setas (9),,,3,9.4,9.2,9.9,108.2,,2,16.5,16.0,17.5,109.1,
avena,,,3,556.5,463.2,482.0,104.0,,3,"1,486.9",811.2,,,brócoli,,,2,33.5,31.7,,,,3,543.1,541.3,,,
centeno,,,3,136.3,135.9,139.4,102.6,,3,388.5,246.7,,,apio,,,3,1.9,1.9,1.8,97.8,,3,94.7,97.2,105.3,108.3,
triticale,,,3,213.1,246.1,243.7,99.1,,3,649.0,571.8,,,pepino,,,3,7.5,7.1,7.3,102.9,,3,643.6,622.0,737.9,118.6,
cereales otoño invierno,,,,"5,536.8","5,448.0","5,476.9",100.5,,,"19,639.7","14,867.9",,,pepinillo (9),,,3,0.4,0.4,0.2,50.0,,11,0.0,0.0,,,
maíz,,,3,322.4,357.6,,,,1,"3,842.5","4,185.4",,,berenjena,,,1,3.6,3.5,3.4,99.1,,3,238.3,231.2,305.1,132.0,
sorgo,,,12,6.0,6.7,,,,12,25.6,28.1,,,calabaza,,,5,4.1,4.1,,,,11,121.3,131.5,,,
arroz (2),,,3,105.0,103.9,103.6,99.7,,11,808.2,800.9,,,calabacín,,,3,11.1,10.6,11.1,105.1,,2,596.3,602.0,560.2,93.1,
,,,,,,,,,,,,,,zanahoria,,,3,6.6,6.5,6.7,102.2,,1,382.4,386.2,,,
LEGUMINOSAS GRANO,,,,,,,,,,,,,,nabo (10),,,3,6.3,5.3,5.2,98.5,,12,65.7,71.9,80.8,112.3,
judías secas,,,11,9.3,9.3,,,,11,17.1,15.1,,,rábano (9),,,3,23.3,22.3,21.8,97.8,,12,4.2,4.0,3.6,90.8,
habas secas,,,2,23.2,22.4,23.6,105.3,,8,34.8,30.4,,,puerro,,,11,2.8,2.7,2.9,106.7,,3,81.6,80.8,79.9,98.8,
lentejas,,,2,44.1,50.2,44.9,89.4,,8,42.8,35.5,,,,,,,,,,,,,,,,,
garbanzos,,,2,70.6,51.7,51.2,99.0,,8,91.5,47.7,,,CÍTRICOS,,,,,,,,,,,,,,
guisantes secos,,,3,149.0,145.1,,,,8,262.6,174.1,,,naranja dulce,,,,,,,,,2,"3,930.4","3,331.3",,,
veza,,,2,103.1,81.1,84.0,103.6,,8,135.6,62.2,,,limón,,,,,,,,,2,"1,148.6",922.9,,,
altramuz dulce,,,3,3.0,2.2,,,,8,2.8,1.6,,,pomelo,,,,,,,,,2,80.6,68.1,,,
