,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,MAYO 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,MAYO 2020,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,
CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,,
,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREALES,,,,,,,,,,,,,,HORTALIZAS,,,,,,,,,,,,,,,
trigo blando,,,3,"1,686.9","1,652.9","1,648.9",99.8,,5,"6,703.2","5,107.7","6,796.3",133.1,habas verdes (8),,,3,6.0,6.4,6.2,96.3,,3,50.9,55.3,53.3,96.4,,
trigo duro,,,3,374.6,265.6,281.2,105.9,,5,"1,282.5",733.7,923.0,125.8,endivias (9),,,4,24.1,28.8,28.7,99.7,,12,5.7,7.0,,,,
trigo total,,,3,"2,061.5","1,918.5","1,930.1",100.6,,5,"7,985.7","5,841.3","7,719.4",132.2,escarolas,,,10,2.5,2.3,2.4,101.1,,3,70.3,67.0,66.1,98.7,,
cebada de seis carreras,,,3,336.7,267.9,306.1,114.3,,5,"1,020.7",619.5,965.3,155.8,espinacas,,,3,4.5,5.3,3.8,72.2,,5,81.5,77.2,67.6,87.6,,
cebada de dos carreras,,,4,"2,232.8","2,416.4","2,411.8",99.8,,5,"8,108.9","6,777.4","9,341.9",137.8,champiñón (9),,,5,45.6,43.2,43.5,100.8,,4,149.8,146.0,150.4,103.0,,
cebada total,,,4,"2,569.5","2,684.3","2,405.2",89.6,,5,"9,129.5","7,396.9","10,307.1",139.3,otras setas (9),,,5,9.4,9.2,10.2,111.5,,4,16.5,16.0,16.9,105.9,,
avena,,,3,556.5,463.2,481.8,104.0,,5,"1,486.9",811.2,"1,186.5",146.3,brócoli,,,2,33.5,31.7,,,,5,543.1,537.0,,,,
centeno,,,3,136.3,135.9,139.6,102.7,,5,388.5,246.7,417.0,169.0,apio,,,5,1.9,1.9,1.9,99.0,,5,94.7,97.2,107.9,111.0,,
triticale,,,3,213.1,246.1,245.3,99.7,,5,649.0,571.8,806.7,141.1,pepino,,,3,7.5,7.1,7.3,102.9,,3,643.6,622.0,737.9,118.6,,
cereales otoño invierno,,,,"5,536.8","5,448.0","5,202.0",95.5,,,"19,639.7","14,867.9","20,436.7",137.5,pepinillo (9),,,4,0.4,0.4,0.3,75.0,,11,0.0,0.0,,,,
maíz,,,5,322.4,357.6,349.5,97.7,,5,"3,842.5","4,185.4",,,berenjena,,,4,3.6,3.5,3.9,113.5,,4,238.3,231.2,307.5,133.0,,
sorgo,,,4,6.0,6.7,7.1,105.0,,12,25.6,28.1,,,calabaza,,,5,4.1,4.1,4.3,106.4,,11,121.3,131.5,,,,
arroz (2),,,5,105.0,103.9,103.4,99.5,,11,808.2,800.9,,,calabacín,,,5,11.1,10.6,11.1,104.4,,4,596.3,602.0,561.9,93.3,,
,,,,,,,,,,,,,,zanahoria,,,5,6.6,6.5,6.7,102.3,,5,382.4,386.2,395.1,102.3,,
LEGUMINOSAS GRANO,,,,,,,,,,,,,,nabo (10),,,3,6.3,5.3,5.2,98.4,,5,65.7,71.9,79.8,111.0,,
judías secas,,,4,9.3,9.3,9.4,100.3,,11,17.1,15.1,,,rábano (9),,,3,23.3,22.3,21.8,97.8,,12,4.2,4.0,3.6,90.8,,
habas secas,,,2,23.2,22.4,23.3,103.7,,5,34.8,30.4,33.1,108.9,puerro,,,11,2.8,2.7,2.9,106.7,,3,81.6,80.8,87.0,107.6,,
lentejas,,,4,44.1,50.2,44.9,89.4,,5,42.8,35.5,61.2,172.6,,,,,,,,,,,,,,,,
garbanzos,,,4,70.6,51.7,51.3,99.2,,5,91.5,47.7,53.9,113.0,CÍTRICOS,,,,,,,,,,,,,,,
guisantes secos,,,4,149.0,145.1,142.2,98.1,,5,262.6,174.1,251.1,144.3,naranja dulce,,,,,,,,,5,"3,930.4","3,279.5",,,,
veza,,,2,103.1,81.1,83.8,103.4,,5,135.6,62.2,100.3,161.3,limón,,,,,,,,,5,"1,148.6",931.1,,,,
altramuz dulce,,,4,3.0,2.2,2.2,100.0,,5,2.8,1.6,1.8,117.2,pomelo,,,,,,,,,4,80.6,70.6,,,,
yeros,,,2,54.9,43.4,45.3,104.4,,5,63.1,32.4,59.7,184.2,satsumas,,,,,,,,,12,205.3,144.5,,,,
,,,,,,,,,,,,,,clementinas,,,,,,,,,1,"1,533.6",949.8,,,,
TUBÉRCULOS,,,,,,,,,,,,,,híbridos (mandarina),,,,,,,,,3,646.1,737.7,,,,
patata extratemprana,,,4,3.6,3.7,3.6,97.1,,4,76.0,89.5,89.0,99.5,mandarina total (11),,,,,,,,,,"2,385.0","1,831.9",,,,
patata temprana,,,4,14.4,14.8,14.0,94.6,,5,392.7,461.1,423.6,91.9,,,,,,,,,,,,,,,,
patata media estación,,,5,29.9,30.5,30.7,100.8,,5,818.4,901.5,855.0,94.8,FRUTALES,,,,,,,,,,,,,,,
patata tardía,,,5,19.6,19.5,19.8,101.2,,12,723.9,817.1,,,manzana sidra,,,,,,,,,5,79.3,93.6,90.9,97.1,,
patata total,,,4,67.5,68.5,68.1,99.4,,12,"2,010.9","2,269.1",,,manzana de mesa,,,,,,,,,5,483.6,570.6,548.0,96.0,,
,,,,,,,,,,,,,,manzana total,,,,,,,,,,563.0,664.3,638.9,96.2,,
CULTIVOS INDUSTRIALES,,,,,,,,,,,,,,pera total,,,,,,,,,5,332.3,313.4,325.2,103.8,,
remolacha azucarera (r. verano),,,3,7.6,6.5,8.4,128.1,,5,699.3,545.4,791.2,145.1,albaricoque,,,,,,,,,5,176.3,131.7,127.7,96.9,,
remolacha azucarera (r. invierno),,,4,27.7,23.9,22.7,95.0,,3,"2,170.9","2,229.4",,,cereza y guinda,,,,,,,,,5,107.0,115.4,95.9,83.1,,
remolacha total,,,,35.3,30.4,31.1,102.1,,,"2,870.3","2,774.8",,,melocotón (12),,,,,,,,,5,903.8,910.0,895.3,98.4,,
algodón (3),,,5,65.1,66.0,65.9,99.9,,1,194.5,209.4,,,ciruela,,,,,,,,,5,153.0,168.5,148.7,88.2,,
girasol,,,5,691.3,700.9,691.8,98.7,,11,950.3,788.2,,,plátano,,,,,,,,,5,386.2,396.7,408.0,102.8,,
soja,,,5,1.5,1.5,1.4,93.3,,11,4.2,4.7,,,higo,,,,,,,,,10,47.8,37.7,,,,
colza,,,2,78.4,69.4,71.5,103.0,,5,175.2,144.1,181.3,125.8,kiwi,,,,,,,,,12,23.8,25.0,,,,
tabaco (4),,,5,8.5,8.7,8.2,94.4,,11,26.0,26.6,,,aguacate,,,,,,,,,3,89.6,95.5,,,,
,,,,,,,,,,,,,,nectarina,,,,,,,,,10,547.1,572.5,,,,
CULTIVOS FORRAJEROS,,,,,,,,,,,,,,nuez (13),,,,,,,,,11,15.2,15.1,,,,
maíz forrajero (5),,,5,107.3,109.7,110.4,100.7,,11,"4,055.5","4,819.2",,,castaña,,,,,,,,,12,184.8,160.8,,,,
alfalfa (5),,,3,260.3,257.8,260.0,100.8,,5,"9,900.8","9,431.2","9,717.8",103.0,frambuesa,,,,,,,,,4,43.7,36.2,60.3,166.8,,
veza para forraje (5),,,2,143.6,146.8,143.3,97.6,,5,"2,139.4","1,428.9","1,854.8",129.8,almendra (13),,,,,,,,,5,339.0,332.0,357.4,107.7,,
