,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,NOVIEMBRE 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,NOVIEMBRE 2020,,RESUMEN DE LOS AVANCES DE SUPERFICIES Y PRODUCCIONES AGRÍCOLAS,,,,,,,,,TOTALES NACIONALES,,,NOVIEMBRE 2020,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,,,,,SUPERFICIES (Miles de Hectáreas),,,,,,PRODUCCIONES (Miles de Toneladas),,,,
CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,CULTIVOS,,,,DEFINIT.,PROVIS.,AVANCE,2020,,,DEFINIT.,PROVIS.,AVANCE,2020,CULTIVOS,,,,PROVIS.,PROVIS.,AVANCE,2021,,,PROVIS.,PROVIS.,AVANCE,2021
,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,,,MES (1),2018,2019,2020,2019=100,,MES (1),2018,2019,2020,2019=100,,,,MES (1),2019,2020,2021,2020=100,,MES (*),2019,2020,2021,2020=100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CEREALES,,,,,,,,,,,,,,HORTALIZAS,,,,,,,,,,,,,,CEREALES,,,,,,,,,,,,,
trigo blando,,,9,"1,686.9","1,651.8","1,658.2",100.4,,9,"6,703.2","5,094.6","7,120.2",139.8,habas verdes (8),,,6,6.0,6.5,6.2,95.7,,6,50.9,57.0,54.7,95.9,trigo blando,,,11,"1,651.8","1,658.2","1,688.0",101.8,,9,"5,094.6","7,120.2",,
trigo duro,,,9,374.6,266.6,251.3,94.2,,9,"1,282.5",704.1,819.3,116.4,endivias (9),,,8,24.1,19.1,38.3,200.5,,11,5.7,4.6,9.2,201.1,trigo duro,,,11,266.6,251.3,251.0,99.9,,9,704.1,819.3,,
trigo total,,,9,"2,061.5","1,918.4","1,909.5",99.5,,9,"7,985.7","5,798.7","7,939.5",136.9,escarolas,,,10,2.5,2.3,2.4,100.5,,3,70.3,64.7,66.1,102.2,trigo total,,,11,"1,918.4","1,909.5","1,938.8",101.5,,9,"5,798.7","7,939.5",,
cebada de seis carreras,,,9,336.7,267.1,286.3,107.2,,9,"1,020.7",612.4,996.4,162.7,espinacas,,,11,4.5,4.3,5.1,118.0,,10,81.5,79.2,85.7,108.2,cebada de seis carreras,,,11,267.1,286.3,280.3,97.9,,9,612.4,996.4,,
cebada de dos carreras,,,9,"2,232.8","2,426.4","2,477.4",102.1,,9,"8,108.9","6,787.5","9,964.2",146.8,champiñón (9),,,5,45.6,25.2,43.5,172.7,,6,149.8,151.8,148.4,97.8,avena,,,11,453.4,508.6,510.0,100.3,,9,808.3,"1,290.4",,
