,PRODUCTOS,Semana37
2,PRODUCTOS AGRÍCOLAS,
3,(especificaciones),Semana 37
4,,07/09-13/09
5,FRUTAS,
6,Clementina  (€/100 kg),37.85674791333915
7,Limón  (€/100 kg),22.5
8,Naranja grupo Navel (€/100 kg),24.079025836402643
9,Satsuma (€/100 kg),22.985
10,Manzana Golden (€/100 kg),49.901703524171666
11,Pera Blanquilla (€/100 kg),52.54293914739122
12,Pera Conferencia (€/100 kg),64.29755433604689
13,Ciruela (€/100 kg),47.06447319372193
14,Melocotón (€/100 kg),87.03879940329416
15,Nectarina (€/100 kg),90.29741717729917
16,Aguacate (€/100 kg),313.98
17,Caqui (€/100 kg),27.5
18,Granada (€/100 kg),68.0316027726694
19,Higo (€/100 kg),176.2984968006546
20,Plátano (€/100 kg),60.65999999999999
21,Uva de mesa (€/100 kg),62.4697972178894
22,HORTALIZAS,
23,Acelga (€/100kg),59.65141010120227
24,Ajo (€/100kg),132.9124975609934
25,Alcachofa (€/100kg),64.25
26,Berenjena (€/100 kg),63.2465098508825
27,Calabacín (€/100 kg),88.60786048000715
28,Cebolla (€/100 kg),11.052669185207321
29,Champiñón (€/100kg),147.58549664520626
30,Coliflor (€/100 kg),45.83333333333333
31,Col-repollo hoja lisa (€/100 kg),29.97458962690135
32,Judía verde tipo plana (€/100 kg),186.54486524897075
33,Lechuga Romana (€/100 ud),24.929228856649136
34,Melón Piel de Sapo (€/100 kg),35.04743102169647
35,Pepino (€/100 kg),78.29322615112591
