Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,38.53546,49.22657,128,259,,,HIPERMERCADOS,2013 ,Agosto
NARANJAS,3.02730,3.97597,131,412,,,HIPERMERCADOS,2013 ,Agosto
MANDARINAS,2937,7856,267,017,,,HIPERMERCADOS,2013 ,Agosto
LIMONES,63519,1.15528,182,452,,,HIPERMERCADOS,2013 ,Agosto
PLATANOS,2.95033,4.65057,158,1002,,,HIPERMERCADOS,2013 ,Agosto
MANZANAS,2.11305,4.13872,196,735,,,HIPERMERCADOS,2013 ,Agosto
PERAS,1.35956,2.40872,177,562,,,HIPERMERCADOS,2013 ,Agosto
MELOCOTONES,3.22042,5.07945,158,98,,,HIPERMERCADOS,2013 ,Agosto
ALBARICOQUES,17041,44658,262,124,,,HIPERMERCADOS,2013 ,Agosto
FRESAS/FRESON,13394,38299,286,046,,,HIPERMERCADOS,2013 ,Agosto
MELON,8.16815,7.06945,087,107,,,HIPERMERCADOS,2013 ,Agosto
SANDIA,10.01457,6.22667,062,933,,,HIPERMERCADOS,2013 ,Agosto
CIRUELAS,81890,1.74521,213,42,,,HIPERMERCADOS,2013 ,Agosto
CEREZAS,34556,1.07618,311,192,,,HIPERMERCADOS,2013 ,Agosto
UVAS,35680,79383,222,217,,,HIPERMERCADOS,2013 ,Agosto
KIWI,94645,2.20373,233,454,,,HIPERMERCADOS,2013 ,Agosto
AGUACATE,19838,83142,419,17,,,HIPERMERCADOS,2013 ,Agosto
PIÑA,46106,63492,138,123,,,HIPERMERCADOS,2013 ,Agosto
OTRAS FRUTAS FRESCAS,3.58602,6.32831,176,103,,,HIPERMERCADOS,2013 ,Agosto
FRUTAS IV GAMA,64679,71368,11,121,,,HIPERMERCADOS,2013 ,Agosto
FRUTAS ECOLOGICAS,1.45961,2.25925,155,35,,,HIPERMERCADOS,2013 ,Agosto
