Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,29.38296,40.00417,136,293,,,HIPERMERCADOS,2014 ,Abril
NARANJAS,7.91829,6.12571,077,812,,,HIPERMERCADOS,2014 ,Abril
MANDARINAS,1.44417,2.35769,163,466,,,HIPERMERCADOS,2014 ,Abril
LIMONES,65894,89346,136,422,,,HIPERMERCADOS,2014 ,Abril
PLATANOS,6.34782,7.76395,122,1802,,,HIPERMERCADOS,2014 ,Abril
MANZANAS,4.20606,5.80469,138,1233,,,HIPERMERCADOS,2014 ,Abril
PERAS,2.07557,3.01290,145,833,,,HIPERMERCADOS,2014 ,Abril
MELOCOTONES,1052,2347,223,005,,,HIPERMERCADOS,2014 ,Abril
ALBARICOQUES,324,1221,377,004,,,HIPERMERCADOS,2014 ,Abril
FRESAS/FRESON,2.63863,5.23663,198,1117,,,HIPERMERCADOS,2014 ,Abril
MELON,31916,64098,201,097,,,HIPERMERCADOS,2014 ,Abril
SANDIA,38663,52953,137,065,,,HIPERMERCADOS,2014 ,Abril
CIRUELAS,6214,18341,295,055,,,HIPERMERCADOS,2014 ,Abril
CEREZAS,3081,5471,178,017,,,HIPERMERCADOS,2014 ,Abril
UVAS,12974,45233,349,064,,,HIPERMERCADOS,2014 ,Abril
KIWI,1.21288,2.80275,231,549,,,HIPERMERCADOS,2014 ,Abril
AGUACATE,43829,1.21672,278,245,,,HIPERMERCADOS,2014 ,Abril
PIÑA,84342,1.03215,122,211,,,HIPERMERCADOS,2014 ,Abril
OTRAS FRUTAS FRESCAS,65664,1.86089,283,364,,,HIPERMERCADOS,2014 ,Abril
FRUTAS IV GAMA,47520,73199,154,17,,,HIPERMERCADOS,2014 ,Abril
FRUTAS ECOLOGICAS,92014,1.18621,129,21,,,HIPERMERCADOS,2014 ,Abril
