Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,26.58928,38.45026,145,2489,,,HIPERMERCADOS,2014 ,Noviembre
NARANJAS,5.19752,4.97877,096,644,,,HIPERMERCADOS,2014 ,Noviembre
MANDARINAS,2.93482,3.57297,122,884,,,HIPERMERCADOS,2014 ,Noviembre
LIMONES,79068,1.18664,15,428,,,HIPERMERCADOS,2014 ,Noviembre
PLATANOS,4.46633,6.98675,156,1356,,,HIPERMERCADOS,2014 ,Noviembre
MANZANAS,4.16997,5.22028,125,1028,,,HIPERMERCADOS,2014 ,Noviembre
PERAS,2.02669,2.45288,121,657,,,HIPERMERCADOS,2014 ,Noviembre
MELOCOTONES,9421,15954,169,056,,,HIPERMERCADOS,2014 ,Noviembre
ALBARICOQUES,2554,4112,161,013,,,HIPERMERCADOS,2014 ,Noviembre
FRESAS/FRESON,2679,15092,563,033,,,HIPERMERCADOS,2014 ,Noviembre
MELON,75019,1.01036,135,15,,,HIPERMERCADOS,2014 ,Noviembre
SANDIA,427,964,226,003,,,HIPERMERCADOS,2014 ,Noviembre
CIRUELAS,22564,30617,136,171,,,HIPERMERCADOS,2014 ,Noviembre
CEREZAS,4170,8915,214,023,,,HIPERMERCADOS,2014 ,Noviembre
UVAS,81011,1.93292,239,327,,,HIPERMERCADOS,2014 ,Noviembre
KIWI,1.00044,2.97615,297,476,,,HIPERMERCADOS,2014 ,Noviembre
AGUACATE,24590,77715,316,16,,,HIPERMERCADOS,2014 ,Noviembre
PIÑA,77536,1.30939,169,207,,,HIPERMERCADOS,2014 ,Noviembre
OTRAS FRUTAS FRESCAS,3.00313,5.28947,176,833,,,HIPERMERCADOS,2014 ,Noviembre
FRUTAS IV GAMA,42627,74086,174,168,,,HIPERMERCADOS,2014 ,Noviembre
FRUTAS ECOLOGICAS,64066,1.04047,162,218,,,HIPERMERCADOS,2014 ,Noviembre
