Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,27.29153,43.48584,159,2617,,,HIPERMERCADOS,2015 ,Octubre
NARANJAS,4.25670,5.91972,139,548,,,HIPERMERCADOS,2015 ,Octubre
MANDARINAS,1.91137,2.99573,157,61,,,HIPERMERCADOS,2015 ,Octubre
LIMONES,74041,1.52434,206,44,,,HIPERMERCADOS,2015 ,Octubre
PLATANOS,4.58376,6.71265,146,1422,,,HIPERMERCADOS,2015 ,Octubre
MANZANAS,3.75946,4.97013,132,105,,,HIPERMERCADOS,2015 ,Octubre
PERAS,1.79978,2.45333,136,677,,,HIPERMERCADOS,2015 ,Octubre
MELOCOTONES,85678,1.79183,209,334,,,HIPERMERCADOS,2015 ,Octubre
NECTARINAS,26319,41456,158,146,,,HIPERMERCADOS,2015 ,Octubre
ALBARICOQUES,1315,1632,124,01,,,HIPERMERCADOS,2015 ,Octubre
FRESAS/FRESON,3237,16346,505,039,,,HIPERMERCADOS,2015 ,Octubre
MELON,1.80361,1.50347,083,34,,,HIPERMERCADOS,2015 ,Octubre
SANDIA,58832,44830,076,087,,,HIPERMERCADOS,2015 ,Octubre
CIRUELAS,45394,80047,176,273,,,HIPERMERCADOS,2015 ,Octubre
CEREZAS,075,111,148,001,,,HIPERMERCADOS,2015 ,Octubre
UVAS,1.50652,2.77640,184,546,,,HIPERMERCADOS,2015 ,Octubre
KIWI,1.05542,2.97398,282,509,,,HIPERMERCADOS,2015 ,Octubre
AGUACATE,23287,77863,334,223,,,HIPERMERCADOS,2015 ,Octubre
PIÑA,73041,1.24722,171,18,,,HIPERMERCADOS,2015 ,Octubre
OTRAS FRUTAS FRESCAS,2.70271,5.99419,222,869,,,HIPERMERCADOS,2015 ,Octubre
FRUTAS IV GAMA,29545,62469,211,112,,,HIPERMERCADOS,2015 ,Octubre
