Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,24.85703,37.54401,151,2622,,,HIPERMERCADOS,2016 ,Diciembre
NARANJAS,5.89280,5.37005,091,772,,,HIPERMERCADOS,2016 ,Diciembre
MANDARINAS,3.04092,3.73168,123,788,,,HIPERMERCADOS,2016 ,Diciembre
LIMONES,85171,1.45472,171,539,,,HIPERMERCADOS,2016 ,Diciembre
PLATANOS,4.02188,5.99655,149,1366,,,HIPERMERCADOS,2016 ,Diciembre
MANZANAS,3.07516,4.94863,161,931,,,HIPERMERCADOS,2016 ,Diciembre
PERAS,1.43344,2.02244,141,563,,,HIPERMERCADOS,2016 ,Diciembre
MELOCOTONES,091,155,17,006,,,HIPERMERCADOS,2016 ,Diciembre
NECTARINAS,1737,1624,094,008,,,HIPERMERCADOS,2016 ,Diciembre
ALBARICOQUES,000,000,0,0,,,HIPERMERCADOS,2016 ,Diciembre
FRESAS/FRESON,7804,21975,282,053,,,HIPERMERCADOS,2016 ,Diciembre
MELON,34023,69909,205,075,,,HIPERMERCADOS,2016 ,Diciembre
SANDIA,2120,2603,123,006,,,HIPERMERCADOS,2016 ,Diciembre
CIRUELAS,6597,11886,18,047,,,HIPERMERCADOS,2016 ,Diciembre
CEREZAS,1654,7737,468,021,,,HIPERMERCADOS,2016 ,Diciembre
UVAS,1.05659,2.70474,256,565,,,HIPERMERCADOS,2016 ,Diciembre
KIWI,71621,1.97355,276,425,,,HIPERMERCADOS,2016 ,Diciembre
AGUACATE,47206,1.60883,341,383,,,HIPERMERCADOS,2016 ,Diciembre
PIÑA,1.60253,1.96950,123,436,,,HIPERMERCADOS,2016 ,Diciembre
OTRAS FRUTAS FRESCAS,2.15348,4.60443,214,769,,,HIPERMERCADOS,2016 ,Diciembre
FRUTAS IV GAMA,56490,1.20303,213,176,,,HIPERMERCADOS,2016 ,Diciembre
