Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,34.01879,50.39145,148,271,,,HIPERMERCADOS,2016 ,Junio
NARANJAS,3.71603,3.93713,106,511,,,HIPERMERCADOS,2016 ,Junio
MANDARINAS,18769,27092,144,08,,,HIPERMERCADOS,2016 ,Junio
LIMONES,67508,1.56054,231,388,,,HIPERMERCADOS,2016 ,Junio
PLATANOS,4.49876,5.82902,13,143,,,HIPERMERCADOS,2016 ,Junio
MANZANAS,3.09332,4.75260,154,921,,,HIPERMERCADOS,2016 ,Junio
PERAS,1.10856,1.85521,167,421,,,HIPERMERCADOS,2016 ,Junio
MELOCOTONES,1.24006,2.38982,193,557,,,HIPERMERCADOS,2016 ,Junio
NECTARINAS,1.03470,2.00177,193,427,,,HIPERMERCADOS,2016 ,Junio
ALBARICOQUES,75005,1.59515,213,435,,,HIPERMERCADOS,2016 ,Junio
FRESAS/FRESON,31127,92092,296,272,,,HIPERMERCADOS,2016 ,Junio
MELON,5.05261,5.06101,1,828,,,HIPERMERCADOS,2016 ,Junio
SANDIA,7.43193,6.73252,091,826,,,HIPERMERCADOS,2016 ,Junio
CIRUELAS,17041,34517,203,114,,,HIPERMERCADOS,2016 ,Junio
CEREZAS,1.26115,4.39635,349,653,,,HIPERMERCADOS,2016 ,Junio
UVAS,15340,43794,285,075,,,HIPERMERCADOS,2016 ,Junio
KIWI,1.10898,2.88702,26,493,,,HIPERMERCADOS,2016 ,Junio
AGUACATE,33644,1.26782,377,256,,,HIPERMERCADOS,2016 ,Junio
PIÑA,48012,75597,157,116,,,HIPERMERCADOS,2016 ,Junio
OTRAS FRUTAS FRESCAS,1.40822,3.39457,241,623,,,HIPERMERCADOS,2016 ,Junio
FRUTAS IV GAMA,88439,1.40283,159,208,,,HIPERMERCADOS,2016 ,Junio
