Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,28.64965,43.63147,152,2529,,,HIPERMERCADOS,2016 ,Mayo
NARANJAS,6.34639,6.33690,1,808,,,HIPERMERCADOS,2016 ,Mayo
MANDARINAS,99556,1.39010,14,263,,,HIPERMERCADOS,2016 ,Mayo
LIMONES,68544,1.51414,221,384,,,HIPERMERCADOS,2016 ,Mayo
PLATANOS,4.72536,6.47749,137,1381,,,HIPERMERCADOS,2016 ,Mayo
MANZANAS,3.63919,5.50982,151,1037,,,HIPERMERCADOS,2016 ,Mayo
PERAS,1.49697,2.45236,164,641,,,HIPERMERCADOS,2016 ,Mayo
MELOCOTONES,29187,70231,241,166,,,HIPERMERCADOS,2016 ,Mayo
NECTARINAS,44916,99094,221,231,,,HIPERMERCADOS,2016 ,Mayo
ALBARICOQUES,26552,69309,261,218,,,HIPERMERCADOS,2016 ,Mayo
FRESAS/FRESON,1.47171,3.45278,235,698,,,HIPERMERCADOS,2016 ,Mayo
MELON,1.51233,2.07588,137,401,,,HIPERMERCADOS,2016 ,Mayo
SANDIA,3.19452,3.16412,099,5,,,HIPERMERCADOS,2016 ,Mayo
CIRUELAS,7106,19321,272,043,,,HIPERMERCADOS,2016 ,Mayo
CEREZAS,10409,47950,461,102,,,HIPERMERCADOS,2016 ,Mayo
UVAS,20317,63601,313,089,,,HIPERMERCADOS,2016 ,Mayo
KIWI,1.04316,2.34316,225,546,,,HIPERMERCADOS,2016 ,Mayo
AGUACATE,26024,1.02278,393,165,,,HIPERMERCADOS,2016 ,Mayo
PIÑA,72738,1.14116,157,173,,,HIPERMERCADOS,2016 ,Mayo
OTRAS FRUTAS FRESCAS,1.16653,3.05572,262,49,,,HIPERMERCADOS,2016 ,Mayo
FRUTAS IV GAMA,71128,1.42074,2,224,,,HIPERMERCADOS,2016 ,Mayo
