Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,32.84988,43.45017,132,2627,,,HIPERMERCADOS,2016 ,Septiembre
NARANJAS,3.06901,3.97195,129,388,,,HIPERMERCADOS,2016 ,Septiembre
MANDARINAS,22541,38806,172,134,,,HIPERMERCADOS,2016 ,Septiembre
LIMONES,72223,1.74114,241,445,,,HIPERMERCADOS,2016 ,Septiembre
PLATANOS,4.57879,5.91272,129,1488,,,HIPERMERCADOS,2016 ,Septiembre
MANZANAS,3.12327,4.58505,147,937,,,HIPERMERCADOS,2016 ,Septiembre
PERAS,1.55570,2.41797,155,681,,,HIPERMERCADOS,2016 ,Septiembre
MELOCOTONES,2.46901,3.56299,144,849,,,HIPERMERCADOS,2016 ,Septiembre
NECTARINAS,1.70530,2.35404,138,615,,,HIPERMERCADOS,2016 ,Septiembre
ALBARICOQUES,3892,7094,182,033,,,HIPERMERCADOS,2016 ,Septiembre
FRESAS/FRESON,4825,20897,433,056,,,HIPERMERCADOS,2016 ,Septiembre
MELON,6.29784,4.28686,068,716,,,HIPERMERCADOS,2016 ,Septiembre
SANDIA,3.90591,2.47253,063,46,,,HIPERMERCADOS,2016 ,Septiembre
CIRUELAS,1.04811,1.69797,162,453,,,HIPERMERCADOS,2016 ,Septiembre
CEREZAS,2391,6016,252,017,,,HIPERMERCADOS,2016 ,Septiembre
UVAS,93930,1.86011,198,429,,,HIPERMERCADOS,2016 ,Septiembre
KIWI,99385,2.81278,283,526,,,HIPERMERCADOS,2016 ,Septiembre
AGUACATE,23272,1.01065,434,218,,,HIPERMERCADOS,2016 ,Septiembre
PIÑA,35560,68133,192,13,,,HIPERMERCADOS,2016 ,Septiembre
OTRAS FRUTAS FRESCAS,1.51676,3.35393,221,69,,,HIPERMERCADOS,2016 ,Septiembre
FRUTAS IV GAMA,66470,1.04446,157,202,,,HIPERMERCADOS,2016 ,Septiembre
