Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,25.77831,37.66173,146,2491,,,HIPERMERCADOS,2018 ,Enero
NARANJAS,7.37707,6.46656,088,74,,,HIPERMERCADOS,2018 ,Enero
MANDARINAS,3.64875,4.69591,129,783,,,HIPERMERCADOS,2018 ,Enero
LIMONES,56381,88428,157,365,,,HIPERMERCADOS,2018 ,Enero
PLATANOS,4.65772,6.42331,138,1367,,,HIPERMERCADOS,2018 ,Enero
MANZANAS,2.92319,4.49722,154,839,,,HIPERMERCADOS,2018 ,Enero
PERAS,1.67383,2.36461,141,525,,,HIPERMERCADOS,2018 ,Enero
MELOCOTONES,2239,4717,211,006,,,HIPERMERCADOS,2018 ,Enero
NECTARINAS,8273,11942,144,039,,,HIPERMERCADOS,2018 ,Enero
ALBARICOQUES,1502,1394,093,009,,,HIPERMERCADOS,2018 ,Enero
FRESAS/FRESON,70884,2.83146,399,461,,,HIPERMERCADOS,2018 ,Enero
MELON,34206,51378,15,06,,,HIPERMERCADOS,2018 ,Enero
SANDIA,040,677,1709,001,,,HIPERMERCADOS,2018 ,Enero
CIRUELAS,2396,6412,268,011,,,HIPERMERCADOS,2018 ,Enero
CEREZAS,765,1850,242,004,,,HIPERMERCADOS,2018 ,Enero
UVAS,29486,81607,277,168,,,HIPERMERCADOS,2018 ,Enero
KIWI,1.11905,3.01716,27,422,,,HIPERMERCADOS,2018 ,Enero
AGUACATE,34077,1.37786,404,232,,,HIPERMERCADOS,2018 ,Enero
PIÑA,66190,80614,122,209,,,HIPERMERCADOS,2018 ,Enero
OTRAS FRUTAS FRESCAS,1.31430,2.69746,205,475,,,HIPERMERCADOS,2018 ,Enero
POMELO,18635,24613,132,043,,,HIPERMERCADOS,2018 ,Enero
CHIRIMOYA,000,000,0,0,,,HIPERMERCADOS,2018 ,Enero
FRUTAS IV GAMA,1.25838,1.72465,137,344,,,HIPERMERCADOS,2018 ,Enero
