Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,38.31230,47.83504,125,2569,,,HIPERMERCADOS,2019 ,Julio
NARANJAS,3.81275,3.66522,096,451,,,HIPERMERCADOS,2019 ,Julio
MANDARINAS,17091,18447,108,057,,,HIPERMERCADOS,2019 ,Julio
LIMONES,62106,1.02587,165,388,,,HIPERMERCADOS,2019 ,Julio
PLATANOS,4.09443,5.54485,135,121,,,HIPERMERCADOS,2019 ,Julio
MANZANAS,1.80954,2.79090,154,611,,,HIPERMERCADOS,2019 ,Julio
PERAS,93095,1.42561,153,379,,,HIPERMERCADOS,2019 ,Julio
MELOCOTONES,1.92356,2.99334,156,67,,,HIPERMERCADOS,2019 ,Julio
NECTARINAS,1.66683,2.54235,153,588,,,HIPERMERCADOS,2019 ,Julio
ALBARICOQUES,48565,1.02697,211,25,,,HIPERMERCADOS,2019 ,Julio
FRESAS/FRESON,6219,23624,38,053,,,HIPERMERCADOS,2019 ,Julio
MELON,7.62528,6.33208,083,908,,,HIPERMERCADOS,2019 ,Julio
SANDIA,10.03596,6.56947,065,78,,,HIPERMERCADOS,2019 ,Julio
CIRUELAS,67299,1.17987,175,325,,,HIPERMERCADOS,2019 ,Julio
CEREZAS,76514,2.74453,359,396,,,HIPERMERCADOS,2019 ,Julio
UVAS,9939,33639,338,087,,,HIPERMERCADOS,2019 ,Julio
KIWI,91302,2.86061,313,369,,,HIPERMERCADOS,2019 ,Julio
AGUACATE,45835,1.92646,42,357,,,HIPERMERCADOS,2019 ,Julio
PIÑA,38813,64699,167,135,,,HIPERMERCADOS,2019 ,Julio
OTRAS FRUTAS FRESCAS,1.77617,3.80284,214,675,,,HIPERMERCADOS,2019 ,Julio
POMELO,12912,23674,183,059,,,HIPERMERCADOS,2019 ,Julio
CHIRIMOYA,000,000,0,0,,,HIPERMERCADOS,2019 ,Julio
MANGO,24909,63123,253,158,,,HIPERMERCADOS,2019 ,Julio
FRUTAS IV GAMA,1.97149,2.61171,132,326,,,HIPERMERCADOS,2019 ,Julio
