Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,28.23474,45.51990,161,2636,,,HIPERMERCADOS,2019 ,Marzo
NARANJAS,7.73563,6.40282,083,746,,,HIPERMERCADOS,2019 ,Marzo
MANDARINAS,1.71254,2.75230,161,544,,,HIPERMERCADOS,2019 ,Marzo
LIMONES,55632,87763,158,339,,,HIPERMERCADOS,2019 ,Marzo
PLATANOS,5.49548,7.90525,144,1385,,,HIPERMERCADOS,2019 ,Marzo
MANZANAS,3.55041,5.26157,148,868,,,HIPERMERCADOS,2019 ,Marzo
PERAS,2.04391,2.98442,146,642,,,HIPERMERCADOS,2019 ,Marzo
MELOCOTONES,095,203,215,002,,,HIPERMERCADOS,2019 ,Marzo
NECTARINAS,8120,14406,177,032,,,HIPERMERCADOS,2019 ,Marzo
ALBARICOQUES,000,000,0,0,,,HIPERMERCADOS,2019 ,Marzo
FRESAS/FRESON,3.09129,9.21257,298,1259,,,HIPERMERCADOS,2019 ,Marzo
MELON,19114,42545,223,052,,,HIPERMERCADOS,2019 ,Marzo
SANDIA,6191,7851,127,018,,,HIPERMERCADOS,2019 ,Marzo
CIRUELAS,6263,20863,333,042,,,HIPERMERCADOS,2019 ,Marzo
CEREZAS,000,000,0,0,,,HIPERMERCADOS,2019 ,Marzo
UVAS,21408,76523,357,112,,,HIPERMERCADOS,2019 ,Marzo
KIWI,1.37777,3.35527,244,508,,,HIPERMERCADOS,2019 ,Marzo
AGUACATE,59811,2.19267,367,377,,,HIPERMERCADOS,2019 ,Marzo
PIÑA,73173,94028,129,185,,,HIPERMERCADOS,2019 ,Marzo
OTRAS FRUTAS FRESCAS,72966,2.01121,276,311,,,HIPERMERCADOS,2019 ,Marzo
POMELO,14524,23958,165,047,,,HIPERMERCADOS,2019 ,Marzo
CHIRIMOYA,471,3472,737,003,,,HIPERMERCADOS,2019 ,Marzo
MANGO,14936,38611,259,078,,,HIPERMERCADOS,2019 ,Marzo
FRUTAS IV GAMA,1.41684,2.13222,15,309,,,HIPERMERCADOS,2019 ,Marzo
