Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,27.46159,45.96517,167,2595,,,HIPERMERCADOS,2020 ,Febrero
NARANJAS,6.81767,5.95475,087,692,,,HIPERMERCADOS,2020 ,Febrero
MANDARINAS,3.31578,5.43950,164,75,,,HIPERMERCADOS,2020 ,Febrero
LIMONES,54279,89134,164,298,,,HIPERMERCADOS,2020 ,Febrero
PLATANOS,5.73818,7.91895,138,1445,,,HIPERMERCADOS,2020 ,Febrero
MANZANAS,3.50042,5.41202,155,925,,,HIPERMERCADOS,2020 ,Febrero
PERAS,1.75698,2.69638,153,585,,,HIPERMERCADOS,2020 ,Febrero
MELOCOTONES,558,2835,508,01,,,HIPERMERCADOS,2020 ,Febrero
NECTARINAS,2487,5898,237,012,,,HIPERMERCADOS,2020 ,Febrero
ALBARICOQUES,1554,2515,162,007,,,HIPERMERCADOS,2020 ,Febrero
FRESAS/FRESON,1.93567,6.88928,356,98,,,HIPERMERCADOS,2020 ,Febrero
MELON,29304,50752,173,07,,,HIPERMERCADOS,2020 ,Febrero
SANDIA,249,420,169,001,,,HIPERMERCADOS,2020 ,Febrero
CIRUELAS,8584,22024,257,042,,,HIPERMERCADOS,2020 ,Febrero
CEREZAS,574,1002,175,005,,,HIPERMERCADOS,2020 ,Febrero
UVAS,18575,73659,397,128,,,HIPERMERCADOS,2020 ,Febrero
KIWI,1.17362,3.33794,284,444,,,HIPERMERCADOS,2020 ,Febrero
AGUACATE,49282,1.84109,374,299,,,HIPERMERCADOS,2020 ,Febrero
PIÑA,46808,75845,162,123,,,HIPERMERCADOS,2020 ,Febrero
OTRAS FRUTAS FRESCAS,1.10072,3.23443,294,415,,,HIPERMERCADOS,2020 ,Febrero
POMELO,31345,66470,212,048,,,HIPERMERCADOS,2020 ,Febrero
CHIRIMOYA,921,3396,369,005,,,HIPERMERCADOS,2020 ,Febrero
MANGO,22485,58191,259,113,,,HIPERMERCADOS,2020 ,Febrero
FRUTAS IV GAMA,1.16426,1.85642,159,286,,,HIPERMERCADOS,2020 ,Febrero
