Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,1.15305,1.59645,138,143,,,INTERNET,2013 ,Enero
NARANJAS,55626,66821,12,052,,,INTERNET,2013 ,Enero
MANDARINAS,16791,24205,144,025,,,INTERNET,2013 ,Enero
LIMONES,3772,4911,13,024,,,INTERNET,2013 ,Enero
PLATANOS,12717,19856,156,061,,,INTERNET,2013 ,Enero
MANZANAS,8712,14459,166,044,,,INTERNET,2013 ,Enero
PERAS,6586,10348,157,018,,,INTERNET,2013 ,Enero
MELOCOTONES,000,000,0,0,,,INTERNET,2013 ,Enero
ALBARICOQUES,000,000,0,0,,,INTERNET,2013 ,Enero
FRESAS/FRESON,073,337,462,002,,,INTERNET,2013 ,Enero
MELON,000,000,0,0,,,INTERNET,2013 ,Enero
SANDIA,000,000,0,0,,,INTERNET,2013 ,Enero
CIRUELAS,000,000,0,0,,,INTERNET,2013 ,Enero
CEREZAS,000,000,0,0,,,INTERNET,2013 ,Enero
UVAS,878,1975,225,002,,,INTERNET,2013 ,Enero
KIWI,1643,3199,195,018,,,INTERNET,2013 ,Enero
AGUACATE,068,132,194,0,,,INTERNET,2013 ,Enero
PIÑA,6629,9236,139,018,,,INTERNET,2013 ,Enero
OTRAS FRUTAS FRESCAS,1811,4165,23,01,,,INTERNET,2013 ,Enero
FRUTAS IV GAMA,7120,10206,143,016,,,INTERNET,2013 ,Enero
FRUTAS ECOLOGICAS,17913,31371,175,006,,,INTERNET,2013 ,Enero
