Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,1.65106,2.03987,124,223,,,INTERNET,2014 ,Junio
NARANJAS,24732,20406,083,041,,,INTERNET,2014 ,Junio
MANDARINAS,000,000,0,0,,,INTERNET,2014 ,Junio
LIMONES,4500,7284,162,035,,,INTERNET,2014 ,Junio
PLATANOS,24034,34371,143,098,,,INTERNET,2014 ,Junio
MANZANAS,20900,30836,148,051,,,INTERNET,2014 ,Junio
PERAS,3294,4909,149,017,,,INTERNET,2014 ,Junio
MELOCOTONES,4592,6354,138,02,,,INTERNET,2014 ,Junio
ALBARICOQUES,1041,2053,197,01,,,INTERNET,2014 ,Junio
FRESAS/FRESON,2117,3510,166,007,,,INTERNET,2014 ,Junio
MELON,31460,29088,092,077,,,INTERNET,2014 ,Junio
SANDIA,30605,22113,072,054,,,INTERNET,2014 ,Junio
CIRUELAS,054,219,408,001,,,INTERNET,2014 ,Junio
CEREZAS,4378,13449,307,024,,,INTERNET,2014 ,Junio
UVAS,330,1973,598,004,,,INTERNET,2014 ,Junio
KIWI,3178,9136,287,021,,,INTERNET,2014 ,Junio
AGUACATE,1412,3940,279,016,,,INTERNET,2014 ,Junio
PIÑA,1559,1960,126,006,,,INTERNET,2014 ,Junio
OTRAS FRUTAS FRESCAS,6921,12388,179,035,,,INTERNET,2014 ,Junio
FRUTAS IV GAMA,7601,8481,112,011,,,INTERNET,2014 ,Junio
FRUTAS ECOLOGICAS,7646,8330,109,007,,,INTERNET,2014 ,Junio
