Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,1.43241,2.34010,163,179,,,INTERNET,2014 ,Noviembre
NARANJAS,44636,59320,133,05,,,INTERNET,2014 ,Noviembre
MANDARINAS,19369,27279,141,054,,,INTERNET,2014 ,Noviembre
LIMONES,6009,10326,172,034,,,INTERNET,2014 ,Noviembre
PLATANOS,12601,22050,175,07,,,INTERNET,2014 ,Noviembre
MANZANAS,13498,16535,122,046,,,INTERNET,2014 ,Noviembre
PERAS,10771,13319,124,061,,,INTERNET,2014 ,Noviembre
MELOCOTONES,495,933,188,003,,,INTERNET,2014 ,Noviembre
ALBARICOQUES,560,1400,25,004,,,INTERNET,2014 ,Noviembre
FRESAS/FRESON,000,000,0,0,,,INTERNET,2014 ,Noviembre
MELON,4637,4809,104,005,,,INTERNET,2014 ,Noviembre
SANDIA,144,243,168,002,,,INTERNET,2014 ,Noviembre
CIRUELAS,106,141,133,001,,,INTERNET,2014 ,Noviembre
CEREZAS,1971,3962,201,01,,,INTERNET,2014 ,Noviembre
UVAS,6652,14533,218,034,,,INTERNET,2014 ,Noviembre
KIWI,7056,23155,328,039,,,INTERNET,2014 ,Noviembre
AGUACATE,619,2209,357,009,,,INTERNET,2014 ,Noviembre
PIÑA,4509,11507,255,019,,,INTERNET,2014 ,Noviembre
OTRAS FRUTAS FRESCAS,9607,22288,232,02,,,INTERNET,2014 ,Noviembre
FRUTAS IV GAMA,1019,4914,482,006,,,INTERNET,2014 ,Noviembre
FRUTAS ECOLOGICAS,19466,40901,21,014,,,INTERNET,2014 ,Noviembre
