Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,1.23727,1.72797,14,156,,,INTERNET,2014 ,Septiembre
NARANJAS,23362,38675,166,042,,,INTERNET,2014 ,Septiembre
MANDARINAS,731,2074,284,004,,,INTERNET,2014 ,Septiembre
LIMONES,4614,10814,234,031,,,INTERNET,2014 ,Septiembre
PLATANOS,10369,18384,177,059,,,INTERNET,2014 ,Septiembre
MANZANAS,17847,25885,145,057,,,INTERNET,2014 ,Septiembre
PERAS,4628,6309,136,025,,,INTERNET,2014 ,Septiembre
MELOCOTONES,2671,3371,126,021,,,INTERNET,2014 ,Septiembre
ALBARICOQUES,000,000,0,0,,,INTERNET,2014 ,Septiembre
FRESAS/FRESON,026,240,94,001,,,INTERNET,2014 ,Septiembre
MELON,18749,13152,07,044,,,INTERNET,2014 ,Septiembre
SANDIA,17392,9346,054,015,,,INTERNET,2014 ,Septiembre
CIRUELAS,3160,4188,133,023,,,INTERNET,2014 ,Septiembre
CEREZAS,000,000,0,0,,,INTERNET,2014 ,Septiembre
UVAS,3024,7390,244,021,,,INTERNET,2014 ,Septiembre
KIWI,4268,12490,293,034,,,INTERNET,2014 ,Septiembre
AGUACATE,1200,2520,21,013,,,INTERNET,2014 ,Septiembre
PIÑA,4675,7443,159,026,,,INTERNET,2014 ,Septiembre
OTRAS FRUTAS FRESCAS,7012,10517,15,029,,,INTERNET,2014 ,Septiembre
FRUTAS IV GAMA,2717,5603,206,016,,,INTERNET,2014 ,Septiembre
FRUTAS ECOLOGICAS,4152,6271,151,009,,,INTERNET,2014 ,Septiembre
