Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,93492,1.12365,12,115,,,INTERNET,2015 ,Julio
NARANJAS,9234,9086,098,015,,,INTERNET,2015 ,Julio
MANDARINAS,651,1067,164,001,,,INTERNET,2015 ,Julio
LIMONES,1860,2845,153,009,,,INTERNET,2015 ,Julio
PLATANOS,8683,11472,132,041,,,INTERNET,2015 ,Julio
MANZANAS,4631,6892,149,019,,,INTERNET,2015 ,Julio
PERAS,934,2160,231,006,,,INTERNET,2015 ,Julio
MELOCOTONES,8532,14805,174,046,,,INTERNET,2015 ,Julio
NECTARINAS,4661,6200,133,028,,,INTERNET,2015 ,Julio
ALBARICOQUES,1379,3083,224,009,,,INTERNET,2015 ,Julio
FRESAS/FRESON,000,000,0,0,,,INTERNET,2015 ,Julio
MELON,22830,20145,088,049,,,INTERNET,2015 ,Julio
SANDIA,21687,13542,062,024,,,INTERNET,2015 ,Julio
CIRUELAS,1084,2395,221,007,,,INTERNET,2015 ,Julio
CEREZAS,2028,6649,328,012,,,INTERNET,2015 ,Julio
UVAS,661,1684,255,005,,,INTERNET,2015 ,Julio
KIWI,637,2153,338,005,,,INTERNET,2015 ,Julio
AGUACATE,1540,4127,268,007,,,INTERNET,2015 ,Julio
PIÑA,596,774,13,003,,,INTERNET,2015 ,Julio
OTRAS FRUTAS FRESCAS,1865,3286,176,012,,,INTERNET,2015 ,Julio
FRUTAS IV GAMA,2032,1661,082,006,,,INTERNET,2015 ,Julio
