Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,1.36435,1.74367,128,168,,,INTERNET,2017 ,Agosto
NARANJAS,14426,16500,114,025,,,INTERNET,2017 ,Agosto
MANDARINAS,000,000,0,0,,,INTERNET,2017 ,Agosto
LIMONES,3362,7956,237,022,,,INTERNET,2017 ,Agosto
PLATANOS,12392,18371,148,05,,,INTERNET,2017 ,Agosto
MANZANAS,11506,19496,169,043,,,INTERNET,2017 ,Agosto
PERAS,1944,3056,157,02,,,INTERNET,2017 ,Agosto
MELOCOTONES,11820,16742,142,047,,,INTERNET,2017 ,Agosto
NECTARINAS,3617,4706,13,019,,,INTERNET,2017 ,Agosto
ALBARICOQUES,224,560,25,001,,,INTERNET,2017 ,Agosto
FRESAS/FRESON,073,434,598,001,,,INTERNET,2017 ,Agosto
MELON,27615,26249,095,052,,,INTERNET,2017 ,Agosto
SANDIA,33330,17553,053,031,,,INTERNET,2017 ,Agosto
CIRUELAS,2568,3642,142,011,,,INTERNET,2017 ,Agosto
CEREZAS,493,1155,234,007,,,INTERNET,2017 ,Agosto
UVAS,4416,7124,161,013,,,INTERNET,2017 ,Agosto
KIWI,2454,8986,366,012,,,INTERNET,2017 ,Agosto
AGUACATE,2532,10907,431,017,,,INTERNET,2017 ,Agosto
PIÑA,334,626,188,002,,,INTERNET,2017 ,Agosto
OTRAS FRUTAS FRESCAS,3328,10302,31,024,,,INTERNET,2017 ,Agosto
POMELO,000,000,0,0,,,INTERNET,2017 ,Agosto
CHIRIMOYA,000,000,0,0,,,INTERNET,2017 ,Agosto
FRUTAS IV GAMA,7591,7852,103,017,,,INTERNET,2017 ,Agosto
