Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,1.16088,1.86353,161,173,,,INTERNET,2017 ,Diciembre
NARANJAS,30353,37025,122,038,,,INTERNET,2017 ,Diciembre
MANDARINAS,16849,21510,128,045,,,INTERNET,2017 ,Diciembre
LIMONES,3453,4582,133,019,,,INTERNET,2017 ,Diciembre
PLATANOS,17781,26729,15,078,,,INTERNET,2017 ,Diciembre
MANZANAS,8635,12917,15,039,,,INTERNET,2017 ,Diciembre
PERAS,14010,21500,153,034,,,INTERNET,2017 ,Diciembre
MELOCOTONES,178,362,203,002,,,INTERNET,2017 ,Diciembre
NECTARINAS,000,000,0,0,,,INTERNET,2017 ,Diciembre
ALBARICOQUES,000,000,0,0,,,INTERNET,2017 ,Diciembre
FRESAS/FRESON,243,1492,613,005,,,INTERNET,2017 ,Diciembre
MELON,4093,7161,175,009,,,INTERNET,2017 ,Diciembre
SANDIA,000,000,0,0,,,INTERNET,2017 ,Diciembre
CIRUELAS,135,433,321,001,,,INTERNET,2017 ,Diciembre
CEREZAS,000,000,0,0,,,INTERNET,2017 ,Diciembre
UVAS,2392,8918,373,026,,,INTERNET,2017 ,Diciembre
KIWI,3668,12274,335,023,,,INTERNET,2017 ,Diciembre
AGUACATE,1498,7959,531,013,,,INTERNET,2017 ,Diciembre
PIÑA,5721,7123,125,015,,,INTERNET,2017 ,Diciembre
OTRAS FRUTAS FRESCAS,7080,16368,231,034,,,INTERNET,2017 ,Diciembre
POMELO,231,460,199,002,,,INTERNET,2017 ,Diciembre
CHIRIMOYA,000,000,0,0,,,INTERNET,2017 ,Diciembre
FRUTAS IV GAMA,1818,6623,364,013,,,INTERNET,2017 ,Diciembre
