Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,1.70850,2.62731,154,222,,,INTERNET,2017 ,Mayo
NARANJAS,56290,55527,099,054,,,INTERNET,2017 ,Mayo
MANDARINAS,3056,3561,117,012,,,INTERNET,2017 ,Mayo
LIMONES,8223,15608,19,05,,,INTERNET,2017 ,Mayo
PLATANOS,19609,29698,151,087,,,INTERNET,2017 ,Mayo
MANZANAS,17583,24634,14,069,,,INTERNET,2017 ,Mayo
PERAS,8048,10887,135,03,,,INTERNET,2017 ,Mayo
MELOCOTONES,811,2100,259,005,,,INTERNET,2017 ,Mayo
NECTARINAS,3217,6509,202,018,,,INTERNET,2017 ,Mayo
ALBARICOQUES,2180,5536,254,017,,,INTERNET,2017 ,Mayo
FRESAS/FRESON,9274,22880,247,058,,,INTERNET,2017 ,Mayo
MELON,8901,11376,128,023,,,INTERNET,2017 ,Mayo
SANDIA,11372,10971,096,023,,,INTERNET,2017 ,Mayo
CIRUELAS,316,726,23,005,,,INTERNET,2017 ,Mayo
CEREZAS,1599,7975,499,015,,,INTERNET,2017 ,Mayo
UVAS,2190,6714,307,016,,,INTERNET,2017 ,Mayo
KIWI,5774,15710,272,041,,,INTERNET,2017 ,Mayo
AGUACATE,2544,11322,445,021,,,INTERNET,2017 ,Mayo
PIÑA,5194,10283,198,016,,,INTERNET,2017 ,Mayo
OTRAS FRUTAS FRESCAS,4669,10715,23,028,,,INTERNET,2017 ,Mayo
POMELO,850,1003,118,003,,,INTERNET,2017 ,Mayo
CHIRIMOYA,000,000,0,0,,,INTERNET,2017 ,Mayo
FRUTAS IV GAMA,7388,18731,254,035,,,INTERNET,2017 ,Mayo
