Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,1.81403,3.07121,169,247,,,INTERNET,2018 ,Abril
NARANJAS,60592,74304,123,061,,,INTERNET,2018 ,Abril
MANDARINAS,25441,34007,134,055,,,INTERNET,2018 ,Abril
LIMONES,4830,7707,16,035,,,INTERNET,2018 ,Abril
PLATANOS,27234,46360,17,118,,,INTERNET,2018 ,Abril
MANZANAS,19026,33926,178,053,,,INTERNET,2018 ,Abril
PERAS,10157,19131,188,059,,,INTERNET,2018 ,Abril
MELOCOTONES,000,000,0,0,,,INTERNET,2018 ,Abril
NECTARINAS,1784,2547,143,005,,,INTERNET,2018 ,Abril
ALBARICOQUES,132,261,198,001,,,INTERNET,2018 ,Abril
FRESAS/FRESON,13907,38229,275,074,,,INTERNET,2018 ,Abril
MELON,340,1344,395,003,,,INTERNET,2018 ,Abril
SANDIA,297,532,179,001,,,INTERNET,2018 ,Abril
CIRUELAS,226,362,16,002,,,INTERNET,2018 ,Abril
CEREZAS,000,000,0,0,,,INTERNET,2018 ,Abril
UVAS,1535,7778,507,01,,,INTERNET,2018 ,Abril
KIWI,3988,12439,312,021,,,INTERNET,2018 ,Abril
AGUACATE,4451,9956,224,015,,,INTERNET,2018 ,Abril
PIÑA,3678,6924,188,015,,,INTERNET,2018 ,Abril
OTRAS FRUTAS FRESCAS,3783,11315,299,027,,,INTERNET,2018 ,Abril
POMELO,1871,3246,173,01,,,INTERNET,2018 ,Abril
CHIRIMOYA,000,000,0,0,,,INTERNET,2018 ,Abril
FRUTAS IV GAMA,8170,17535,215,051,,,INTERNET,2018 ,Abril
