Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,1.63737,2.87066,175,223,,,INTERNET,2018 ,Octubre
NARANJAS,12421,18892,152,03,,,INTERNET,2018 ,Octubre
MANDARINAS,10241,17259,169,045,,,INTERNET,2018 ,Octubre
LIMONES,4052,9697,239,03,,,INTERNET,2018 ,Octubre
PLATANOS,32913,59024,179,113,,,INTERNET,2018 ,Octubre
MANZANAS,32437,33861,104,077,,,INTERNET,2018 ,Octubre
PERAS,10966,16568,151,03,,,INTERNET,2018 ,Octubre
MELOCOTONES,5334,9900,186,027,,,INTERNET,2018 ,Octubre
NECTARINAS,3832,5041,132,009,,,INTERNET,2018 ,Octubre
ALBARICOQUES,000,000,0,0,,,INTERNET,2018 ,Octubre
FRESAS/FRESON,263,1315,5,003,,,INTERNET,2018 ,Octubre
MELON,9833,13451,137,031,,,INTERNET,2018 ,Octubre
SANDIA,5286,2789,053,004,,,INTERNET,2018 ,Octubre
CIRUELAS,2881,5649,196,018,,,INTERNET,2018 ,Octubre
CEREZAS,000,000,0,0,,,INTERNET,2018 ,Octubre
UVAS,5652,12766,226,029,,,INTERNET,2018 ,Octubre
KIWI,4639,15434,333,026,,,INTERNET,2018 ,Octubre
AGUACATE,5268,19216,365,035,,,INTERNET,2018 ,Octubre
PIÑA,6452,12168,189,023,,,INTERNET,2018 ,Octubre
OTRAS FRUTAS FRESCAS,11267,34037,302,046,,,INTERNET,2018 ,Octubre
POMELO,1710,3043,178,009,,,INTERNET,2018 ,Octubre
CHIRIMOYA,000,000,0,0,,,INTERNET,2018 ,Octubre
FRUTAS IV GAMA,7310,16526,226,027,,,INTERNET,2018 ,Octubre
