Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,2.50126,4.67175,187,261,,,INTERNET,2020 ,Febrero
NARANJAS,77623,95752,123,075,,,INTERNET,2020 ,Febrero
MANDARINAS,35930,76221,212,107,,,INTERNET,2020 ,Febrero
LIMONES,7875,13552,172,032,,,INTERNET,2020 ,Febrero
PLATANOS,28954,48810,169,117,,,INTERNET,2020 ,Febrero
MANZANAS,24994,40398,162,063,,,INTERNET,2020 ,Febrero
PERAS,8231,15299,186,034,,,INTERNET,2020 ,Febrero
MELOCOTONES,000,000,0,0,,,INTERNET,2020 ,Febrero
NECTARINAS,575,374,065,001,,,INTERNET,2020 ,Febrero
ALBARICOQUES,000,000,0,0,,,INTERNET,2020 ,Febrero
FRESAS/FRESON,7325,23384,319,043,,,INTERNET,2020 ,Febrero
MELON,10468,20682,198,024,,,INTERNET,2020 ,Febrero
SANDIA,000,000,0,0,,,INTERNET,2020 ,Febrero
CIRUELAS,136,270,198,002,,,INTERNET,2020 ,Febrero
CEREZAS,000,000,0,0,,,INTERNET,2020 ,Febrero
UVAS,2090,8262,395,013,,,INTERNET,2020 ,Febrero
KIWI,8671,25846,298,039,,,INTERNET,2020 ,Febrero
AGUACATE,1992,11297,567,018,,,INTERNET,2020 ,Febrero
PIÑA,4283,15955,372,015,,,INTERNET,2020 ,Febrero
OTRAS FRUTAS FRESCAS,30977,71073,229,071,,,INTERNET,2020 ,Febrero
POMELO,1064,1861,175,011,,,INTERNET,2020 ,Febrero
CHIRIMOYA,000,000,0,0,,,INTERNET,2020 ,Febrero
MANGO,10842,31221,288,026,,,INTERNET,2020 ,Febrero
FRUTAS IV GAMA,6522,17935,275,025,,,INTERNET,2020 ,Febrero
