Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,3.86841,7.40496,191,378,,,INTERNET,2020 ,Marzo
NARANJAS,1.45332,1.85295,127,131,,,INTERNET,2020 ,Marzo
MANDARINAS,24152,45165,187,084,,,INTERNET,2020 ,Marzo
LIMONES,11717,20948,179,065,,,INTERNET,2020 ,Marzo
PLATANOS,63831,1.12910,177,23,,,INTERNET,2020 ,Marzo
MANZANAS,50007,84805,17,155,,,INTERNET,2020 ,Marzo
PERAS,16868,37273,221,098,,,INTERNET,2020 ,Marzo
MELOCOTONES,000,000,0,0,,,INTERNET,2020 ,Marzo
NECTARINAS,304,594,196,003,,,INTERNET,2020 ,Marzo
ALBARICOQUES,000,000,0,0,,,INTERNET,2020 ,Marzo
FRESAS/FRESON,26567,86619,326,096,,,INTERNET,2020 ,Marzo
MELON,1901,3532,186,009,,,INTERNET,2020 ,Marzo
SANDIA,482,2409,5,006,,,INTERNET,2020 ,Marzo
CIRUELAS,2267,5231,231,021,,,INTERNET,2020 ,Marzo
CEREZAS,000,000,0,0,,,INTERNET,2020 ,Marzo
UVAS,4582,26949,588,025,,,INTERNET,2020 ,Marzo
KIWI,15281,48951,32,06,,,INTERNET,2020 ,Marzo
AGUACATE,16568,53175,321,05,,,INTERNET,2020 ,Marzo
PIÑA,3737,9033,242,013,,,INTERNET,2020 ,Marzo
OTRAS FRUTAS FRESCAS,3247,17608,542,03,,,INTERNET,2020 ,Marzo
POMELO,213,989,464,001,,,INTERNET,2020 ,Marzo
CHIRIMOYA,000,000,0,0,,,INTERNET,2020 ,Marzo
MANGO,1623,5276,325,012,,,INTERNET,2020 ,Marzo
FRUTAS IV GAMA,17623,34450,195,041,,,INTERNET,2020 ,Marzo
