Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,125.28656,177.87425,142,7859,,,SUPERMERCADO,2013 ,Noviembre
NARANJAS,24.90565,23.29781,094,3171,,,SUPERMERCADO,2013 ,Noviembre
MANDARINAS,16.46908,19.33546,117,3411,,,SUPERMERCADO,2013 ,Noviembre
LIMONES,3.75999,5.61180,149,208,,,SUPERMERCADO,2013 ,Noviembre
PLATANOS,22.38990,33.76510,151,5166,,,SUPERMERCADO,2013 ,Noviembre
MANZANAS,15.41491,21.77073,141,3783,,,SUPERMERCADO,2013 ,Noviembre
PERAS,9.13772,12.80773,14,2978,,,SUPERMERCADO,2013 ,Noviembre
MELOCOTONES,77952,1.39356,179,405,,,SUPERMERCADO,2013 ,Noviembre
ALBARICOQUES,3813,5914,155,021,,,SUPERMERCADO,2013 ,Noviembre
FRESAS/FRESON,7610,32660,429,075,,,SUPERMERCADO,2013 ,Noviembre
MELON,3.34608,4.18701,125,624,,,SUPERMERCADO,2013 ,Noviembre
SANDIA,82164,70878,086,11,,,SUPERMERCADO,2013 ,Noviembre
CIRUELAS,1.15984,2.15143,185,576,,,SUPERMERCADO,2013 ,Noviembre
CEREZAS,19554,39238,201,103,,,SUPERMERCADO,2013 ,Noviembre
UVAS,5.01080,10.10601,202,1656,,,SUPERMERCADO,2013 ,Noviembre
KIWI,5.31927,13.14756,247,1966,,,SUPERMERCADO,2013 ,Noviembre
AGUACATE,1.20616,3.18153,264,756,,,SUPERMERCADO,2013 ,Noviembre
PIÑA,3.77560,4.55169,121,105,,,SUPERMERCADO,2013 ,Noviembre
OTRAS FRUTAS FRESCAS,11.48063,21.07993,184,3051,,,SUPERMERCADO,2013 ,Noviembre
FRUTAS IV GAMA,3.00629,4.74899,158,833,,,SUPERMERCADO,2013 ,Noviembre
FRUTAS ECOLOGICAS,5.49175,8.97704,163,964,,,SUPERMERCADO,2013 ,Noviembre
