Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,158.81481,195.33486,123,7912,,,SUPERMERCADO,2014 ,Septiembre
NARANJAS,13.28251,17.15920,129,1859,,,SUPERMERCADO,2014 ,Septiembre
MANDARINAS,2.22720,4.29386,193,1078,,,SUPERMERCADO,2014 ,Septiembre
LIMONES,3.60065,7.22536,201,2015,,,SUPERMERCADO,2014 ,Septiembre
PLATANOS,19.84889,29.94572,151,5011,,,SUPERMERCADO,2014 ,Septiembre
MANZANAS,14.26126,16.18959,114,3779,,,SUPERMERCADO,2014 ,Septiembre
PERAS,8.34563,10.75247,129,2725,,,SUPERMERCADO,2014 ,Septiembre
MELOCOTONES,10.71529,14.55241,136,3096,,,SUPERMERCADO,2014 ,Septiembre
ALBARICOQUES,13151,22141,168,077,,,SUPERMERCADO,2014 ,Septiembre
FRESAS/FRESON,41146,77460,188,181,,,SUPERMERCADO,2014 ,Septiembre
MELON,33.03786,21.80475,066,3469,,,SUPERMERCADO,2014 ,Septiembre
SANDIA,21.41432,13.70229,064,2171,,,SUPERMERCADO,2014 ,Septiembre
CIRUELAS,4.88281,6.81039,139,1886,,,SUPERMERCADO,2014 ,Septiembre
CEREZAS,24671,46129,187,144,,,SUPERMERCADO,2014 ,Septiembre
UVAS,5.34464,10.37727,194,1972,,,SUPERMERCADO,2014 ,Septiembre
KIWI,4.05884,12.60980,311,164,,,SUPERMERCADO,2014 ,Septiembre
AGUACATE,1.27109,3.77647,297,1038,,,SUPERMERCADO,2014 ,Septiembre
PIÑA,2.58191,3.47518,135,78,,,SUPERMERCADO,2014 ,Septiembre
OTRAS FRUTAS FRESCAS,13.15223,21.20278,161,3736,,,SUPERMERCADO,2014 ,Septiembre
FRUTAS IV GAMA,3.30889,4.65484,141,801,,,SUPERMERCADO,2014 ,Septiembre
FRUTAS ECOLOGICAS,8.11186,10.25061,126,1067,,,SUPERMERCADO,2014 ,Septiembre
