Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,179.96567,205.42373,114,7731,,,SUPERMERCADO,2015 ,Julio
NARANJAS,14.31303,15.44868,108,1679,,,SUPERMERCADO,2015 ,Julio
MANDARINAS,29088,52565,181,13,,,SUPERMERCADO,2015 ,Julio
LIMONES,3.76945,6.45368,171,2065,,,SUPERMERCADO,2015 ,Julio
PLATANOS,15.46767,20.83348,135,4306,,,SUPERMERCADO,2015 ,Julio
MANZANAS,11.08295,15.27988,138,3026,,,SUPERMERCADO,2015 ,Julio
PERAS,3.37720,5.48864,163,1507,,,SUPERMERCADO,2015 ,Julio
MELOCOTONES,12.10076,17.56726,145,3245,,,SUPERMERCADO,2015 ,Julio
NECTARINAS,9.26984,11.79748,127,2632,,,SUPERMERCADO,2015 ,Julio
ALBARICOQUES,2.13382,4.35430,204,1067,,,SUPERMERCADO,2015 ,Julio
FRESAS/FRESON,43552,1.59187,366,389,,,SUPERMERCADO,2015 ,Julio
MELON,32.80674,25.66153,078,3761,,,SUPERMERCADO,2015 ,Julio
SANDIA,52.00710,28.98906,056,3778,,,SUPERMERCADO,2015 ,Julio
CIRUELAS,2.37471,3.94089,166,1227,,,SUPERMERCADO,2015 ,Julio
CEREZAS,3.65523,12.02458,329,1922,,,SUPERMERCADO,2015 ,Julio
UVAS,95423,2.58642,271,502,,,SUPERMERCADO,2015 ,Julio
KIWI,3.48046,10.41061,299,1399,,,SUPERMERCADO,2015 ,Julio
AGUACATE,1.54568,4.61253,298,981,,,SUPERMERCADO,2015 ,Julio
PIÑA,2.93819,3.62263,123,8,,,SUPERMERCADO,2015 ,Julio
OTRAS FRUTAS FRESCAS,7.96222,14.23456,179,2735,,,SUPERMERCADO,2015 ,Julio
FRUTAS IV GAMA,4.30624,5.45392,127,833,,,SUPERMERCADO,2015 ,Julio
