Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,179.80089,215.30977,12,7674,,,SUPERMERCADO,2016 ,Agosto
NARANJAS,14.20489,16.73185,118,1585,,,SUPERMERCADO,2016 ,Agosto
MANDARINAS,61223,1.39342,228,248,,,SUPERMERCADO,2016 ,Agosto
LIMONES,3.78909,9.59410,253,2107,,,SUPERMERCADO,2016 ,Agosto
PLATANOS,17.12080,24.89967,145,4579,,,SUPERMERCADO,2016 ,Agosto
MANZANAS,9.01272,13.35533,148,2754,,,SUPERMERCADO,2016 ,Agosto
PERAS,5.23962,7.76675,148,2181,,,SUPERMERCADO,2016 ,Agosto
MELOCOTONES,15.05522,21.61388,144,3552,,,SUPERMERCADO,2016 ,Agosto
NECTARINAS,10.31672,13.26591,129,2667,,,SUPERMERCADO,2016 ,Agosto
ALBARICOQUES,78258,1.61060,206,492,,,SUPERMERCADO,2016 ,Agosto
FRESAS/FRESON,37045,1.42337,384,272,,,SUPERMERCADO,2016 ,Agosto
MELON,39.05268,28.91727,074,3794,,,SUPERMERCADO,2016 ,Agosto
SANDIA,41.95329,23.72247,057,3442,,,SUPERMERCADO,2016 ,Agosto
CIRUELAS,3.17415,5.34115,168,1525,,,SUPERMERCADO,2016 ,Agosto
CEREZAS,44069,1.70210,386,294,,,SUPERMERCADO,2016 ,Agosto
UVAS,2.36135,5.75697,244,1194,,,SUPERMERCADO,2016 ,Agosto
KIWI,4.50364,12.70525,282,1607,,,SUPERMERCADO,2016 ,Agosto
AGUACATE,1.33971,4.97692,371,1054,,,SUPERMERCADO,2016 ,Agosto
PIÑA,2.01015,3.23295,161,616,,,SUPERMERCADO,2016 ,Agosto
OTRAS FRUTAS FRESCAS,8.46091,17.29980,204,2852,,,SUPERMERCADO,2016 ,Agosto
FRUTAS IV GAMA,5.27946,7.03903,133,1122,,,SUPERMERCADO,2016 ,Agosto
