Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,171.50162,251.53385,147,8194,,,SUPERMERCADO,2016 ,Junio
NARANJAS,22.06707,23.28150,106,2338,,,SUPERMERCADO,2016 ,Junio
MANDARINAS,89428,1.17909,132,278,,,SUPERMERCADO,2016 ,Junio
LIMONES,3.81639,8.43500,221,1985,,,SUPERMERCADO,2016 ,Junio
PLATANOS,23.03222,31.92022,139,5501,,,SUPERMERCADO,2016 ,Junio
MANZANAS,14.34511,20.09048,14,369,,,SUPERMERCADO,2016 ,Junio
PERAS,6.28336,9.07991,145,2375,,,SUPERMERCADO,2016 ,Junio
MELOCOTONES,6.30697,11.74280,186,2238,,,SUPERMERCADO,2016 ,Junio
NECTARINAS,4.92346,8.80833,179,1856,,,SUPERMERCADO,2016 ,Junio
ALBARICOQUES,3.95053,8.37424,212,1962,,,SUPERMERCADO,2016 ,Junio
FRESAS/FRESON,1.66035,4.53341,273,1054,,,SUPERMERCADO,2016 ,Junio
MELON,21.36644,22.98184,108,3201,,,SUPERMERCADO,2016 ,Junio
SANDIA,38.57568,32.62889,085,3548,,,SUPERMERCADO,2016 ,Junio
CIRUELAS,79488,1.58593,2,63,,,SUPERMERCADO,2016 ,Junio
CEREZAS,5.82119,21.79417,374,2457,,,SUPERMERCADO,2016 ,Junio
UVAS,82132,2.70143,329,427,,,SUPERMERCADO,2016 ,Junio
KIWI,4.95658,13.33261,269,2011,,,SUPERMERCADO,2016 ,Junio
AGUACATE,1.58400,6.05125,382,1204,,,SUPERMERCADO,2016 ,Junio
PIÑA,2.68073,4.22098,157,84,,,SUPERMERCADO,2016 ,Junio
OTRAS FRUTAS FRESCAS,7.62105,18.79178,247,2909,,,SUPERMERCADO,2016 ,Junio
FRUTAS IV GAMA,4.46795,8.10733,181,126,,,SUPERMERCADO,2016 ,Junio
