Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,130.23542,197.15516,151,8112,,,SUPERMERCADO,2017 ,Febrero
NARANJAS,35.14135,29.82438,085,3203,,,SUPERMERCADO,2017 ,Febrero
MANDARINAS,12.89553,20.04173,155,3041,,,SUPERMERCADO,2017 ,Febrero
LIMONES,3.92784,5.60607,143,1935,,,SUPERMERCADO,2017 ,Febrero
PLATANOS,25.51182,38.77810,152,5931,,,SUPERMERCADO,2017 ,Febrero
MANZANAS,19.10923,25.80381,135,4432,,,SUPERMERCADO,2017 ,Febrero
PERAS,8.04317,11.06037,138,2642,,,SUPERMERCADO,2017 ,Febrero
MELOCOTONES,3501,4192,12,015,,,SUPERMERCADO,2017 ,Febrero
NECTARINAS,10719,20581,192,051,,,SUPERMERCADO,2017 ,Febrero
ALBARICOQUES,4532,5133,113,029,,,SUPERMERCADO,2017 ,Febrero
FRESAS/FRESON,7.11533,24.62490,346,3031,,,SUPERMERCADO,2017 ,Febrero
MELON,2.82601,3.74186,132,48,,,SUPERMERCADO,2017 ,Febrero
SANDIA,431,323,075,001,,,SUPERMERCADO,2017 ,Febrero
CIRUELAS,55558,1.43707,259,371,,,SUPERMERCADO,2017 ,Febrero
CEREZAS,4996,13480,27,035,,,SUPERMERCADO,2017 ,Febrero
UVAS,96514,3.27738,34,542,,,SUPERMERCADO,2017 ,Febrero
KIWI,4.85666,11.29027,232,2056,,,SUPERMERCADO,2017 ,Febrero
AGUACATE,1.67560,5.57081,332,1172,,,SUPERMERCADO,2017 ,Febrero
PIÑA,3.40669,5.12366,15,862,,,SUPERMERCADO,2017 ,Febrero
OTRAS FRUTAS FRESCAS,3.96370,10.53765,266,169,,,SUPERMERCADO,2017 ,Febrero
POMELO,79177,1.26602,16,231,,,SUPERMERCADO,2017 ,Febrero
CHIRIMOYA,1135,1306,115,007,,,SUPERMERCADO,2017 ,Febrero
FRUTAS IV GAMA,2.04198,5.23425,256,93,,,SUPERMERCADO,2017 ,Febrero
