Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,157.48239,257.81649,164,8583,,,SUPERMERCADO,2018 ,Abril
NARANJAS,38.46397,37.36069,097,3291,,,SUPERMERCADO,2018 ,Abril
MANDARINAS,9.03422,15.00131,166,2357,,,SUPERMERCADO,2018 ,Abril
LIMONES,4.00693,6.33449,158,2044,,,SUPERMERCADO,2018 ,Abril
PLATANOS,31.54723,47.76911,151,6365,,,SUPERMERCADO,2018 ,Abril
MANZANAS,20.14251,31.02295,154,459,,,SUPERMERCADO,2018 ,Abril
PERAS,10.18873,15.84365,156,3204,,,SUPERMERCADO,2018 ,Abril
MELOCOTONES,5112,8547,167,024,,,SUPERMERCADO,2018 ,Abril
NECTARINAS,18680,39513,212,087,,,SUPERMERCADO,2018 ,Abril
ALBARICOQUES,3874,6568,17,04,,,SUPERMERCADO,2018 ,Abril
FRESAS/FRESON,20.02719,44.81471,224,534,,,SUPERMERCADO,2018 ,Abril
MELON,3.62676,5.62798,155,659,,,SUPERMERCADO,2018 ,Abril
SANDIA,3.46932,5.47261,158,652,,,SUPERMERCADO,2018 ,Abril
CIRUELAS,69344,2.00482,289,44,,,SUPERMERCADO,2018 ,Abril
CEREZAS,2140,7149,334,021,,,SUPERMERCADO,2018 ,Abril
UVAS,1.28299,5.17287,403,699,,,SUPERMERCADO,2018 ,Abril
KIWI,4.68011,13.07929,279,1944,,,SUPERMERCADO,2018 ,Abril
AGUACATE,2.23694,8.62872,386,1518,,,SUPERMERCADO,2018 ,Abril
PIÑA,3.72066,5.87751,158,102,,,SUPERMERCADO,2018 ,Abril
OTRAS FRUTAS FRESCAS,4.06332,13.18801,325,1824,,,SUPERMERCADO,2018 ,Abril
POMELO,73900,1.24144,168,178,,,SUPERMERCADO,2018 ,Abril
CHIRIMOYA,000,000,0,0,,,SUPERMERCADO,2018 ,Abril
FRUTAS IV GAMA,9.17607,16.90174,184,2227,,,SUPERMERCADO,2018 ,Abril
