Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,135.49185,209.33948,155,8228,,,SUPERMERCADO,2018 ,Diciembre
NARANJAS,27.52985,25.37441,092,2899,,,SUPERMERCADO,2018 ,Diciembre
MANDARINAS,17.63635,21.32445,121,3506,,,SUPERMERCADO,2018 ,Diciembre
LIMONES,4.59532,6.76879,147,2434,,,SUPERMERCADO,2018 ,Diciembre
PLATANOS,25.05467,40.31851,161,5723,,,SUPERMERCADO,2018 ,Diciembre
MANZANAS,14.88943,21.65230,145,3884,,,SUPERMERCADO,2018 ,Diciembre
PERAS,7.50083,10.85719,145,2546,,,SUPERMERCADO,2018 ,Diciembre
MELOCOTONES,1778,6283,353,02,,,SUPERMERCADO,2018 ,Diciembre
NECTARINAS,27792,32777,118,079,,,SUPERMERCADO,2018 ,Diciembre
ALBARICOQUES,11345,21748,192,057,,,SUPERMERCADO,2018 ,Diciembre
FRESAS/FRESON,35779,1.59453,446,263,,,SUPERMERCADO,2018 ,Diciembre
MELON,3.20622,4.96405,155,605,,,SUPERMERCADO,2018 ,Diciembre
SANDIA,13477,20816,154,048,,,SUPERMERCADO,2018 ,Diciembre
CIRUELAS,14339,25474,178,129,,,SUPERMERCADO,2018 ,Diciembre
CEREZAS,9986,33998,34,057,,,SUPERMERCADO,2018 ,Diciembre
UVAS,4.92502,13.88207,282,2391,,,SUPERMERCADO,2018 ,Diciembre
KIWI,5.21153,15.80695,303,2047,,,SUPERMERCADO,2018 ,Diciembre
AGUACATE,2.60549,9.14367,351,1759,,,SUPERMERCADO,2018 ,Diciembre
PIÑA,9.70706,10.87269,112,2263,,,SUPERMERCADO,2018 ,Diciembre
OTRAS FRUTAS FRESCAS,11.48512,25.36890,221,3352,,,SUPERMERCADO,2018 ,Diciembre
POMELO,59320,98136,165,192,,,SUPERMERCADO,2018 ,Diciembre
CHIRIMOYA,523,790,151,002,,,SUPERMERCADO,2018 ,Diciembre
FRUTAS IV GAMA,7.34647,13.38334,182,1822,,,SUPERMERCADO,2018 ,Diciembre
