Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,143.90413,215.78516,15,8306,,,SUPERMERCADO,2018 ,Enero
NARANJAS,35.84001,32.35522,09,3324,,,SUPERMERCADO,2018 ,Enero
MANDARINAS,20.36689,27.68175,136,3748,,,SUPERMERCADO,2018 ,Enero
LIMONES,3.82550,6.05810,158,1973,,,SUPERMERCADO,2018 ,Enero
PLATANOS,30.39587,43.60190,143,619,,,SUPERMERCADO,2018 ,Enero
MANZANAS,18.05789,25.59419,142,416,,,SUPERMERCADO,2018 ,Enero
PERAS,9.12428,13.06516,143,2857,,,SUPERMERCADO,2018 ,Enero
MELOCOTONES,2024,4348,215,01,,,SUPERMERCADO,2018 ,Enero
NECTARINAS,25040,42306,169,101,,,SUPERMERCADO,2018 ,Enero
ALBARICOQUES,6065,9152,151,045,,,SUPERMERCADO,2018 ,Enero
FRESAS/FRESON,3.51440,13.61921,388,1788,,,SUPERMERCADO,2018 ,Enero
MELON,2.40913,3.85906,16,44,,,SUPERMERCADO,2018 ,Enero
SANDIA,12795,8414,066,021,,,SUPERMERCADO,2018 ,Enero
CIRUELAS,5906,15480,262,059,,,SUPERMERCADO,2018 ,Enero
CEREZAS,8810,35211,4,071,,,SUPERMERCADO,2018 ,Enero
UVAS,1.58125,5.51374,349,971,,,SUPERMERCADO,2018 ,Enero
KIWI,4.90160,13.29755,271,2169,,,SUPERMERCADO,2018 ,Enero
AGUACATE,1.95613,7.45270,381,1348,,,SUPERMERCADO,2018 ,Enero
PIÑA,4.89655,6.31478,129,1238,,,SUPERMERCADO,2018 ,Enero
OTRAS FRUTAS FRESCAS,6.42823,16.22269,252,223,,,SUPERMERCADO,2018 ,Enero
POMELO,57393,90556,158,16,,,SUPERMERCADO,2018 ,Enero
CHIRIMOYA,000,000,0,0,,,SUPERMERCADO,2018 ,Enero
FRUTAS IV GAMA,7.15407,12.90517,18,1872,,,SUPERMERCADO,2018 ,Enero
