Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,153.82873,250.88655,163,8557,,,SUPERMERCADO,2018 ,Marzo
NARANJAS,39.89752,37.22383,093,3495,,,SUPERMERCADO,2018 ,Marzo
MANDARINAS,12.41260,21.36016,172,293,,,SUPERMERCADO,2018 ,Marzo
LIMONES,4.26397,6.65632,156,216,,,SUPERMERCADO,2018 ,Marzo
PLATANOS,32.00342,46.89200,147,6391,,,SUPERMERCADO,2018 ,Marzo
MANZANAS,20.33606,30.01741,148,456,,,SUPERMERCADO,2018 ,Marzo
PERAS,10.63336,15.59584,147,3059,,,SUPERMERCADO,2018 ,Marzo
MELOCOTONES,2343,5594,239,016,,,SUPERMERCADO,2018 ,Marzo
NECTARINAS,9715,23536,242,047,,,SUPERMERCADO,2018 ,Marzo
ALBARICOQUES,8932,12216,137,054,,,SUPERMERCADO,2018 ,Marzo
FRESAS/FRESON,12.62547,39.36732,312,4222,,,SUPERMERCADO,2018 ,Marzo
MELON,3.16594,4.41734,14,509,,,SUPERMERCADO,2018 ,Marzo
SANDIA,1.30281,2.15915,166,309,,,SUPERMERCADO,2018 ,Marzo
CIRUELAS,63581,1.86452,293,384,,,SUPERMERCADO,2018 ,Marzo
CEREZAS,4929,21309,432,046,,,SUPERMERCADO,2018 ,Marzo
UVAS,1.40230,5.42468,387,734,,,SUPERMERCADO,2018 ,Marzo
KIWI,4.69384,12.97327,276,2116,,,SUPERMERCADO,2018 ,Marzo
AGUACATE,2.14575,8.45387,394,1494,,,SUPERMERCADO,2018 ,Marzo
PIÑA,4.02667,6.01433,149,1104,,,SUPERMERCADO,2018 ,Marzo
OTRAS FRUTAS FRESCAS,4.02403,11.83995,294,1621,,,SUPERMERCADO,2018 ,Marzo
POMELO,84994,1.49418,176,235,,,SUPERMERCADO,2018 ,Marzo
CHIRIMOYA,000,000,0,0,,,SUPERMERCADO,2018 ,Marzo
FRUTAS IV GAMA,8.86847,17.07880,193,2239,,,SUPERMERCADO,2018 ,Marzo
