Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,164.54152,270.99363,165,8548,,,SUPERMERCADO,2018 ,Mayo
NARANJAS,35.50241,34.58139,097,3094,,,SUPERMERCADO,2018 ,Mayo
MANDARINAS,6.39110,9.43192,148,174,,,SUPERMERCADO,2018 ,Mayo
LIMONES,4.17128,8.06930,193,1979,,,SUPERMERCADO,2018 ,Mayo
PLATANOS,31.06707,46.64805,15,6347,,,SUPERMERCADO,2018 ,Mayo
MANZANAS,19.44891,30.58844,157,4435,,,SUPERMERCADO,2018 ,Mayo
PERAS,9.14518,14.62399,16,2856,,,SUPERMERCADO,2018 ,Mayo
MELOCOTONES,83655,2.08460,249,538,,,SUPERMERCADO,2018 ,Mayo
NECTARINAS,1.21594,2.90162,239,658,,,SUPERMERCADO,2018 ,Mayo
ALBARICOQUES,1.88663,4.44909,236,1245,,,SUPERMERCADO,2018 ,Mayo
FRESAS/FRESON,13.12597,29.32461,223,4432,,,SUPERMERCADO,2018 ,Mayo
MELON,6.69186,10.40046,155,143,,,SUPERMERCADO,2018 ,Mayo
SANDIA,12.75884,17.05955,134,1967,,,SUPERMERCADO,2018 ,Mayo
CIRUELAS,70888,1.98416,28,547,,,SUPERMERCADO,2018 ,Mayo
CEREZAS,87681,3.86848,441,7,,,SUPERMERCADO,2018 ,Mayo
UVAS,1.32480,4.91051,371,69,,,SUPERMERCADO,2018 ,Mayo
KIWI,5.01676,14.18492,283,2185,,,SUPERMERCADO,2018 ,Mayo
AGUACATE,2.74889,9.82181,357,1722,,,SUPERMERCADO,2018 ,Mayo
PIÑA,5.43097,7.53588,139,14,,,SUPERMERCADO,2018 ,Mayo
OTRAS FRUTAS FRESCAS,6.19266,18.52485,299,2467,,,SUPERMERCADO,2018 ,Mayo
POMELO,86798,1.36473,157,202,,,SUPERMERCADO,2018 ,Mayo
CHIRIMOYA,000,000,0,0,,,SUPERMERCADO,2018 ,Mayo
FRUTAS IV GAMA,9.24571,17.49109,189,228,,,SUPERMERCADO,2018 ,Mayo
