Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
T.FRUTAS FRESCAS,152.92357,250.95625,164,8295,,,SUPERMERCADO,2018 ,Octubre
NARANJAS,20.07350,26.85537,134,2305,,,SUPERMERCADO,2018 ,Octubre
MANDARINAS,9.19139,14.04910,153,2619,,,SUPERMERCADO,2018 ,Octubre
LIMONES,4.93275,9.55890,194,252,,,SUPERMERCADO,2018 ,Octubre
PLATANOS,27.88276,45.07606,162,5878,,,SUPERMERCADO,2018 ,Octubre
MANZANAS,17.50571,25.64271,146,4149,,,SUPERMERCADO,2018 ,Octubre
PERAS,9.48459,14.48994,153,312,,,SUPERMERCADO,2018 ,Octubre
MELOCOTONES,4.98661,9.90199,199,1694,,,SUPERMERCADO,2018 ,Octubre
NECTARINAS,1.19446,1.94307,163,582,,,SUPERMERCADO,2018 ,Octubre
ALBARICOQUES,10814,21164,196,081,,,SUPERMERCADO,2018 ,Octubre
FRESAS/FRESON,50094,1.77170,354,344,,,SUPERMERCADO,2018 ,Octubre
MELON,18.80407,16.30693,087,2333,,,SUPERMERCADO,2018 ,Octubre
SANDIA,4.90431,3.56779,073,765,,,SUPERMERCADO,2018 ,Octubre
CIRUELAS,2.19356,4.58390,209,1266,,,SUPERMERCADO,2018 ,Octubre
CEREZAS,3366,8416,25,027,,,SUPERMERCADO,2018 ,Octubre
UVAS,7.10101,16.43701,231,2377,,,SUPERMERCADO,2018 ,Octubre
KIWI,5.63189,18.63545,331,2262,,,SUPERMERCADO,2018 ,Octubre
AGUACATE,2.78692,9.81678,352,1681,,,SUPERMERCADO,2018 ,Octubre
PIÑA,3.81595,5.57995,146,1026,,,SUPERMERCADO,2018 ,Octubre
OTRAS FRUTAS FRESCAS,11.79135,26.44380,224,3466,,,SUPERMERCADO,2018 ,Octubre
POMELO,70908,1.21680,172,217,,,SUPERMERCADO,2018 ,Octubre
CHIRIMOYA,628,2198,35,003,,,SUPERMERCADO,2018 ,Octubre
FRUTAS IV GAMA,8.09910,14.15619,175,1891,,,SUPERMERCADO,2018 ,Octubre
