Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,13.87444,11.77311,085,1738,,,HIPERMERCADOS,2013 ,Enero
PATATAS FRESCAS,8.28010,6.16361,074,931,,,HIPERMERCADOS,2013 ,Enero
PATATAS CONGELADAS,46699,56079,12,154,,,HIPERMERCADOS,2013 ,Enero
PATATAS PROCESADAS,1.02547,5.04871,492,1109,,,HIPERMERCADOS,2013 ,Enero
T.HORTALIZAS FRESCAS,20.16599,36.02737,179,2929,,,HIPERMERCADOS,2013 ,Enero
TOMATES,3.56168,5.41744,152,1378,,,HIPERMERCADOS,2013 ,Enero
CEBOLLAS,2.86078,2.60934,091,1069,,,HIPERMERCADOS,2013 ,Enero
AJOS,26495,1.33995,506,415,,,HIPERMERCADOS,2013 ,Enero
COLES,77199,86568,112,352,,,HIPERMERCADOS,2013 ,Enero
PEPINOS,40407,65329,162,301,,,HIPERMERCADOS,2013 ,Enero
JUDIAS VERDES,42839,1.38138,322,328,,,HIPERMERCADOS,2013 ,Enero
PIMIENTOS,1.88242,3.70659,197,1047,,,HIPERMERCADOS,2013 ,Enero
CHAMPIÑONES+O.SETAS,63125,2.10941,334,544,,,HIPERMERCADOS,2013 ,Enero
LECHUGA/ESC./ENDIVIA,1.21876,2.80029,23,784,,,HIPERMERCADOS,2013 ,Enero
ESPARRAGOS,7029,33952,483,077,,,HIPERMERCADOS,2013 ,Enero
VERDURAS DE HOJA,25443,79229,311,259,,,HIPERMERCADOS,2013 ,Enero
BERENJENAS,38997,83530,214,31,,,HIPERMERCADOS,2013 ,Enero
ZANAHORIAS,1.57310,1.22767,078,771,,,HIPERMERCADOS,2013 ,Enero
CALABACINES,1.38540,2.41442,174,669,,,HIPERMERCADOS,2013 ,Enero
OTR.HORTALIZAS/VERD.,4.46852,9.53479,213,1767,,,HIPERMERCADOS,2013 ,Enero
VERD./HORT. IV GAMA,1.22279,4.13894,338,883,,,HIPERMERCADOS,2013 ,Enero
VERD./HORT. ECOLOGIC,62895,1.06537,169,206,,,HIPERMERCADOS,2013 ,Enero
