Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,12.13088,10.20493,084,1587,,,HIPERMERCADOS,2013 ,Noviembre
PATATAS FRESCAS,7.60095,5.39121,071,917,,,HIPERMERCADOS,2013 ,Noviembre
PATATAS CONGELADAS,42170,55912,133,142,,,HIPERMERCADOS,2013 ,Noviembre
PATATAS PROCESADAS,82164,4.25459,518,945,,,HIPERMERCADOS,2013 ,Noviembre
T.HORTALIZAS FRESCAS,16.48405,28.28804,172,2633,,,HIPERMERCADOS,2013 ,Noviembre
TOMATES,3.25568,4.53395,139,1247,,,HIPERMERCADOS,2013 ,Noviembre
CEBOLLAS,2.38932,2.36450,099,926,,,HIPERMERCADOS,2013 ,Noviembre
AJOS,29960,1.24149,414,332,,,HIPERMERCADOS,2013 ,Noviembre
COLES,68082,68149,1,278,,,HIPERMERCADOS,2013 ,Noviembre
PEPINOS,57328,71434,125,337,,,HIPERMERCADOS,2013 ,Noviembre
JUDIAS VERDES,51975,1.46350,282,323,,,HIPERMERCADOS,2013 ,Noviembre
PIMIENTOS,1.47561,2.23483,151,886,,,HIPERMERCADOS,2013 ,Noviembre
CHAMPIÑONES+O.SETAS,46606,1.89357,406,42,,,HIPERMERCADOS,2013 ,Noviembre
LECHUGA/ESC./ENDIVIA,1.01069,2.46608,244,679,,,HIPERMERCADOS,2013 ,Noviembre
ESPARRAGOS,4260,26223,616,058,,,HIPERMERCADOS,2013 ,Noviembre
VERDURAS DE HOJA,27144,66754,246,225,,,HIPERMERCADOS,2013 ,Noviembre
BERENJENAS,40659,53685,132,281,,,HIPERMERCADOS,2013 ,Noviembre
ZANAHORIAS,1.34082,1.15596,086,685,,,HIPERMERCADOS,2013 ,Noviembre
CALABACINES,1.02446,1.57526,154,51,,,HIPERMERCADOS,2013 ,Noviembre
OTR.HORTALIZAS/VERD.,2.72733,6.49645,238,1293,,,HIPERMERCADOS,2013 ,Noviembre
VERD./HORT. IV GAMA,91898,3.54376,386,766,,,HIPERMERCADOS,2013 ,Noviembre
VERD./HORT. ECOLOGIC,80784,1.46787,182,196,,,HIPERMERCADOS,2013 ,Noviembre
