Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,12.98260,11.21550,086,1627,,,HIPERMERCADOS,2014 ,Abril
PATATAS FRESCAS,7.62762,5.33901,07,838,,,HIPERMERCADOS,2014 ,Abril
PATATAS CONGELADAS,52250,69086,132,172,,,HIPERMERCADOS,2014 ,Abril
PATATAS PROCESADAS,96650,5.18563,537,1057,,,HIPERMERCADOS,2014 ,Abril
T.HORTALIZAS FRESCAS,18.07196,30.53626,169,2798,,,HIPERMERCADOS,2014 ,Abril
TOMATES,3.91386,6.42939,164,1433,,,HIPERMERCADOS,2014 ,Abril
CEBOLLAS,2.42795,2.53507,104,993,,,HIPERMERCADOS,2014 ,Abril
AJOS,25115,1.11175,443,377,,,HIPERMERCADOS,2014 ,Abril
COLES,44322,39257,089,205,,,HIPERMERCADOS,2014 ,Abril
PEPINOS,65224,84585,13,395,,,HIPERMERCADOS,2014 ,Abril
JUDIAS VERDES,46934,1.18811,253,317,,,HIPERMERCADOS,2014 ,Abril
PIMIENTOS,1.69849,2.91284,171,1032,,,HIPERMERCADOS,2014 ,Abril
CHAMPIÑONES+O.SETAS,42144,1.52254,361,386,,,HIPERMERCADOS,2014 ,Abril
LECHUGA/ESC./ENDIVIA,1.03619,2.47722,239,796,,,HIPERMERCADOS,2014 ,Abril
ESPARRAGOS,44951,1.13548,253,3,,,HIPERMERCADOS,2014 ,Abril
VERDURAS DE HOJA,22611,65697,291,244,,,HIPERMERCADOS,2014 ,Abril
BERENJENAS,50211,56553,113,33,,,HIPERMERCADOS,2014 ,Abril
ZANAHORIAS,1.23770,1.04223,084,744,,,HIPERMERCADOS,2014 ,Abril
CALABACINES,1.36645,1.42212,104,635,,,HIPERMERCADOS,2014 ,Abril
OTR.HORTALIZAS/VERD.,2.97618,6.29859,212,1318,,,HIPERMERCADOS,2014 ,Abril
VERD./HORT. IV GAMA,98380,3.70737,377,793,,,HIPERMERCADOS,2014 ,Abril
VERD./HORT. ECOLOGIC,42609,67044,157,159,,,HIPERMERCADOS,2014 ,Abril
