Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,12.01368,9.38387,078,1511,,,HIPERMERCADOS,2014 ,Agosto
PATATAS FRESCAS,6.71717,3.90879,058,743,,,HIPERMERCADOS,2014 ,Agosto
PATATAS CONGELADAS,40746,48589,119,113,,,HIPERMERCADOS,2014 ,Agosto
PATATAS PROCESADAS,97781,4.98919,51,1031,,,HIPERMERCADOS,2014 ,Agosto
T.HORTALIZAS FRESCAS,15.18922,24.30344,16,2536,,,HIPERMERCADOS,2014 ,Agosto
TOMATES,3.77344,4.95379,131,1273,,,HIPERMERCADOS,2014 ,Agosto
CEBOLLAS,2.12795,2.08053,098,895,,,HIPERMERCADOS,2014 ,Agosto
AJOS,18204,84763,466,329,,,HIPERMERCADOS,2014 ,Agosto
COLES,29417,26782,091,118,,,HIPERMERCADOS,2014 ,Agosto
PEPINOS,99553,1.07841,108,584,,,HIPERMERCADOS,2014 ,Agosto
JUDIAS VERDES,29262,84318,288,22,,,HIPERMERCADOS,2014 ,Agosto
PIMIENTOS,1.60543,2.32657,145,104,,,HIPERMERCADOS,2014 ,Agosto
CHAMPIÑONES+O.SETAS,28741,1.07721,375,318,,,HIPERMERCADOS,2014 ,Agosto
LECHUGA/ESC./ENDIVIA,1.10508,2.55382,231,813,,,HIPERMERCADOS,2014 ,Agosto
ESPARRAGOS,6801,20326,299,046,,,HIPERMERCADOS,2014 ,Agosto
VERDURAS DE HOJA,12071,44168,366,141,,,HIPERMERCADOS,2014 ,Agosto
BERENJENAS,42539,46341,109,274,,,HIPERMERCADOS,2014 ,Agosto
ZANAHORIAS,1.38331,1.29063,093,702,,,HIPERMERCADOS,2014 ,Agosto
CALABACINES,83720,81333,097,432,,,HIPERMERCADOS,2014 ,Agosto
OTR.HORTALIZAS/VERD.,1.69094,5.06218,299,1152,,,HIPERMERCADOS,2014 ,Agosto
VERD./HORT. IV GAMA,85153,3.52635,414,759,,,HIPERMERCADOS,2014 ,Agosto
VERD./HORT. ECOLOGIC,40048,57260,143,173,,,HIPERMERCADOS,2014 ,Agosto
