Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,11.94391,10.61722,089,1631,,,HIPERMERCADOS,2014 ,Mayo
PATATAS FRESCAS,6.79706,5.00698,074,816,,,HIPERMERCADOS,2014 ,Mayo
PATATAS CONGELADAS,47712,65327,137,154,,,HIPERMERCADOS,2014 ,Mayo
PATATAS PROCESADAS,93395,4.95696,531,1065,,,HIPERMERCADOS,2014 ,Mayo
T.HORTALIZAS FRESCAS,18.67044,30.35174,163,2829,,,HIPERMERCADOS,2014 ,Mayo
TOMATES,4.71171,6.42725,136,1528,,,HIPERMERCADOS,2014 ,Mayo
CEBOLLAS,2.57649,2.73447,106,985,,,HIPERMERCADOS,2014 ,Mayo
AJOS,19644,87920,448,328,,,HIPERMERCADOS,2014 ,Mayo
COLES,32848,36360,111,158,,,HIPERMERCADOS,2014 ,Mayo
PEPINOS,89428,89596,1,602,,,HIPERMERCADOS,2014 ,Mayo
JUDIAS VERDES,46505,1.06698,229,295,,,HIPERMERCADOS,2014 ,Mayo
PIMIENTOS,1.69044,2.70793,16,1073,,,HIPERMERCADOS,2014 ,Mayo
CHAMPIÑONES+O.SETAS,40937,1.58555,387,409,,,HIPERMERCADOS,2014 ,Mayo
LECHUGA/ESC./ENDIVIA,1.04951,2.61163,249,838,,,HIPERMERCADOS,2014 ,Mayo
ESPARRAGOS,33247,80971,244,21,,,HIPERMERCADOS,2014 ,Mayo
VERDURAS DE HOJA,19502,72978,374,212,,,HIPERMERCADOS,2014 ,Mayo
BERENJENAS,37983,46865,123,265,,,HIPERMERCADOS,2014 ,Mayo
ZANAHORIAS,1.22699,96796,079,654,,,HIPERMERCADOS,2014 ,Mayo
CALABACINES,1.52820,1.30878,086,667,,,HIPERMERCADOS,2014 ,Mayo
OTR.HORTALIZAS/VERD.,2.68616,6.79430,253,137,,,HIPERMERCADOS,2014 ,Mayo
VERD./HORT. IV GAMA,1.08222,4.46615,413,826,,,HIPERMERCADOS,2014 ,Mayo
VERD./HORT. ECOLOGIC,41637,54015,13,185,,,HIPERMERCADOS,2014 ,Mayo
