Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,12.94748,9.35773,072,1568,,,HIPERMERCADOS,2014 ,Octubre
PATATAS FRESCAS,7.42360,3.91696,053,781,,,HIPERMERCADOS,2014 ,Octubre
PATATAS CONGELADAS,42775,47782,112,119,,,HIPERMERCADOS,2014 ,Octubre
PATATAS PROCESADAS,1.01923,4.96295,487,1031,,,HIPERMERCADOS,2014 ,Octubre
T.HORTALIZAS FRESCAS,17.06376,30.52917,179,2717,,,HIPERMERCADOS,2014 ,Octubre
TOMATES,3.87044,6.25908,162,1373,,,HIPERMERCADOS,2014 ,Octubre
CEBOLLAS,2.41911,2.43153,101,904,,,HIPERMERCADOS,2014 ,Octubre
AJOS,21434,92329,431,33,,,HIPERMERCADOS,2014 ,Octubre
COLES,48226,56123,116,175,,,HIPERMERCADOS,2014 ,Octubre
PEPINOS,57189,74228,13,344,,,HIPERMERCADOS,2014 ,Octubre
JUDIAS VERDES,33146,1.07702,325,274,,,HIPERMERCADOS,2014 ,Octubre
PIMIENTOS,1.35527,2.18921,162,901,,,HIPERMERCADOS,2014 ,Octubre
CHAMPIÑONES+O.SETAS,44140,1.96871,446,467,,,HIPERMERCADOS,2014 ,Octubre
LECHUGA/ESC./ENDIVIA,1.28213,2.97966,232,844,,,HIPERMERCADOS,2014 ,Octubre
ESPARRAGOS,13178,37074,281,081,,,HIPERMERCADOS,2014 ,Octubre
VERDURAS DE HOJA,28859,92238,32,251,,,HIPERMERCADOS,2014 ,Octubre
BERENJENAS,37393,48174,129,282,,,HIPERMERCADOS,2014 ,Octubre
ZANAHORIAS,1.39612,1.04017,075,745,,,HIPERMERCADOS,2014 ,Octubre
CALABACINES,1.22899,1.77700,145,581,,,HIPERMERCADOS,2014 ,Octubre
OTR.HORTALIZAS/VERD.,2.67605,6.80514,254,1354,,,HIPERMERCADOS,2014 ,Octubre
VERD./HORT. IV GAMA,1.01237,4.19346,414,795,,,HIPERMERCADOS,2014 ,Octubre
VERD./HORT. ECOLOGIC,48524,75171,155,159,,,HIPERMERCADOS,2014 ,Octubre
