Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,12.58648,9.04220,072,1629,,,HIPERMERCADOS,2014 ,Septiembre
PATATAS FRESCAS,7.41593,3.73875,05,85,,,HIPERMERCADOS,2014 ,Septiembre
PATATAS CONGELADAS,34642,43492,126,118,,,HIPERMERCADOS,2014 ,Septiembre
PATATAS PROCESADAS,96483,4.86853,505,1054,,,HIPERMERCADOS,2014 ,Septiembre
T.HORTALIZAS FRESCAS,15.55712,25.45263,164,2617,,,HIPERMERCADOS,2014 ,Septiembre
TOMATES,3.87640,5.50077,142,137,,,HIPERMERCADOS,2014 ,Septiembre
CEBOLLAS,2.38514,2.19019,092,871,,,HIPERMERCADOS,2014 ,Septiembre
AJOS,19200,87194,454,327,,,HIPERMERCADOS,2014 ,Septiembre
COLES,25310,24452,097,117,,,HIPERMERCADOS,2014 ,Septiembre
PEPINOS,78801,93403,119,476,,,HIPERMERCADOS,2014 ,Septiembre
JUDIAS VERDES,31256,91127,292,256,,,HIPERMERCADOS,2014 ,Septiembre
PIMIENTOS,1.24597,1.82575,147,964,,,HIPERMERCADOS,2014 ,Septiembre
CHAMPIÑONES+O.SETAS,38529,1.33822,347,383,,,HIPERMERCADOS,2014 ,Septiembre
LECHUGA/ESC./ENDIVIA,96423,2.24374,233,71,,,HIPERMERCADOS,2014 ,Septiembre
ESPARRAGOS,15388,25166,164,063,,,HIPERMERCADOS,2014 ,Septiembre
VERDURAS DE HOJA,21844,73870,338,213,,,HIPERMERCADOS,2014 ,Septiembre
BERENJENAS,36264,51793,143,291,,,HIPERMERCADOS,2014 ,Septiembre
ZANAHORIAS,1.32403,1.00606,076,673,,,HIPERMERCADOS,2014 ,Septiembre
CALABACINES,97446,1.27443,131,508,,,HIPERMERCADOS,2014 ,Septiembre
OTR.HORTALIZAS/VERD.,2.12096,5.60344,264,1264,,,HIPERMERCADOS,2014 ,Septiembre
VERD./HORT. IV GAMA,1.03478,3.91931,379,828,,,HIPERMERCADOS,2014 ,Septiembre
VERD./HORT. ECOLOGIC,41439,66604,161,139,,,HIPERMERCADOS,2014 ,Septiembre
