Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,10.98985,9.51757,087,1531,,,HIPERMERCADOS,2015 ,Junio
PATATAS FRESCAS,5.84882,3.85185,066,718,,,HIPERMERCADOS,2015 ,Junio
PATATAS CONGELADAS,31992,42007,131,127,,,HIPERMERCADOS,2015 ,Junio
PATATAS PROCESADAS,96422,5.24566,544,1069,,,HIPERMERCADOS,2015 ,Junio
T.HORTALIZAS FRESCAS,17.18903,28.99140,169,2709,,,HIPERMERCADOS,2015 ,Junio
TOMATES,4.69341,6.95805,148,1512,,,HIPERMERCADOS,2015 ,Junio
CEBOLLAS,2.16164,2.27090,105,92,,,HIPERMERCADOS,2015 ,Junio
AJOS,16947,78333,462,294,,,HIPERMERCADOS,2015 ,Junio
COLES,31906,31420,098,128,,,HIPERMERCADOS,2015 ,Junio
PEPINOS,99982,1.12192,112,581,,,HIPERMERCADOS,2015 ,Junio
JUDIAS VERDES,31996,1.01724,318,23,,,HIPERMERCADOS,2015 ,Junio
PIMIENTOS,1.53896,2.69196,175,1021,,,HIPERMERCADOS,2015 ,Junio
CHAMPIÑONES+O.SETAS,37799,1.36906,362,376,,,HIPERMERCADOS,2015 ,Junio
LECHUGA/ESC./ENDIVIA,1.05870,2.95993,28,851,,,HIPERMERCADOS,2015 ,Junio
ESPARRAGOS,15493,60132,388,154,,,HIPERMERCADOS,2015 ,Junio
VERDURAS DE HOJA,27276,85463,313,207,,,HIPERMERCADOS,2015 ,Junio
BERENJENAS,50923,63482,125,387,,,HIPERMERCADOS,2015 ,Junio
ZANAHORIAS,1.14395,89191,078,628,,,HIPERMERCADOS,2015 ,Junio
CALABACINES,1.32710,1.31438,099,631,,,HIPERMERCADOS,2015 ,Junio
OTR.HORTALIZAS/VERD.,2.14205,5.20775,243,1185,,,HIPERMERCADOS,2015 ,Junio
VERD./HORT. IV GAMA,1.02216,4.14242,405,779,,,HIPERMERCADOS,2015 ,Junio
