Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,12.43104,10.86831,087,1595,,,HIPERMERCADOS,2016 ,Febrero
PATATAS FRESCAS,7.08622,4.97458,07,806,,,HIPERMERCADOS,2016 ,Febrero
PATATAS CONGELADAS,43157,54514,126,146,,,HIPERMERCADOS,2016 ,Febrero
PATATAS PROCESADAS,98265,5.34859,544,1029,,,HIPERMERCADOS,2016 ,Febrero
T.HORTALIZAS FRESCAS,16.11060,28.83532,179,2595,,,HIPERMERCADOS,2016 ,Febrero
TOMATES,2.97311,4.59786,155,1169,,,HIPERMERCADOS,2016 ,Febrero
CEBOLLAS,2.29283,2.37039,103,931,,,HIPERMERCADOS,2016 ,Febrero
AJOS,28059,1.30974,467,409,,,HIPERMERCADOS,2016 ,Febrero
COLES,57005,64921,114,228,,,HIPERMERCADOS,2016 ,Febrero
PEPINOS,36328,51825,143,274,,,HIPERMERCADOS,2016 ,Febrero
JUDIAS VERDES,40922,1.11659,273,302,,,HIPERMERCADOS,2016 ,Febrero
PIMIENTOS,1.37306,2.66818,194,897,,,HIPERMERCADOS,2016 ,Febrero
CHAMPIÑONES+O.SETAS,43948,1.80976,412,439,,,HIPERMERCADOS,2016 ,Febrero
LECHUGA/ESC./ENDIVIA,82525,2.66924,323,729,,,HIPERMERCADOS,2016 ,Febrero
ESPARRAGOS,7596,29869,393,054,,,HIPERMERCADOS,2016 ,Febrero
VERDURAS DE HOJA,17186,60247,351,176,,,HIPERMERCADOS,2016 ,Febrero
BERENJENAS,48092,63691,132,282,,,HIPERMERCADOS,2016 ,Febrero
ZANAHORIAS,1.27851,96779,076,631,,,HIPERMERCADOS,2016 ,Febrero
CALABACINES,1.36298,1.71699,126,588,,,HIPERMERCADOS,2016 ,Febrero
OTR.HORTALIZAS/VERD.,3.21351,6.90326,215,1353,,,HIPERMERCADOS,2016 ,Febrero
VERD./HORT. IV GAMA,1.00410,4.11693,41,813,,,HIPERMERCADOS,2016 ,Febrero
