Producto,Volumen (miles de kg),Valor (miles de €),Precio medio kg,Penetración (%),,,Canal_Venta,Año,Mes
TOTAL PATATAS,11.92295,10.53281,088,1504,,,HIPERMERCADOS,2016 ,Marzo
PATATAS FRESCAS,6.76758,4.93768,073,741,,,HIPERMERCADOS,2016 ,Marzo
PATATAS CONGELADAS,44971,54390,121,14,,,HIPERMERCADOS,2016 ,Marzo
PATATAS PROCESADAS,94113,5.05123,537,982,,,HIPERMERCADOS,2016 ,Marzo
T.HORTALIZAS FRESCAS,16.21190,30.70952,189,2632,,,HIPERMERCADOS,2016 ,Marzo
TOMATES,3.05325,5.24264,172,1303,,,HIPERMERCADOS,2016 ,Marzo
CEBOLLAS,2.19362,2.29266,105,876,,,HIPERMERCADOS,2016 ,Marzo
AJOS,23232,1.11024,478,347,,,HIPERMERCADOS,2016 ,Marzo
COLES,44798,46697,104,181,,,HIPERMERCADOS,2016 ,Marzo
PEPINOS,37972,51931,137,316,,,HIPERMERCADOS,2016 ,Marzo
JUDIAS VERDES,36422,1.24007,34,253,,,HIPERMERCADOS,2016 ,Marzo
PIMIENTOS,1.34398,3.02301,225,944,,,HIPERMERCADOS,2016 ,Marzo
CHAMPIÑONES+O.SETAS,40946,1.65995,405,427,,,HIPERMERCADOS,2016 ,Marzo
LECHUGA/ESC./ENDIVIA,97833,3.03443,31,748,,,HIPERMERCADOS,2016 ,Marzo
ESPARRAGOS,17577,60364,343,103,,,HIPERMERCADOS,2016 ,Marzo
VERDURAS DE HOJA,27524,81871,297,273,,,HIPERMERCADOS,2016 ,Marzo
BERENJENAS,34683,48258,139,309,,,HIPERMERCADOS,2016 ,Marzo
ZANAHORIAS,1.35839,1.09909,081,678,,,HIPERMERCADOS,2016 ,Marzo
CALABACINES,1.58991,2.04164,128,723,,,HIPERMERCADOS,2016 ,Marzo
OTR.HORTALIZAS/VERD.,3.06288,7.07460,231,136,,,HIPERMERCADOS,2016 ,Marzo
VERD./HORT. IV GAMA,1.28722,4.47118,347,943,,,HIPERMERCADOS,2016 ,Marzo
